Chokurdakh (70.61828, 147.89693) 楚库尔达赫
Cherskiy (68.75322, 161.33099) 切尔斯基
Bykov (47.31816, 142.56565) 比科夫
Burkhala (62.6482, 149.11338) 布尔哈拉
Boshnyakovo (49.64572, 142.17047) 博什尼亚科沃
Bilibino (68.05464, 166.43721) 比利比诺
Beringovskiy (63.06101, 179.35046) 贝林戈夫斯基
Belaya Gora (68.53823, 146.1852) 贝拉亚戈拉
Atlasovo (55.6065, 159.64266) 阿特拉索沃
Atka (60.83502, 151.78939) 阿特卡
Artyk (64.18037, 145.1278) 阿尔特克
Arman' (59.66994, 150.13164) 阿尔曼
Aniva (46.71578, 142.53241) 阿尼瓦
Anadyr (64.73424, 177.5103) 阿纳德尔
Kadykchan (63.07861, 147.01139) 卡迪克昌
Yantarnyy (54.87102, 19.94016) 琥珀
Mamonovo (54.46427, 19.93801) 马莫诺沃
Baltiysk (54.65455, 19.90929) 波罗的斯克
Uelen (66.15966, -169.80979) 乌厄连
Provideniya (64.42289, -173.22641) 普罗维杰尼亚
Lorino (65.50306, -171.70387) 洛里诺
Lavrentiya (65.58299, -170.99663) 拉夫连季亚
Egvekinot (66.32321, -179.11838) 叶格韦基诺特
Logovskoye (53.4943, 84.2016) 洛戈夫斯科耶
Magas (43.22257, 44.77261) 马加斯
Vas'kovo (64.4122, 40.4639) 瓦斯科沃
Isakogorka (64.446, 40.6531) 伊萨科戈尔卡
Kurilovo (55.37271, 37.37703) 库里洛沃
Shishkin Les (55.41057, 37.18853) 希什金森林
Poselok Mar'ino (55.55, 37.32) 马里诺村
Mosrentgen (55.6197, 37.46402) 莫斯伦特根
Zarech'ye (55.68667, 37.3924) 扎列奇耶
Povedniki (55.97, 37.6) 波韦德尼基
Zdravnitsa (55.96001, 37.73336) 扎德拉夫尼察
Chertanovo Yuzhnoye (55.59072, 37.59519) 切尔塔诺沃南
Sredniy (52.8884, 103.4904) 斯列德尼
Belorechenskiy (52.81197, 103.52386) 别洛列琴斯基
Zagor'ye (55.57657, 37.66709) 扎戈尔耶
OrekhovoBorisovo (55.61252, 37.72639) 奥列霍沃-博里索沃
Novolisikha (52.23, 104.45) 新利西哈
Pad' Mel'nichnaya (52.161, 104.38) 磨坊洼地
Imeni M. I. Kalinina (56.17926, 44.33098) 卡利宁命名
Metrogorodok (55.80961, 37.78739) 地铁城
Novyy (43.36525, 132.02417) 新
Berezovaya Poyma (56.33835, 43.61735) 桦树滩
Chistyye Bory (58.369, 41.65) 清洁森林
Zarya (55.75533, 38.09578) 曙光
VerkhObskiy (52.41748, 85.01768) 上鄂毕斯基
Polovinka (52.187, 85.632) 波洛文卡
StanBekhtemir (52.60665, 85.62619) 斯坦别赫捷米尔
Tsiolkovskiy (51.76694, 128.11472) 齐奥尔科夫斯基
Kogalym (62.26537, 74.47906) 科加雷姆
PytYakh (60.74985, 72.85824) 普特亚赫
Langepas (61.25439, 75.2124) 兰格帕斯
Severomorsk3 (68.87862, 33.72631) 北莫尔斯克3
Kievskiy (55.42999, 36.8666) 基辅斯基
Obolensk (54.97741, 37.22449) 奥博连斯克
Chad (56.21795, 56.31883) 查德
Ust'Kinel'skiy (53.2682, 50.57815) 乌斯季基涅尔斯基
Novyy Gorodok (54.3074, 86.2927) 新城镇
Nezhdaninskoe (62.50523, 139.05104) 涅日达宁斯科耶
Vzmorye (54.69606, 20.23613) 沃兹莫里耶
Shikotan (43.79916, 146.72164) 色丹
Peresvet (56.42302, 38.17612) 佩列斯韦特
Altynzhar (46.27541, 48.50625) 阿尔金扎尔
Kolenovo (56.954, 39.1919) 科列诺沃
Blyasino (56.94565, 28.30621) 布利亚西诺
Zanogi (56.52687, 28.96211) 扎诺吉
Berezovskiy Ryadok (57.30653, 32.79793) 别列佐夫斯基里亚多克
Pribrezhnyy (53.48662, 49.85836) 普里布列日内
Nizhnesortymskiy (62.43965, 71.76029) 下索尔特姆斯基
Pokachi (61.71982, 75.36827) 波卡奇
Izluchinsk (60.97944, 76.92421) 伊兹鲁钦斯克
Kusak (53.2238, 78.9337) 库萨克
Sudoverf' (58.11696, 38.64175) 苏多韦尔夫
Krasnaya Glinka (53.7383, 52.9392) 红色粘土
Syapsya (61.92215, 33.38676) 西亚普夏
Singapay (61.15452, 72.66072) 辛加帕伊
Iskino (54.5191, 55.911) 伊斯基诺
Norkino (56.6682, 29.0286) 诺尔基诺
Shevlyakovo (56.39733, 36.85973) 谢夫利亚科沃
Noginsk9 (56.06681, 38.50013) 诺金斯克9
Staroye Arakchino (55.8041, 48.9709) 旧阿拉克奇诺
SaganNur (51.3436, 108.4449) 萨甘努尔
Voznesenskiy (54.8968, 99.1031) 沃兹涅先斯基
Emar (43.20417, 132.15643) 埃马尔
Algatuy (54.4009, 100.255) 阿尔加图伊
Kurortnyy (60.16562, 29.908) 库罗特内
Chernaya Rechka (59.98594, 30.30338) 黑河
Untolovo (60.0122, 30.20897) 乌托洛沃
Petrogradka (59.96567, 30.31154) 彼得格勒卡
Vasyl'evsky Ostrov (59.94091, 30.25377) 瓦西里耶夫斯基岛
Parnas (60.06964, 30.3487) 帕尔纳斯
Kalininskiy (59.99675, 30.3899) 卡利宁斯基
Krasnogvargeisky (59.97305, 30.47607) 红卫兵区
Admiralteisky (59.923, 30.3) 海军部区
Krestovskiy ostrov (59.97091, 30.25789) 克列斯托夫斯基岛
Kamenniy ostrov (59.97851, 30.2875) 石岛
Akademicheskoe (60.01375, 30.39471) 学术区
Finlyandskiy (59.96824, 30.36415) 芬兰区
