Shaybah (22.59246, 54.09599) 沙伊巴
Alrmtheiah (24.74299, 42.95528) 阿尔姆赛亚
Sabt Alalayah (19.5773, 41.96357) 萨卜特阿拉拉亚
Bariq (18.92966, 41.92953) 巴里克
Al Ju'aymah (26.75007, 49.90469) 阿尔朱艾马
Sarat 'Abidah (18.089, 43.132) 萨拉特阿比达
Tulagi (-9.10306, 160.15056) 图拉吉
Munda (-8.32799, 157.26652) 蒙达
Malango (-9.69523, 159.71734) 马兰戈
Honiara (-9.43333, 159.95) 霍尼亚拉
Gizo (-8.10303, 156.84186) 吉佐
Buala (-8.14497, 159.59212) 布阿拉
Auki (-8.76778, 160.69778) 奥基
Lata (-10.725, 165.79722) 拉塔
Kirakira (-10.45442, 161.92045) 基拉基拉
Taro (-6.71111, 156.39722) 塔罗
Takamaka (-4.76667, 55.5) 塔卡马卡
Port Glaud (-4.66256, 55.41841) 格劳德港
Bel Ombre (-4.61667, 55.41667) 贝尔翁布雷
Anse Royale (-4.73333, 55.51667) 皇家湾
Anse Boileau (-4.71667, 55.48333) 博伊洛湾
La Passe (-4.34808, 55.83269) 拉帕斯
Perseverance (-4.60445, 55.46428) 毅力岛
Dongola (19.18163, 30.47689) 东戈拉
Zalinguei (12.90918, 23.47058) 扎林盖
Wagar (16.1525, 36.2032) 瓦加尔
Wad Rawah (15.16028, 33.13972) 瓦德拉瓦
Wad Medani (14.40118, 33.51989) 瓦德梅达尼
Wad az Zaki (14.4619, 32.2065) 瓦德扎基
Umm Shawkah (13.31667, 33.76667) 乌姆绍卡
Umm Ruwaba (12.9061, 31.2158) 乌姆鲁瓦巴
Umm Kaddadah (13.60169, 26.68759) 乌姆卡达达
Um Jar Al Gharbiyya (13.8013, 32.4078) 乌姆贾尔阿尔加尔比亚
Omdurman (15.64453, 32.47773) 恩图曼
Umm Dafog (10.46339, 23.31748) 乌姆达福格
Tullus (11.0904, 24.53015) 图卢斯
Tokar (18.4254, 37.729) 托卡尔
Tandalti (13.01667, 31.86667) 坦达尔蒂
Talodi (10.63246, 30.3797) 塔洛迪
Sinkat (18.8405, 36.8351) 辛卡特
Suakin (19.1059, 37.3321) 苏阿金
Rufa'a (14.75969, 33.36754) 鲁法阿
Rahad al Bardi (11.3, 23.88333) 拉哈德阿尔巴尔迪
Rabak (13.18087, 32.73999) 拉巴克
Nyala (12.04888, 24.88069) 尼亚拉
Mellit (14.13333, 25.55) 梅利特
Merowe (18.47036, 31.81126) 梅罗韦
Marabba (12.35, 32.18333) 马拉巴
Maiurno (13.41667, 33.66667) 迈乌尔诺
Kutum (14.2, 24.66667) 库图姆
Kosti (13.1629, 32.66347) 科斯蒂
Kurmuk (10.52, 34.28333) 库尔穆克
Kuraymah (18.55, 31.85) 库雷马
Kinana (14.0361, 33.1712) 基纳纳
Khashm al Qirbah (14.96667, 35.91667) 哈什姆阿尔基尔巴
Kassala (15.45099, 36.39998) 卡萨拉
Karmah an Nuzul (19.63333, 30.41667) 卡尔马努祖尔
Kadugli (11.01111, 29.71833) 卡杜格利
Kabkabiyah (13.65, 24.08333) 卡布卡比亚
Jubayt (18.9533, 36.8336) 朱拜特
New Halfa (15.33021, 35.59854) 新哈尔法
Ghubaysh (12.15, 27.35) 古拜什
Gebeit (21.06667, 36.31667) 盖贝特
Jalqani (12.4486, 34.2186) 贾尔卡尼
Dilling (12.05, 29.65) 迪林
Port Sudan (19.61745, 37.21644) 苏丹港
Burri Al Drayssah (15.6037, 32.5668) 布里阿尔德赖萨
Buram (10.85826, 25.15921) 布拉姆
Berber (18.02158, 33.98299) 贝尔贝尔
Barah (13.7, 30.36667) 巴拉
Babanusah (11.33333, 27.8) 巴巴努萨
Atbara (17.70217, 33.98638) 阿特巴拉
As Suki (13.31667, 33.88333) 阿斯苏基
Ash Shallal (11.8, 34.4) 阿什沙拉尔
Er Roseires (11.8659, 34.3869) 埃尔罗塞雷斯
Ar Rahad (12.71667, 30.65) 阿尔拉哈德
Aroma (15.81667, 36.13333) 阿罗马
Argo (19.51667, 30.41667) 阿尔戈
An Nuhud (12.7, 28.43333) 安努胡德
El Obeid (13.18421, 30.21669) 艾尔奥贝德
Al Qitena (14.8648, 32.3668) 阿尔基特纳
Al Qadarif (14.03493, 35.38344) 阿尔加达里夫
Al Masallamiyya (14.5748, 33.3373) 阿尔马萨拉米亚
Al Mijlad (11.03333, 27.73333) 阿尔米吉拉德
El Matama (16.7095, 33.3565) 艾尔马塔马
Al Manaqil (14.2459, 32.9891) 阿尔马纳基尔
Al Lagowa (11.4, 29.13333) 阿尔拉戈瓦
Khartoum North (15.64925, 32.53458) 北喀土穆
Khartoum (15.55177, 32.53241) 喀土穆
Al Kawa (13.7463, 32.4996) 阿尔卡瓦
El Geneina Fort (13.47481, 22.45744) 埃尔杰奈纳堡
Geneina (13.45262, 22.44725) 杰奈纳
Al Hilaliyya (14.9398, 33.234) 阿尔希拉利亚
Al Hawatah (13.41667, 34.63333) 阿尔哈瓦塔
Al Hasaheisa (14.75264, 33.29836) 阿尔哈萨希萨
Al Fulah (11.73292, 28.35786) 阿尔富拉
El Fasher (13.62793, 25.34936) 艾尔法谢尔
El Bauga (18.26197, 33.90812) 艾尔鲍加
Ad Douiem (14.0012, 32.3116) 阿德杜伊姆
El Daein (11.46186, 26.12583) 艾尔代因
