Hjaerup (55.6688, 13.13931) 海耶鲁普
Unnaryd (56.95, 13.51667) 乌纳吕德
Undersaker (63.31722, 13.24847) 翁德萨克
Ulricehamn (57.79159, 13.41422) 乌尔里瑟港
Ullervad (58.66667, 13.86667) 乌勒瓦德
Ullared (57.13333, 12.71667) 乌拉雷德
Uddevalla (58.34784, 11.9424) 乌德瓦拉
Uddeholm (60.01667, 13.61667) 乌德霍尔姆
Ucklum (58.08333, 11.95) 乌克卢姆
Tystberga (58.85, 17.23306) 蒂斯特贝里亚
Tyringe (56.16037, 13.59811) 蒂林厄
Tygelsjoe (55.51667, 13) 蒂耶尔舍
Tving (56.30532, 15.47129) 特温
Tvaaker (57.04147, 12.3995) 特瓦克尔
Tureholm (59.31667, 17.71667) 图雷霍尔姆
Tumlehed (57.73237, 11.73778) 图姆勒赫德
Tullinge (59.2, 17.9) 图林厄
Trosa (58.89621, 17.54812) 特罗萨
Troenningenaes (57.13846, 12.22596) 特伦宁厄内斯
Tronninge (57.14474, 12.29253) 特隆宁厄
Troenninge (56.61667, 12.93333) 特伦宁厄
Trollhaettan (58.28365, 12.28864) 特罗尔海坦
Gimo (60.17304, 18.18507) 吉莫
Trelleborg (55.37514, 13.15691) 特雷勒堡
Trekanten (56.7, 16.11667) 特雷坎滕
Traslovslage (57.05417, 12.27899) 特拉斯洛夫斯拉格
Traryd (56.57864, 13.74916) 特拉吕德
Tranemo (57.48333, 13.35) 特拉内莫
Tranas (58.03717, 14.9782) 特拉纳斯
Torup (56.95663, 13.07725) 托鲁普
Torslanda (57.72432, 11.77013) 托斯兰达
Torshaella (59.41667, 16.46667) 托舍拉
Torsby (60.13527, 13.0082) 托斯比
Torsas (56.41251, 15.99844) 托萨斯
Torsang (60.46667, 15.56667) 托桑
Torsaker (63.06667, 17.75) 托萨克尔
Tormestorp (56.1135, 13.74516) 托梅斯托普
Torhamn (56.1, 15.83333) 托尔哈姆
Torekov (56.425, 12.63333) 托雷科夫
Toereboda (58.70739, 14.12597) 托雷博达
Tomtebo (63.80433, 20.36955) 托姆特博
Tomelilla (55.54293, 13.9546) 托梅利拉
Tollered (57.81667, 12.41667) 托勒雷德
Tollarp1 (56.16667, 14.28333) 托拉普1
Tollarp (55.93333, 13.98333) 托拉普
Toecksfors (59.50816, 11.84431) 托克斯福什
Tjuvkil (57.9, 11.73333) 丘夫基尔
Tjoernarp (55.99543, 13.6279) 丘尔纳普
Tjaellmo (58.71667, 15.35) 切尔莫
Tingsryd (56.5247, 14.97902) 廷斯吕德
Timsfors (56.48333, 13.58333) 蒂姆斯福什
Timra (62.48654, 17.32613) 蒂姆拉
Timmersdala (58.53333, 13.75) 蒂默斯达拉
Timmernabben (56.96667, 16.43333) 蒂默纳本
Timmele (57.85946, 13.42891) 蒂梅勒
Tillberga (59.68333, 16.61667) 蒂尔贝里亚
Tierp (60.34269, 17.51812) 蒂耶普
Tidan (58.57467, 14.00495) 蒂丹
Tidaholm (58.18035, 13.95824) 蒂达霍尔姆
Tibro (58.42453, 14.16162) 蒂布罗
Tenhult (57.70761, 14.32205) 滕胡尔特
Teckomatorp (55.86667, 13.08333) 特科马托普
Taernsjoe (60.15, 16.93333) 特恩舍
Tanumshede (58.72385, 11.32587) 塔努姆谢德
Tangaberg (57.17358, 12.22753) 唐加贝里
Tallboda (58.42521, 15.68154) 塔尔博达
Taellberg (60.81667, 15) 泰尔贝里
Tallasen (64.3, 18.83333) 塔拉森
Taby (59.4439, 18.06872) 泰比
Taberg (57.67722, 14.08876) 塔贝里
Sylta (59.53333, 15.98333) 西尔塔
Svenstavik (62.76667, 14.43535) 斯文斯塔维克
Svenljunga (57.49551, 13.11078) 斯文永加
Sveg (62.03407, 14.36577) 斯韦格
Svedala (55.50788, 13.23515) 斯韦达拉
Svartvik (62.58639, 17.90849) 斯瓦特维克
Svaertinge (58.65507, 16.02823) 斯瓦尔廷厄
Svarte (55.43184, 13.71394) 斯瓦特
Svaerdsjoe (60.74022, 15.90173) 斯瓦尔德舍
Svaengsta (56.26667, 14.76667) 斯文斯塔
Svanesund (58.14292, 11.81821) 斯瓦内松德
Svaneholm (57.61667, 12.81667) 斯瓦内霍尔姆
Svanberga (59.84431, 18.66643) 斯万贝里亚
Svalsta (58.74273, 16.86978) 斯瓦尔斯塔
Svaloev (55.9134, 13.10762) 斯瓦勒夫
Surte (57.82533, 12.01604) 苏尔特
Surahammar (59.70725, 16.22188) 苏拉哈马尔
Sunningen (58.33333, 11.83333) 逊宁恩
Sunne (59.83764, 13.14302) 逊讷
Sunnansjo (64.09002, 19.34581) 逊南舍
Sunnansjoe (60.21667, 14.95) 逊南舍
Sundsvall (62.39129, 17.3063) 松兹瓦尔
Sundsbruk (62.45806, 17.34889) 松兹布鲁克
Sundbyberg (59.36128, 17.97114) 松德比贝里
Sundborn (60.65, 15.76667) 松德博恩
Styrsoe (57.61639, 11.78556) 斯蒂尔瑟
Sturkoe (56.08333, 15.7) 斯图尔科
Sturefors (58.33333, 15.73333) 斯图雷福什
Stugun (63.16667, 15.6) 斯图贡
Stroevelstorp (56.16979, 12.83925) 斯特罗韦尔斯托普
