Kungshamn (58.36305, 11.25938) - 功斯哈姆
Kungsgarden (63, 17.83333) - 功斯加登
Kungsberga (59.40483, 17.62926) - 功斯贝尔加
Kungsbacka (57.48719, 12.07612) - 功斯巴卡
Kungsaengen (59.47857, 17.74834) - 功斯恩根
Kungaelv (57.87096, 11.98054) - 功厄尔夫
Kummelnas (59.35, 18.28333) - 库梅尔纳斯
Kumla (59.1277, 15.14341) - 库姆拉
Krylbo (60.13333, 16.21667) - 克里尔博
Krokom (63.32589, 14.44883) - 克罗科姆
Krokek (58.67231, 16.36741) - 克罗克克
Kristinehamn (59.30978, 14.10808) - 克里斯蒂娜港
Kristianstad (56.03129, 14.15242) - 克里斯蒂安斯塔德
Kristdala (57.4007, 16.20496) - 克里斯达拉
Kramfors (62.93161, 17.77646) - 克拉姆福什
Kosta (56.84332, 15.39618) - 科斯塔
Kortebo (57.81667, 14.15) - 科特博
Korsberga (57.30246, 15.12519) - 科斯贝尔加
Koppom (59.70348, 12.1542) - 科普姆
Kopparmora (59.33306, 18.58306) - 科帕尔莫拉
Kopparberg (59.87597, 14.99436) - 科帕尔贝里
Koepmanholmen (63.16667, 18.56667) - 科普曼霍尔门
Koepingebro (55.45526, 13.93453) - 科平厄布鲁
Koeping (59.51404, 15.99255) - 科平
Kolsva (59.6, 15.83333) - 科尔斯瓦
Kolbaeck (59.56516, 16.23037) - 科尔贝克
Kode (57.94263, 11.85051) - 科德
Knutby (59.90867, 18.26568) - 克努特比
Knivsta (59.72564, 17.78753) - 克尼夫斯塔
Knislinge (56.18333, 14.08333) - 克尼斯林厄
Knaered (56.51861, 13.32423) - 克纳雷德
Kloevedal (58.03333, 11.58333) - 克勒韦达尔
Klippan (56.13559, 13.13086) - 克利潘
Klintehamn (57.38667, 18.20371) - 克林特哈姆恩
Klingsta (62.32693, 17.21764) - 克林斯塔
Klagstorp (55.39296, 13.37465) - 克拉格斯托普
Klagerup (55.59416, 13.24574) - 克拉格鲁普
Kjulaas (59.38306, 16.66667) - 休拉斯
Kivik (55.6851, 14.22025) - 希维克
Kista (59.40316, 17.94479) - 希斯塔
Kisa (57.98781, 15.63303) - 希萨
Kinnarp (58.07786, 13.52061) - 金纳普
Kimstad (58.54967, 15.96296) - 金斯塔德
Killeberg (56.47652, 14.09709) - 基勒贝里
Kilafors (61.23333, 16.56667) - 基拉福什
Kaxholmen (57.85345, 14.30457) - 卡克斯霍尔门
Kaevlinge (55.79188, 13.11021) - 凯夫林厄
Kattarp (56.14024, 12.78234) - 卡塔普
Katrineholm (58.99587, 16.20721) - 卡特琳娜霍尔姆
Karsta (59.65632, 18.27292) - 卡尔斯塔
Kaerna (57.85, 11.78333) - 凯尔纳
Karlstad (59.3793, 13.50357) - 卡尔斯塔德
Karlskrona (56.16156, 15.58661) - 卡尔斯克鲁纳
Karlskoga (59.32667, 14.52386) - 卡尔斯库加
Karlshamn (56.1706, 14.86188) - 卡尔斯港
Karlsborg (58.53724, 14.5047) - 卡尔斯堡
Karlholmsbruk (60.52091, 17.63152) - 卡尔霍尔姆斯布鲁克
Kalmar (56.66157, 16.36163) - 卡尔马
Kallinge (56.24841, 15.28721) - 卡林厄
Kallered (57.60992, 12.05106) - 卡勒雷德
Kaellby (58.50999, 13.30582) - 凯尔比
Kahoeg (57.75086, 12.15224) - 卡霍格
Kageroed (55.99976, 13.08795) - 卡格勒德
Jursla (58.66667, 16.18333) - 尤尔斯拉
Junsele (63.69586, 16.88256) - 君瑟勒
Joessefors (59.67295, 12.50335) - 约瑟福什
Joerlanda (57.9863, 11.82943) - 约兰达
Jordbro (59.14972, 18.11667) - 约德布鲁
Jonstorp (56.2338, 12.67184) - 约恩斯托普
Jonsered (57.74588, 12.1735) - 约恩瑟雷德
Joenkoeping (57.78145, 14.15618) - 延雪平
Joenaker (58.74434, 16.71947) - 约纳克尔
Jokkmokk (66.60665, 19.82324) - 约克莫克
Johannishus (56.21667, 15.41667) - 约翰尼斯胡斯
Johannedal (62.43424, 17.37273) - 约翰内达尔
Jaervsoe (61.71667, 16.16667) - 耶尔夫瑟
Jaerpen (63.3462, 13.46572) - 耶尔彭
Jaerpas (58.38333, 12.96667) - 耶尔帕斯
Jaernforsen (57.41667, 15.61667) - 耶恩福森
Jaerna (59.09165, 17.56615) - 耶尔纳
Jaerlasa (59.88333, 17.2) - 耶尔拉萨
Jaerbo (60.71667, 16.6) - 耶尔博
Jaemshoeg (56.23333, 14.51667) - 耶姆舍格
Jaemjoe (56.19187, 15.84115) - 耶姆约
Jakobsberg (59.42268, 17.83508) - 雅各布斯贝里
Irsta (59.6, 16.7) - 伊尔斯塔
Insjon (64.4, 17.48333) - 因松
Insjoen (60.67688, 15.09487) - 因舍恩
Ingelstad (56.75, 14.91667) - 英厄尔斯塔德
Indal (62.57732, 17.09807) - 因达尔
Iggesund (61.64219, 17.07477) - 伊格松德
Igelstorp (58.4, 13.96667) - 伊格尔斯托普
Idre (61.85821, 12.71401) - 伊德勒
Idala (55.62, 13.5) - 伊达拉
Hyssna (57.55726, 12.53841) - 许斯纳
Hyltebruk (56.99892, 13.23958) - 许尔特布鲁克
Hyllinge (56.1, 12.85) - 许林厄
Huskvarna (57.78596, 14.30214) - 胡斯克瓦纳
Hunnebostrand (58.44127, 11.3032) - 胡内博斯特兰德
Hummelsta (59.62673, 16.9438) - 胡梅尔斯塔
