Bjaernum (56.29032, 13.71128) - 比耶尔努姆
Billingsfors (58.98333, 12.25) - 比林斯福什
Billesholm (56.05, 13) - 比勒斯霍尔姆
Billeberga (55.88333, 13) - 比勒贝尔加
Billdal (57.56667, 11.93333) - 比尔达尔
Bie (59.08883, 16.20978) - 比耶
Bestorp (58.23333, 15.73333) - 贝斯托普
Bergvik (61.25349, 16.82749) - 贝里克
Bergsjoe (61.98253, 17.06368) - 贝里舍
Bergshamra (59.38083, 18.03427) - 贝里沙姆拉
Bergshammar (58.7405, 16.91284) - 贝里沙马尔
Hoverberg (62.81381, 14.44735) - 霍弗贝里
Bergkvara (56.39063, 16.07274) - 贝里克瓦拉
Bergeforsen (62.53074, 17.38123) - 贝里福森
Bergby (60.92931, 17.04194) - 贝里比
Bengtsheden (60.71183, 15.87313) - 本格特谢登
Bengtsfors (59.02912, 12.23207) - 本格特斯福什
Bastad (56.42689, 12.85339) - 巴斯塔德
Baesna (60.53333, 15.2) - 贝斯纳
Barsloev (56.0091, 12.8058) - 巴尔斯勒夫
Barsebaeck (55.76667, 12.95) - 巴尔瑟贝克
Barnarp (57.704, 14.178) - 巴尔纳普
Barkaroe (59.54935, 16.5074) - 巴尔卡勒
Bankeryd (57.86021, 14.124) - 班克吕德
Balsta (59.5671, 17.52781) - 巴尔斯塔
Baelinge (59.95, 17.53333) - 贝林厄
Baggetorp (59.15, 14.63333) - 巴格托普
Baeckefors (58.8049, 12.16202) - 贝克福什
Backe (63.81667, 16.4) - 巴克
Axvall (58.38333, 13.56667) - 阿克斯瓦尔
Avesta (60.14274, 16.16295) - 阿维斯塔
Atvidaberg (58.20152, 15.9977) - 阿特维达贝里
Astorp (56.13566, 12.9443) - 阿斯托普
Asmundtorp (55.88333, 12.93333) - 阿斯蒙托普
Asljunga (56.31667, 13.36667) - 阿斯隆加
Askersund (58.87988, 14.9023) - 阿斯克松德
Askeby (58.40772, 15.84852) - 阿斯克比
Ashammar (60.63712, 16.56036) - 阿沙马尔
Asensbruk (58.79878, 12.42194) - 阿森斯布鲁克
Asele (64.16026, 17.34762) - 阿瑟勒
Aseda (57.1701, 15.3443) - 阿瑟达
Asbro (59, 15.05) - 阿斯布罗
Asarp (58.02397, 13.5651) - 阿萨普
Aryd (56.82762, 14.97937) - 阿里德
Arvika (59.65528, 12.58518) - 阿尔维卡
Arvidsjaur (65.59033, 19.16682) - 阿尔维德斯亚尔
Arsunda (60.51644, 16.73436) - 阿尔松达
Arsta (59.2978, 18.0514) - 阿尔斯塔
Aroed (57.96841, 11.78487) - 阿勒德
Arnoe (58.72675, 17.02322) - 阿尔诺
Arnaes (57.20627, 12.21293) - 阿尔内斯
Arloev (55.63248, 13.07141) - 阿尔勒夫
AErla (59.27983, 16.67896) - 埃尔拉
Arkelstorp (56.16989, 14.29082) - 阿克尔斯托普
Arjeplog (66.05173, 17.88606) - 阿尔耶普卢格
Arjaeng (59.39217, 12.13336) - 阿尔耶恩
Arild (56.275, 12.575) - 阿里尔德
Ardala (58.36134, 13.33648) - 阿尔达拉
Arbra (61.46667, 16.38333) - 阿尔布拉
Arboga (59.39387, 15.83882) - 阿尔博加
Annelund (57.98843, 13.07483) - 安内伦德
Ankarsvik (62.37028, 17.41167) - 安卡尔斯维克
Ankarsrum (57.69896, 16.33407) - 安卡尔斯鲁姆
Angered (57.78628, 12.09852) - 安厄雷德
AEngelholm (56.2428, 12.86219) - 埃恩厄尔霍尔姆
Anderstorp (57.28333, 13.63333) - 安德斯托普
Andersloev (55.43836, 13.31966) - 安德斯勒夫
Amotfors (59.76191, 12.36211) - 阿莫特福什
Amal (59.051, 12.70492) - 阿马尔
AElvnaes (59.28333, 17.76667) - 埃尔夫内斯
AElvkarleby (60.57081, 17.44895) - 埃尔夫卡勒比
Alvesta (56.89935, 14.55559) - 阿尔维斯塔
AElvdalen (61.22774, 14.03935) - 埃尔夫达伦
AElvaengen (57.95872, 12.1235) - 埃尔瓦恩根
Alstermo (56.97303, 15.65413) - 阿尔斯特莫
Alster (59.39853, 13.61369) - 阿尔斯特
Alsike (59.75324, 17.77331) - 阿尔西克
Almunge (59.88333, 18.05) - 阿尔蒙厄
AElmsta (59.96667, 18.8) - 埃尔姆斯塔
AElmhult (56.55146, 14.13827) - 埃尔姆胡尔特
Allerum (56.12009, 12.69406) - 阿勒鲁姆
Alingsas (57.93033, 12.53345) - 阿林厄瑟斯
Algutsrum (56.68299, 16.52722) - 阿尔古茨鲁姆
Alfta (61.34675, 16.07499) - 阿尔夫塔
Aled (56.75, 12.93333) - 阿勒德
AElandsbro (62.67714, 17.8406) - 埃兰兹布鲁
Alafors (57.92579, 12.07835) - 阿拉福什
Akers Styckebruk (59.25, 17.08333) - 阿克尔斯斯蒂克布鲁克
Akersberga (59.47944, 18.29967) - 阿克尔斯贝里加
Akarp (55.65396, 13.11107) - 阿卡普
Ahus (55.91667, 14.28333) - 阿胡斯
Abytorp (59.12559, 15.07363) - 阿比托普
Abyggeby (60.73333, 17.11667) - 阿比耶比
Abborrberget (60.15, 14.8) - 阿博尔贝里耶特
Abbekas (55.4, 13.6) - 阿贝卡斯
Kurland (-33.94489, 23.49272) - 库尔兰
Skepparkroken (56.29167, 12.8) - 斯凯帕克罗肯
Vaestra Hagen (57.42444, 11.93583) - 韦斯特拉哈根
EnhagenEkbacken (59.56543, 16.53045) - 恩哈根埃克巴肯
Skavkulla (56.18333, 15.51667) - 斯卡夫库拉
