Radenci (46.64201, 16.03781) - 拉登茨
Radece (46.06806, 15.18389) - 拉代采
Race (46.45194, 15.68139) - 拉采
Puconci (46.70667, 16.15639) - 普琼齐
Ptuj (46.42005, 15.87018) - 普图伊
Prvacina (45.89, 13.71806) - 普尔瓦奇纳
Prevoje pri Sentvidu (46.16667, 14.66667) - 普雷沃耶普里圣维杜
Prevalje (46.54694, 14.92083) - 普雷瓦列
Prestranek (45.73033, 14.18622) - 普雷斯特拉内克
Prepolje (46.44417, 15.76389) - 普雷波列
Predoslje (46.26582, 14.38608) - 普雷多斯列
Preddvor (46.3025, 14.42306) - 普雷德沃尔
Prebold (46.23694, 15.0925) - 普雷博尔德
Pragersko (46.39667, 15.66) - 普拉格尔斯科
Bonini (45.52861, 13.78194) - 博尼尼
Postojna (45.77435, 14.21528) - 波斯托伊纳
Portoroz (45.51429, 13.59206) - 波尔托罗日
Pongrac (46.21667, 15.13333) - 蓬格拉茨
Polzela (46.28333, 15.06667) - 波尔泽拉
Poljcane (46.31194, 15.57917) - 波尔卡内
Polica (45.98197, 14.70498) - 波利察
Polhov Gradec (46.06694, 14.31611) - 波尔霍夫格拉代茨
Podvinci (46.4325, 15.91667) - 波德温齐
Podvelka (46.58694, 15.33056) - 波德韦尔卡
Podreca (46.17278, 14.41306) - 波德雷察
Podpec (45.96972, 14.4175) - 波德佩奇
Podljubelj (46.412, 14.275) - 波德柳贝尔
Podlehnik (46.33528, 15.88) - 波德莱赫尼克
Podkraj pri Velenju (46.3525, 15.08917) - 波德克拉伊普里韦莱纽
Podgrad (45.52167, 14.14611) - 波德格拉德
Podgorci (46.42917, 16.06361) - 波德戈尔齐
Podcetrtek (46.15694, 15.59861) - 波德切特特克
Podbrezje (46.3, 14.28333) - 波德布雷泽
Pobrezje (46.38472, 15.87861) - 波布雷泽
Planina (45.82903, 14.24969) - 普拉尼纳
Pivka (45.68292, 14.19588) - 皮夫卡
Piran (45.52778, 13.57056) - 皮兰
Pijava Gorica (45.95111, 14.57194) - 皮亚瓦戈里察
Petrovce (46.24167, 15.19) - 佩特罗夫采
Petisovci (46.52722, 16.46139) - 佩蒂索夫齐
Petanjci (46.65333, 16.06611) - 佩坦齐
Pesnica (46.60694, 15.67667) - 佩斯尼察
Pekre (46.54722, 15.59556) - 佩克雷
Zgornje Partinje (46.59556, 15.75861) - 兹戈尔涅帕尔廷耶
Pamece (46.53417, 15.07917) - 帕梅采
Ozeljan (45.94361, 13.73028) - 奥泽利安
Otocec (45.83967, 15.22528) - 奥托切茨
Otiski Vrh (46.57389, 15.03278) - 奥蒂什基弗尔赫
Osilnica (45.52914, 14.69838) - 奥西尔尼察
Ormoz (46.41139, 16.15444) - 奥尔莫兹
Oplotnica (46.38778, 15.44667) - 奥普洛特尼察
Odranci (46.58667, 16.28028) - 奥德兰齐
Obrez (46.39972, 16.23194) - 奥布雷兹
Novo Mesto (45.80397, 15.16886) - 新梅斯托
Nova Gorica (45.95604, 13.64837) - 新戈里察
Notranje Gorice (45.9875, 14.39889) - 诺特拉涅戈里采
Njiverce (46.40367, 15.80675) - 尼维尔采
Nedelica (46.61667, 16.33333) - 内德利察
Murska Sobota (46.6625, 16.16639) - 穆尔斯卡索博塔
Mozirje (46.33944, 14.96333) - 莫济尔耶
Moste (46.195, 14.55139) - 莫斯特
Moskanjci (46.42028, 15.99333) - 莫什坎齐
Morje (46.44444, 15.62139) - 莫尔耶
Moravske Toplice (46.68313, 16.2208) - 莫拉夫斯凯托普利采
Mokronog (45.93417, 15.14083) - 莫克罗诺格
Mojstrana (46.42383, 13.8752) - 莫伊斯特拉纳
Mlaka pri Kranju (46.28333, 14.35) - 姆拉卡普里克兰尤
Mislinjska Dobrava (46.46528, 15.12389) - 米斯林斯卡多布拉瓦
Mislinja (46.44141, 15.20027) - 米斯林亚
Mirna Pec (45.86028, 15.08333) - 米尔纳佩奇
Mirna (45.95528, 15.06194) - 米尔纳
Miren (45.89556, 13.6075) - 米伦
Migojnice (46.23333, 15.16667) - 米戈伊尼采
Mezica (46.52139, 14.85444) - 梅日察
Metlika (45.64722, 15.31417) - 梅特利卡
Menges (46.16694, 14.575) - 门格什
Melinci (46.57361, 16.23667) - 梅林齐
Mekinje (46.23333, 14.61667) - 梅金耶
Medvode (46.1422, 14.41114) - 梅德沃德
Martjanci (46.68639, 16.19778) - 马尔蒂扬齐
Markovci (46.39557, 15.92831) - 马尔科夫齐
Maribor (46.55472, 15.64667) - 马里博尔
Makole (46.31722, 15.66722) - 马科莱
Majsperk (46.35167, 15.73361) - 马伊什佩尔克
Lukavci (46.54333, 16.15278) - 卢卡夫齐
Loz (45.72417, 14.46889) - 洛兹
Lovrenc na Pohorju (46.54056, 15.39306) - 洛夫伦茨纳波霍尔尤
Loski Potok (45.70139, 14.58028) - 洛什基波托克
Lokovica (46.35944, 15.05194) - 洛科维察
Lokev (45.66111, 13.92806) - 洛凯夫
Lokavec (45.90167, 13.87972) - 洛卡韦茨
Loka pri Mengsu (46.15, 14.56528) - 洛卡普里门格苏
Log pri Brezovici (46.01667, 14.36667) - 洛格普里布雷佐维齐
Loce (46.29972, 15.5) - 洛采
Ljutomer (46.52083, 16.1975) - 柳托梅尔
Ljubno ob Savinji (46.34358, 14.83377) - 柳布诺奥布萨维尼
Ljubljana (46.05108, 14.50513) - 卢布尔雅那
Ljubecna (46.25567, 15.3243) - 柳贝奇纳
Litija (46.05861, 14.8225) - 利蒂亚
Lipovci (46.62833, 16.22806) - 利波夫齐
