Selnica ob Dravi (46.55, 15.495) 塞尔尼察奥布德拉维
Malecnik (46.55417, 15.70278) 马莱奇尼克
Zgornja Scavnica (46.65722, 15.84139) 兹戈尔尼亚绍夫尼察
Dolenji Bostanj (46.00944, 15.29083) 多伦吉博斯坦
Lucija (45.50526, 13.6024) 卢西亚
Jagodje (45.52845, 13.64721) 亚戈杰
Vanganel (45.51722, 13.77583) 瓦加内尔
Pobegi (45.53944, 13.79611) 波贝吉
Spodnje Skofije (45.57167, 13.7925) 斯波德涅什科菲耶
Rozna Dolina (45.94194, 13.66779) 罗兹纳多利纳
Smarjeske Toplice (45.86242, 15.22188) 斯马列什凯托普利采
Kisovec (46.13911, 14.96295) 基索韦茨
Cirkulane (46.34408, 15.99472) 齐尔库拉内
Komenda (46.20484, 14.53839) 科门达
Nazarje (46.31757, 14.94674) 纳扎列
Kostel (45.50842, 14.91005) 科斯特尔
Lavrica (46.00002, 14.5573) 拉夫里察
Seca (45.49584, 13.61466) 塞察
Prade (45.54003, 13.77607) 普拉德
Zasip (46.39284, 14.10869) 扎西普
Parecag (45.48202, 13.61305) 帕雷察格
Breg pri Polzeli (46.26958, 15.08763) 布雷格普里波尔泽利
Gradiška (46.61728, 15.64797) 格拉迪什卡
Pristava (46.34898, 14.30026) 普里斯塔瓦
Zadobrova (46.26581, 15.30435) 扎多布罗瓦
Rodica (46.14748, 14.59211) 罗迪察
Florjan (46.3932, 15.00912) 弗洛尔扬
Locica ob Savinji (46.26362, 15.09713) 洛奇察奥布萨维尼
Zaboršt (46.13539, 14.61294) 扎博尔什特
Gradisce (45.92215, 14.5874) 格拉迪谢
Trcova (46.54225, 15.71924) 特尔措瓦
Parižlje (46.27973, 15.05669) 帕里日列
Dobja Vas (46.54326, 14.94261) 多布亚瓦斯
Kampel (45.51372, 13.74571) 坎佩尔
Pivola (46.50247, 15.62126) 皮沃拉
Plintovec (46.63756, 15.61895) 普林托韦茨
Gaj (46.40538, 15.67255) 加伊
Lendavske Gorice (46.56209, 16.4673) 伦达夫斯克戈里采
Nova Štifta (46.27469, 14.74917) 诺瓦什蒂夫塔
Puštal (46.15064, 14.31186) 普什塔尔
Retece (46.15981, 14.36662) 雷特采
Hajdoše (46.43289, 15.82614) 哈伊多谢
Lopata (46.26031, 15.22936) 洛帕塔
Studence (46.30874, 15.16275) 斯图登采
Stara Fuzina (46.288, 13.893) 斯塔拉富齐纳
Žižki (46.56721, 16.31499) 日日基
Leše (46.52846, 14.89385) 莱谢
Nožice (46.18466, 14.59525) 诺日采
Gabernik (46.42609, 15.59364) 加贝尔尼克
Kovaca Vas (46.41073, 15.5595) 科瓦察瓦斯
Šalara (45.51849, 13.71757) 沙拉拉
Slovenska Vas (45.95534, 15.09164) 斯洛文斯卡瓦斯
Bošamarin (45.52028, 13.73584) 博沙马林
Pušča (46.65573, 16.13903) 普什查
Visole (46.40353, 15.52757) 维索莱
Cesta (45.88794, 13.86961) 采斯塔
Žlebe (46.11541, 14.39582) 日莱贝
Vaše (46.13435, 14.39542) 瓦谢
Rocevnica (46.35351, 14.28515) 罗采夫尼察
Smokuc (46.38555, 14.16466) 斯莫库茨
Kolomban (45.59036, 13.74749) 科隆班
Zamušani (46.42204, 16.02938) 扎穆沙尼
Verje (46.14699, 14.41887) 韦尔耶
Arja Vas (46.25866, 15.18911) 阿尔亚瓦斯
Bezena (46.54798, 15.53334) 贝泽纳
Pernovo (46.29065, 15.18618) 佩尔诺沃
Bistrica ob Dravi (46.55419, 15.54855) 比斯特里察奥布德拉维
Srednje Gameljne (46.12953, 14.50472) 斯雷德涅加梅尔涅
Spodnje Poljcane (46.31455, 15.58973) 斯波德涅波尔贾内
Longyearbyen (78.22334, 15.64689) 隆伊尔城
Olonkinbyen (70.9221, -8.7187) 奥隆金城
Zehra (48.9796, 20.7917) 泽赫拉
Zdiar (49.271, 20.26239) 兹迪亚尔
Vysoke Tatry (49.13637, 20.24386) 高塔特里
Vysny Medzev (48.71395, 20.90288) 维什尼梅泽夫
Vysne Ruzbachy (49.30387, 20.56558) 维什内鲁兹巴希
Vrbov (49.08764, 20.4253) 弗尔博夫
Vranov nad Toplou (48.88836, 21.68479) 弗拉诺夫纳德托普洛乌
Vinne (48.80965, 21.96757) 维内
Velke Kapusany (48.55197, 22.08036) 大卡普沙尼
Turna nad Bodvou (48.59999, 20.88093) 图尔纳纳德博德沃乌
Trhoviste (48.69822, 21.80465) 特尔霍维什特
Trebisov (48.62858, 21.71954) 特雷比绍夫
Tornala (48.41915, 20.32566) 托尔纳拉
Tatranska Lomnica (49.16616, 20.28128) 塔特兰斯卡洛姆尼察
Svit (49.06014, 20.20695) 斯维特
Svidnik (49.30819, 21.5703) 斯维德尼克
Stropkov (49.20211, 21.65216) 斯特罗普科夫
Strba (49.05913, 20.07975) 什特尔巴
Strazske (48.8735, 21.83668) 斯特拉日斯凯
Stary Smokovec (49.13905, 20.22034) 斯塔里斯莫科韦茨
Stara Lubovna (49.29859, 20.6862) 斯塔拉卢博夫尼亚
Spisske Podhradie (49.00088, 20.75307) 斯皮什斯凯波德赫拉杰
Spisska Nova Ves (48.94464, 20.56153) 斯皮什斯卡诺瓦维斯
Spisska Bela (49.18725, 20.45948) 斯皮什斯卡贝拉
Sobrance (48.74455, 22.18136) 索布兰采
Snina (48.98857, 22.15099) 斯尼纳
Secovce (48.70074, 21.66104) 塞乔夫采
Sabinov (49.10309, 21.0988) 萨比诺夫
Roznava (48.66009, 20.53758) 罗兹纳瓦
