Tha Uthen (17.57605, 104.59906) - 他乌腾
Tha Tum (15.3195, 103.67542) - 他吞
That Phanom (16.93636, 104.71039) - 他巴侬
Tha Tako (15.64218, 100.47839) - 他塔科
Tha Ruea (14.56739, 100.72598) - 他鲁厄
Tha Pla (17.79112, 100.37611) - 他普拉
Thap Khlo (16.16003, 100.59656) - 他普科
Thanyaburi (14.02114, 100.73433) - 他尼亚布里
Than To (6.16739, 101.18008) - 他托
Tha Mai (12.62137, 102.00481) - 他迈
Tha Luang (15.07124, 101.09801) - 他銮
Tha Li (17.62355, 101.42099) - 他里
Tha Khantho (16.93953, 103.24586) - 他坎托
Tha Bo (17.85003, 102.58139) - 他博
Ta Phraya (14.00308, 102.80541) - 他帕亚
Taphan Hin (16.22095, 100.41978) - 他攀欣
Tao Ngoi (16.99689, 104.16672) - 陶艾
Tan Sum (15.31569, 105.15464) - 丹森
Tamot (7.33922, 100.11167) - 他莫
Taling Chan (13.77698, 100.4567) - 他林占
Takhli (15.26336, 100.34378) - 他克里
Tak Bai (6.25947, 102.05461) - 他拜
Suwannaphum (15.60348, 103.80207) - 苏万纳普
Suwannakhuha (17.56292, 102.27989) - 苏万纳库哈
Suphan Buri (14.47418, 100.12218) - 素攀武里
Sung Noen (14.8992, 101.82075) - 松嫩
Sung Men (18.0494, 100.11457) - 松门
Ban Sungai Pa Di (6.07239, 101.87172) - 班松艾帕迪
Sungai Kolok (6.02977, 101.96586) - 松艾戈洛
Sukhirin (5.93889, 101.77077) - 苏基林
So Phisai (18.0772, 103.4432) - 索披塞
Song Phi Nong (14.22408, 100.02094) - 宋披农
Songkhla (7.19882, 100.5951) - 宋卡
Somdet (16.70462, 103.74935) - 松德
Soeng Sang (14.42642, 102.46058) - 松桑
Si Thep (15.45214, 101.06667) - 是贴
Si That (16.97361, 103.21644) - 是塔
Si Songkhram (17.62745, 104.25069) - 是宋卡
Si Sakhon (6.23137, 101.50048) - 是沙空
Si Sa Ket (15.11481, 104.32938) - 是沙给
Si Rattana (14.79328, 104.46922) - 是拉塔纳
Si Racha (13.17372, 100.93111) - 是拉差
Si Prachan (14.61992, 100.14483) - 是帕占
Sing Buri (14.88786, 100.40464) - 信武里
Si Mueang Mai (15.49315, 105.27624) - 是缅迈
Si Maha Phot (13.96597, 101.51303) - 是玛哈菩
Si Khoraphum (14.94418, 103.79704) - 是考拉普
Sikhio (14.89225, 101.72314) - 是基奥
Si Chomphu (16.79878, 102.18466) - 是琼普
Si Chiang Mai (17.95639, 102.58667) - 是清迈
Si Bun Rueang (16.96705, 102.27607) - 是本伦
Senangkhanikhom (16.03972, 104.66939) - 色南卡尼空
Selaphum (16.02992, 103.93826) - 色拉普
Seka (17.92851, 103.95519) - 色卡
Sawang Daen Din (17.47531, 103.45753) - 沙旺丹丁
Sawaeng Ha (14.74642, 100.32942) - 沙旺哈
Satun (6.62314, 100.06676) - 沙敦
Satuek (15.29703, 103.29192) - 沙图克
Sattahip (12.66644, 100.90073) - 沙塔希
Sathing Phra (7.47303, 100.43908) - 沙廷帕
Saraburi (14.53333, 100.91667) - 沙拉武里
Sao Hai (14.55083, 100.84436) - 沙亥
Sapphaya (15.14616, 100.24215) - 沙帕亚
Sanom (15.2036, 103.76054) - 沙农
Sankhaburi (15.04733, 100.16178) - 桑卡武里
Sangkhom (18.06389, 102.27364) - 桑科姆
Sang Khom (17.82649, 103.09262) - 桑科姆
Sangkha (14.6362, 103.85278) - 桑卡
Sanam Chai Khet (13.65864, 101.43906) - 沙南猜凯
Samut Songkhram (13.41456, 100.00264) - 沙没颂堪
Samut Sakhon (13.54753, 100.27362) - 沙没沙空
Samut Prakan (13.5976, 100.5972) - 沙没巴干
Samrong Thap (15.02258, 103.93631) - 三隆塔
Sam Phran (13.72698, 100.21526) - 三攀
Samphanthawong (13.73147, 100.51414) - 三攀他旺
Sam Ngam (16.50653, 100.20497) - 三岩
Sam Ko (14.60735, 100.2186) - 三哥
Sam Khok (14.0655, 100.52264) - 三科
Sam Chuk (14.75763, 100.08992) - 三竹
Sakon Nakhon (17.16116, 104.14725) - 沙功那空
Sa Kaeo (13.81411, 102.07222) - 沙缴
Sai Noi (13.97915, 100.31209) - 赛诺伊
Sai Mun (15.94495, 104.20812) - 赛蒙
Sai Buri (6.70131, 101.61675) - 赛布里
Sahatsakhan (16.71236, 103.5202) - 沙哈萨坎
Sadao (6.63883, 100.42342) - 沙道
Saba Yoi (6.6175, 100.95189) - 沙巴约
Rueso (6.39364, 101.51847) - 鲁索
Rong Kwang (18.33903, 100.31736) - 容光
Rong Kham (16.26943, 103.74689) - 容坎
Roi Et (16.0567, 103.65309) - 黎逸
Renu Nakhon (17.05157, 104.67709) - 热努那空
Rayong (12.68095, 101.25798) - 罗勇
Rattaphum (7.13478, 100.25647) - 拉塔普
Rattanaburi (15.31788, 103.84859) - 拉塔纳布里
Rat Burana (13.68219, 100.50603) - 拉布拉纳
Rasi Salai (15.34466, 104.15476) - 拉西沙莱
Ranot (7.77768, 100.32134) - 拉诺
Rangae (6.29678, 101.72844) - 兰艾
Raman (6.47862, 101.42414) - 拉曼
