Pueai Noi (15.86978, 102.90767) 普艾诺伊
Pua (19.17503, 100.91622) 普阿
Prathai (15.53319, 102.72283) 普拉泰
Prasat (14.64039, 103.40447) 普拉萨
Prang Ku (14.85672, 104.03981) 普朗库
Pakham (14.43817, 102.72558) 帕坎
Prachin Buri (14.04992, 101.36864) 巴真武里
Prachantakham (14.06442, 101.51503) 巴占他堪
Pong Nam Ron (12.90575, 102.26225) 邦南隆
Pong (19.14931, 100.27522) 邦
Pom Prap Sattru Phai (13.75822, 100.51325) 邦巴普萨图派
Pluak Daeng (12.97122, 101.21463) 普鲁阿克登
Pla Pak (17.18064, 104.52606) 帕帕克
Plaeng Yao (13.58467, 101.28403) 帕耶奥
Phu Wiang (16.65259, 102.37555) 普维昂
Phutthaisong (15.54783, 103.02467) 普泰颂
Phu Ruea (17.4538, 101.36231) 普鲁阿
Phu Pha Man (16.64888, 101.90097) 普帕曼
Phu Luang (17.1392, 101.66392) 普鲁昂
Phu Kradueng (16.88425, 101.88467) 普卡都
Phu Khiao (16.3765, 102.12853) 普卡奥
Phrom Phiram (17.03352, 100.2019) 普隆皮拉姆
Phrom Buri (14.79086, 100.45325) 普隆武里
Phra Yuen (16.3293, 102.65182) 帕元
Phra Pradaeng (13.65855, 100.53362) 帕拉丹
Phra Phutthabat (14.72526, 100.79536) 帕佛塔巴
Phra Khanong (13.70185, 100.60157) 帕卡农
Phrai Bueng (14.74833, 104.36261) 帕莱布恩
Phrae (18.14589, 100.14103) 帕
Pho Thong (14.66731, 100.40878) 波通
Pho Thale (16.09269, 100.26089) 波塔勒
Pho Sai (15.82586, 105.26064) 波赛
Phon Sai (15.48797, 103.99642) 波恩赛
Phon Phisai (18.02106, 103.07664) 波恩皮赛
Phon Charoen (18.03333, 103.16667) 波恩查伦
Phon (15.816, 102.59981) 波恩
Chai Wari (16.32827, 103.77033) 乍瓦里
Phitsanulok (16.82481, 100.25858) 彭世洛
Phimai (15.22324, 102.49473) 披迈
Phichit (16.44184, 100.34879) 披集
Phichai (17.28764, 100.0867) 披猜
Phibun Mangsahan (15.24467, 105.22908) 披汶芒沙汉
Phetchabun (16.41904, 101.16056) 碧差汶
Phen (17.69614, 102.90689) 彭
Phayuha Khiri (15.45525, 100.13533) 帕育哈基里
Phayakkhaphum Phisai (15.51631, 103.19367) 帕亚卡普姆皮赛
Phatthalung (7.61786, 100.07792) 博他仑
Phasi Charoen (13.71466, 100.43691) 帕西查伦
Phan Thong (13.46804, 101.09532) 潘通
Phanom Sarakham (13.74872, 101.34888) 帕农萨拉堪
Phanom Phrai (15.67783, 104.11025) 帕农普莱
Phanna Nikhom (17.35245, 103.85032) 帕纳尼空
Phang Khon (17.39051, 103.71692) 帕空
Phanat Nikhom (13.44581, 101.18445) 帕纳尼空
Phana (15.68231, 104.84603) 帕纳
Phak Hai (14.45736, 100.36989) 帕海
Phai Sali (15.60003, 100.64937) 帕萨里
Phachi (14.44914, 100.72833) 帕奇
Pa Bon (7.26942, 100.17036) 帕博恩
Phaya Mengrai (19.84922, 100.15358) 帕亚蒙莱
Pattani (6.86814, 101.25009) 北大年
Pa Tio (15.83281, 104.38673) 帕提奥
Pathum Thani (14.01346, 100.53049) 巴吞他尼
Pathum Rat (15.6345, 103.34325) 巴吞叻
Panare (6.86192, 101.49103) 帕纳雷
Pa Mok (14.48989, 100.44847) 帕莫克
Pak Thong Chai (14.7226, 102.02512) 帕通猜
Pak Phli (14.16308, 101.26886) 帕普里
Pak Phayun (7.34219, 100.31747) 帕帕云
Pak Phanang (8.35109, 100.20195) 帕帕囊
Pak Kret (13.91301, 100.49883) 帕克雷
Pak Khat (18.30556, 103.30441) 帕卡特
Pak Chong (14.70802, 101.41614) 帕冲
Pa Daet (19.50489, 99.99241) 帕代
Ongkharak (14.12117, 101.00364) 翁卡拉
Non Thai (15.1958, 102.07145) 农泰
Mueang Nonthaburi (13.86075, 100.51477) 暖武里
Non Sung (15.18014, 102.25695) 农松
Non Sang (16.8687, 102.56642) 农桑
Non Saat (16.97914, 102.89369) 农萨
Non Kho (14.91666, 104.72522) 农科
Nong Yai (13.15515, 101.37226) 农亚伊
Nong Sung (16.48299, 104.34712) 农松
Nong Suea (14.13478, 100.82503) 农苏阿
Nong Saeng (17.16739, 102.78081) 农盛
Nong Ruea (16.49333, 102.43339) 农鲁阿
Nong Phok (16.31006, 104.20247) 农博
Nong Phai (15.99025, 101.06183) 农派
Nong Ki (14.68679, 102.538) 农基
Nong Khai (17.87847, 102.742) 廊开
Nong Khaem (13.70528, 100.34923) 农卡姆
Nong Khae (14.34062, 100.86733) 农卡
Nong Hong (14.84782, 102.68401) 农红
Nong Han (17.36083, 103.10533) 农汉
Nong Chok (13.85585, 100.86216) 农卓
Nong Chik (6.84356, 101.17803) 农吉
Nong Bun Nak (14.73947, 102.36564) 农本纳
Nong Bua Rawe (15.75314, 101.76396) 农布拉韦
Nong Bua Lamphu (17.20406, 102.44068) 农布拉普
Nong Bua Daeng (16.07978, 101.80225) 农布拉登
