Nong Bua (15.86458, 100.58581) 农布阿
Noen Maprang (16.56667, 100.63333) 能玛攀
Nikhom Nam Un (17.18314, 103.71842) 尼空南温
Nikhom Kham Soi (16.37167, 104.55147) 尼空坎索伊
Na Wa (17.4897, 104.10056) 那瓦
Na Thawi (6.74192, 100.69139) 那他威
Narathiwat (6.42639, 101.82308) 那拉提瓦
Na Pho (15.64113, 102.95462) 那坡
Na Noi (18.32639, 100.71417) 那诺伊
Nang Rong (14.6377, 102.79138) 能隆
Nan (18.78378, 100.77899) 南
Na Muen (18.18931, 100.66047) 那棉
Nam Som (17.77036, 102.18947) 南颂
Nam Phong (16.70228, 102.85569) 南蓬
Nam Pat (17.72806, 100.68433) 南帕
Na Mon (16.57653, 103.78711) 那蒙
Nam Nao (16.76753, 101.66917) 南瑙
Nam Kliang (14.92731, 104.51303) 南格良
Nakhon Thai (17.10056, 100.83739) 那空泰
Nakhon Sawan (15.70472, 100.13717) 那空沙旺
Nakhon Ratchasima (14.97066, 102.10196) 那空叻差是玛
Nakhon Phanom (17.41081, 104.77856) 那空帕农
Nakhon Pathom (13.8196, 100.04427) 那空巴统
Nakhon Nayok (14.20463, 101.21295) 那空那育
Nakhon Luang (14.46281, 100.60832) 那空銮
Nakhon Chai Si (13.80126, 100.18451) 那空猜是
Na Kae (16.94645, 104.50081) 那盖
Na Chueak (15.79339, 103.03184) 那却
Na Chaluai (14.52046, 105.24478) 那查鲁艾
Mukdahan (16.54531, 104.72351) 莫达汉
Mueang Suang (15.82192, 103.72884) 蒙双
Muang Sam Sip (15.51307, 104.72565) 蒙三十
Min Buri (13.81407, 100.73135) 民武里
Moeiwadi (16.38944, 104.1572) 湄瓦迪
Manorom (15.30997, 100.08283) 玛诺隆
Mancha Khiri (16.13048, 102.53712) 曼查基里
Makkasan (13.7523, 100.54335) 玛卡山
Makham (12.67292, 102.19575) 马甘
Mai Kaen (6.60975, 101.66686) 麦艮
Maha Sarakham (16.18483, 103.30067) 玛哈沙拉堪
Maha Rat (14.53367, 100.52672) 玛哈叻
Maha Chana Chai (15.52935, 104.23847) 玛哈查纳猜
Mae Charim (18.70614, 101.0057) 湄查林
Lop Buri (14.79808, 100.65397) 罗布里
Lom Sak (16.77983, 101.24225) 龙萨
Lom Kao (16.88614, 101.22894) 龙考
Loeng Nok Tha (16.2075, 104.55528) 龙诺塔
Loei (17.49052, 101.72749) 黎
Lat Lum Kaeo (14.03728, 100.40486) 拉鲁姆盖奥
Lat Bua Luang (14.16572, 100.30789) 拉布阿銮
Lap Lae (17.65211, 100.03892) 拉普莱
Lam Plai Mat (15.0252, 102.83894) 兰普莱玛
Lam Luk Ka (13.93226, 100.74937) 兰鲁卡
Lamduan (14.72205, 103.66934) 兰端
Lahan Sai (14.41142, 102.85936) 拉汉赛
Laem Sing (12.48164, 102.07375) 岭辛
Laem Ngop (12.17169, 102.39489) 岭鄂
Kut Khaopun (15.79267, 104.99814) 屈考奔
Kut Chum (16.03289, 104.33936) 屈春
Kut Chap (17.4257, 102.56692) 屈甲
Kut Bak (17.08882, 103.81875) 屈巴
Kusuman (17.33259, 104.33147) 库苏满
Kumphawapi (17.10875, 103.01487) 孔帕瓦皮
Kuchinarai (16.541, 104.05004) 库奇纳莱
Bangkok (13.75398, 100.50144) 曼谷
Krok Phra (15.55589, 100.07153) 克洛帕
Krathum Baen (13.6533, 100.25972) 卡通班
Krasang (14.92375, 103.30369) 卡桑
Krasae Sin (7.61548, 100.32842) 卡赛信
Kranuan (16.70672, 103.07878) 卡努安
Kosum Phisai (16.24858, 103.06739) 高松披塞
Ko Si Chang (13.16389, 100.80547) 高斯昌
Klaeng (12.77972, 101.64831) 盖
Khun Han (14.61739, 104.42506) 昆汉
Khu Mueang (15.2716, 103.00167) 库蒙
Khu Khan (14.71358, 104.19836) 库坎
Khuan Niang (7.19138, 100.35355) 宽娘
Khuan Khanun (7.7347, 100.00931) 宽卡农
Khuan Kalong (6.84538, 100.07148) 宽卡隆
Khueang Nai (15.38989, 104.55083) 克楠奈
Khuan Don (6.78758, 100.07778) 宽敦
Kho Wang (15.36998, 104.35231) 科旺
Khon Sawan (15.93192, 102.28103) 孔沙湾
Khon San (16.61286, 101.91944) 孔山
Khon Kaen (16.44671, 102.833) 孔敬
Khong Chiam (15.31856, 105.49506) 孔占
Khong (15.44393, 102.32862) 孔
Khon Buri (14.52541, 102.24591) 孔布里
Khok Si Suphan (17.04507, 104.2756) 科西素攀
Khok Samrong (15.06649, 100.72233) 科三荣
Khok Pho (6.73064, 101.09619) 科坡
Khok Charoen (15.37927, 100.8187) 科查伦
Khlung (12.45467, 102.22142) 克隆
Khlong Yai (11.77645, 102.88567) 空艾
Khlong San (13.73086, 100.50903) 空山
Khlong Luang (14.06467, 100.64578) 空銮
Khlong Hat (13.45177, 102.29823) 空哈
Khemarat (16.04252, 105.21836) 克玛叻
Khao Wong (16.70008, 104.09019) 考翁
Khao Saming (12.35353, 102.4355) 考萨明
