Don Chan (16.45711, 103.69558) 东昌
Phu Phan (16.99891, 103.97347) 普攀
Si Wilai (18.18188, 103.74793) 是威莱
Phu Sing (14.54744, 104.13167) 普星
Pho Si Suwan (15.22929, 104.0767) 波是素万
Sila Lat (15.47156, 104.07153) 西拉拉特
Thai Charoen (16.06645, 104.44018) 泰查伦
Phon Na Kaeo (17.22122, 104.28995) 蓬那胶
Wang Yang (17.05751, 104.45333) 旺阳
Nathom (17.78536, 104.09072) 那通
Thung Si Udom (14.73303, 104.90897) 通是乌东
Nam Khun (14.58386, 104.92481) 南坤
Benchalak (14.79583, 104.67017) 本查拉克
Pathum Ratchawongsa (15.89224, 104.90563) 巴吞拉查翁沙
Don Mot Daeng (15.37903, 105.02786) 东莫丹
Mae Wang (18.61604, 98.77292) 湄旺
Khao Kho (16.65791, 101.02208) 考科
Phra Thong Kham (15.306, 101.983) 帕通堪
Wiang Kao (16.68247, 102.28511) 威昂考
Khaen Dong (15.32476, 103.13343) 坎东
Sirindhorn (15.20084, 105.39222) 西林通
Sida (15.54994, 102.56675) 西达
Srinagarindra (7.56991, 99.94353) 斯里纳加林德拉
Sam Chai (16.86322, 103.54106) 三柴
Dong Charoen (16.02058, 100.66286) 东查伦
Chaem Luang (19.03193, 98.28767) 占銮
Rattanawapi (18.21365, 103.17967) 拉塔纳瓦皮
Hat Samran (7.24034, 99.57621) 哈三兰
Ban Pa Pae (18.28425, 98.05683) 班帕佩
Bung Khla (18.30232, 103.97418) 邦卡拉
Ban Aranyik (16.82553, 100.28486) 班阿兰益
Chai Prakan (19.73136, 99.13997) 柴帕干
Doi Luang (20.11783, 100.09919) 多伊銮
Mae On (18.77681, 99.24861) 湄安
Sop Moei (17.96209, 97.93288) 索普梅
Bua Lai (15.66548, 102.49881) 布阿莱
Phra Samut Chedi (13.60222, 100.5721) 帕萨穆切迪
Singhanakhon (7.23903, 100.55272) 辛哈纳空
Phu Sang (19.59903, 100.32444) 普桑
Mae Hi (19.34286, 98.45023) 湄希
Pa Phayom (7.84031, 99.91773) 帕帕勇
Na Yong (7.56167, 99.69483) 那勇
Pho Tak (17.87486, 102.40406) 波塔克
Ko Kut (11.65856, 102.54197) 哥库
Bang Bon (13.66185, 100.39567) 邦邦
Phra Nakhon (13.76512, 100.49864) 帕那空
Na Kluea (12.96199, 100.89715) 那克鲁亚
Don Mueang City (13.91361, 100.58972) 廊曼市
Yovon (38.31408, 69.03784) 约万
Hulbuk (37.80542, 69.64516) 胡尔布克
Vorukh (39.85125, 70.58012) 沃鲁赫
Varzob (38.77369, 68.81776) 瓦尔佐布
Vanj (38.37078, 71.45474) 瓦恩
Vakhsh (37.71485, 68.83456) 瓦赫什
Istaravshan (39.9142, 69.00328) 伊斯塔拉夫尚
Tavildara (38.69529, 70.48422) 塔维尔达拉
Tartiki (37.58221, 68.13347) 塔尔提基
Tagob (38.83827, 68.89847) 塔戈布
Tajikobod (39.12405, 70.84009) 塔吉科博德
Shurobod (37.84137, 70.04865) 舒罗博德
Shahrinav (38.57085, 68.33498) 沙赫里纳夫
Shahriston (39.77447, 68.80929) 沙赫里斯通
Shahritus (37.26206, 68.13849) 沙赫里图斯
Sarikhosor (38.53852, 69.83077) 萨里霍索尔
Rushon (37.94487, 71.55745) 鲁尚
Roshtqal'a (37.25827, 71.82591) 罗什特卡拉
Roghun (38.78257, 69.87081) 罗贡
Bokhtar (37.83667, 68.7775) 博克塔尔
Panj (37.23634, 69.09911) 潘杰
Panjakent (39.49524, 67.60931) 潘贾肯特
Farkhor (37.49219, 69.40356) 法尔霍尔
Orzu (37.5582, 68.81952) 奥尔祖
Vahdat (38.55632, 69.01354) 瓦赫达特
Ismoili Somoni (37.76627, 68.80126) 伊斯莫伊利索莫尼
Obikiik (38.16033, 68.66605) 奥比基克
Obigarm (38.71731, 69.70885) 奥比加姆
Norak (38.38917, 69.32272) 诺拉克
Novobod (39.01084, 70.15082) 诺沃博德
Murghob (38.17023, 73.96674) 穆尔加布
Moskva (37.66101, 69.62849) 莫斯科
Somoniyon (38.44173, 68.77458) 索莫尼扬
Mu'minobod (38.10714, 70.03213) 穆明纳巴德
Bokhtariyon (37.88176, 68.7297) 博赫塔里扬
Abdurahmoni Jomi (37.94636, 68.80878) 阿卜杜拉赫莫尼乔米
Kulob (37.91459, 69.78454) 库洛布
Darband (38.86776, 69.96642) 达尔班德
Kolkhozobod (37.58823, 68.65886) 科尔霍佐博德
Khovaling (38.34194, 69.97531) 霍瓦林
Khorugh (37.48974, 71.55304) 霍鲁格
KhodzhaMaston (38.74457, 68.62702) 霍贾马斯顿
Karakenja (39.23585, 71.52412) 卡拉肯贾
Levakant (37.87136, 68.92233) 列瓦坎特
Qalaikhumb (38.45373, 70.78902) 卡莱洪布
Qubodiyon (37.40973, 68.18644) 库博迪扬
Ishqoshim (36.72484, 71.61331) 伊什科希姆
Hisor (38.52504, 68.55124) 希索尔
Gharavuti (37.56703, 68.44668) 加拉武提
Ghonchi (39.96238, 69.12966) 冈奇
Fayzobod (38.54731, 69.3198) 法伊佐博德
Jirghatol (39.21966, 71.19155) 吉尔加托尔
