Yarbasan (38.98889, 28.80806) 亚尔巴桑
Yapraktepe (37.8194, 42.78153) 叶普拉克特佩
Yaprakbasi (37.65409, 40.54635) 叶普拉克巴什
Yanisli (36.1638, 33.49965) 亚尼什利
Yanarsu (38.03641, 41.55227) 亚纳尔苏
Yavuzlu (36.69551, 37.27197) 亚武兹鲁
Yamanli (38.18055, 36.24015) 亚曼利
Yamacoba (37.17242, 37.08849) 亚马乔巴
Yamac (38.77623, 40.43894) 亚马奇
Yalvac (38.29556, 31.17778) 亚尔瓦奇
Yalniz (36.46667, 30.11667) 亚尔尼兹
Yalmanli (36.90258, 35.30204) 亚尔曼利
Yalinca (37.85657, 43.5223) 亚林贾
Yalikavak (37.10528, 27.29722) 亚利卡瓦克
Yalihuyuk (37.30077, 32.08548) 亚利胡尤克
Yalankoz (37.22117, 37.40732) 亚兰科兹
Yalangoz (36.5768, 36.50766) 亚兰戈兹
Yakasinek (38.55167, 31.1725) 亚卡西内克
Yakapinar (36.97342, 35.62043) 亚卡皮纳尔
Yakacik (40.896, 35.4291) 亚卡吉克
Payas (36.756, 36.21432) 帕亚斯
Yakakoey (37.86722, 30.04611) 亚卡科伊
Yahyali (38.10228, 35.35704) 亚赫亚利
Yahsihan (39.85028, 33.45294) 亚赫西汉
Yahsiler (37.64489, 28.88051) 亚赫西勒尔
Yagcilar (39.41712, 28.38109) 亚格吉拉尔
Yagca (37.06274, 30.55824) 亚格贾
OErentaht (37.53143, 28.35949) 厄伦塔赫特
Viransehir (37.22349, 39.75519) 维兰谢希尔
Velihimmetli (39.68924, 32.65526) 韦利希梅特利
Varto (39.17375, 41.45402) 瓦尔托
Varsak (36.98973, 30.71588) 瓦尔萨克
Varimli (37.19044, 41.83354) 瓦里姆利
Van (38.49457, 43.38323) 凡
Vakif (37.62302, 28.98291) 瓦基夫
Pinarlar (37.50809, 29.08083) 皮纳尔拉尔
Uzunlar (37.94939, 28.20295) 乌尊拉尔
Uzunkuyu (37.62641, 37.70566) 乌尊库尤
Uzungecit (37.49425, 42.99303) 乌尊格吉特
Cimin (39.70947, 39.70015) 吉明
Uzumlu (37.8273, 27.57013) 乌祖姆鲁
Yesiluzumlu (36.73361, 29.23333) 叶希尔乌祖姆鲁
Usak (38.67351, 29.4058) 乌沙克
Urundu (36.95902, 31.10356) 乌伦杜
Urla (38.32292, 26.76403) 乌尔拉
UErguep (38.6296, 34.91199) 厄尔居普
Sanliurfa (37.16708, 38.79392) 尚勒乌尔法
Umurlu (37.85003, 27.96275) 乌穆尔鲁
Umur (37.54349, 28.02915) 乌穆尔
Umraniye (41.01643, 29.12476) 乌姆拉尼耶
Uluyatir (36.96333, 37.69361) 乌鲁亚提尔
Ulupinar (36.45344, 30.43233) 乌鲁皮纳尔
Goekcekent (36.53758, 32.85795) 格克肯特
Ulukonak (37.59658, 27.83143) 乌鲁科纳克
Ulukisla (37.54776, 34.48528) 乌鲁基什拉
Uludere (37.44074, 42.85236) 乌鲁德雷
Arsuz (36.41305, 35.89033) 阿尔苏兹
Ulucanlar (39.48459, 42.27423) 乌鲁詹拉尔
Ulucak (36.98028, 30.12889) 乌鲁贾克
Uluborlu (38.07825, 30.45019) 乌鲁博尔鲁
Ulubey (40.86863, 37.75405) 乌鲁贝伊
Ulubahce (37.50241, 37.36099) 乌鲁巴赫切
Uluagac (36.84361, 39.13889) 乌鲁阿贾克
Ulasli (40.70583, 29.69608) 乌拉什利
Ulas (39.44492, 37.039) 乌拉什
Ulak (37.27203, 41.80062) 乌拉克
Ugruca (37.27241, 37.46766) 乌古鲁贾
Ugrak (37.19831, 41.76348) 乌古拉克
Ufacikli (37.4113, 37.32954) 乌法吉克利
Uctepe (37.8257, 40.54402) 乌克特佩
Ucpinar (37.13413, 32.26146) 乌克皮纳尔
Uckavak (37.49514, 40.96866) 乌克卡瓦克
Ucgoz (37.64029, 37.96559) 乌克戈兹
Ucgol (37.24613, 37.68726) 乌克戈尔
Ucdam (39.56308, 40.1757) 乌克达姆
Goermeli (36.54393, 32.97776) 格尔梅利
Tuzlukcu (38.47778, 31.62639) 图兹卢克丘
Tuzlagozu (38.18022, 41.5687) 图兹拉戈祖
Tuzburgazi (37.62375, 27.2125) 图兹布尔加兹
Tuetenocak (38.09952, 41.68173) 吐滕奥贾克
Tutak (39.53854, 42.76587) 图塔克
Tut (37.79529, 37.9161) 图特
Turuncova (36.36889, 30.1375) 图伦乔瓦
Turunc (36.77368, 28.24825) 图伦奇
Turkoglu (37.38649, 36.84262) 图尔科格鲁
Turkmenhaci (37.80668, 40.61117) 图尔克门哈吉
Tuerkbuekue (37.13322, 27.37364) 图尔克布克
Turgutlu (38.49533, 27.6997) 图尔古特鲁
Turgut (37.375, 28.03111) 图尔古特
Turanlar (37.83376, 27.62056) 图兰拉尔
Tunceli (39.09921, 39.54351) 通杰利
Alabugday (37.99747, 39.47952) 阿拉布格代
Sutluce (39.16228, 39.544) 苏特吕杰
Tufanbeyli (38.26333, 36.22056) 图凡贝伊利
Tosmurlu (36.38353, 33.90107) 托斯穆尔鲁
Toslak (36.62722, 31.90294) 托斯拉克
Torunsolakli (37.30139, 35.22639) 托伦索拉克利
Torbali (38.1519, 27.36223) 托尔巴勒
Toptepe (37.2613, 41.24858) 托普特佩
Toprakkale (37.06855, 36.14661) 托普拉卡莱
