Topcam (37.55, 28.25) - 托普贾姆
Topalli (37.03487, 30.80974) - 托帕利
Topakli (39.00555, 34.82644) - 托帕克利
Pinarbasi (38.72285, 36.39314) - 皮纳尔巴希
Tomruksuyu (36.15442, 36.0423) - 托姆鲁克苏尤
Tomarza (38.44722, 35.79917) - 托马尔扎
Ikizce (41.05833, 37.08028) - 伊基兹杰
Tokuslar (38.75528, 30.16667) - 托库斯拉尔
Tokluca (37.58422, 41.03675) - 托克鲁贾
Toklar (38.41806, 36.015) - 托克拉尔
Tirtar (37.05431, 34.34532) - 蒂尔塔尔
Tire (38.08877, 27.73508) - 提雷
Tetirlik (37.5362, 37.27477) - 特提尔利克
Terken (37.12364, 37.00654) - 特尔肯
Tercan (39.77709, 40.37783) - 特尔詹
Tepeustu (37.11121, 41.38274) - 特佩乌斯图
Tepekoey (39.08794, 27.10713) - 特佩科伊
Tepekoy (37.29938, 41.82403) - 特佩科伊
Tepehan (36.15853, 36.2286) - 特佩汉
Tepecikoeren (37.36135, 35.62627) - 特佩奇科伦
Tepecik (41.02931, 28.54978) - 特佩吉克
Tepebasi (36.66628, 32.72214) - 特佩巴希
Tepebag (37.33876, 40.27018) - 特佩巴格
Tepealti (37.09586, 41.37029) - 特佩阿尔特
Tepe (37.78943, 40.77161) - 特佩
Temelli (37.57528, 41.84548) - 特梅利
Kupluce (36.8125, 39.02167) - 库普吕杰
Serintepe (37.25973, 37.20204) - 塞林特佩
Tekman (39.64111, 41.50542) - 特克曼
Tekkekoey (36.61722, 29.87) - 特克科伊
Tekirova (36.5017, 30.52723) - 特基罗瓦
Tekelioeren (36.96693, 35.00042) - 特克利奥伦
Tekeler (37.54025, 27.78648) - 特克勒尔
Tefenni (37.30968, 29.77538) - 特费尼
Tecirli (37.16183, 36.10978) - 特吉尔利
Tece (36.70257, 34.44897) - 特杰
Gaziler (37.25611, 31.18444) - 加兹勒尔
Yaprakli (40.75785, 33.77819) - 亚普拉克利
Akcam (39.85971, 41.98172) - 阿克贾姆
Tavsanli (39.54237, 29.49866) - 塔夫尚勒
Tavas (37.57351, 29.07058) - 塔瓦斯
Tatvan (38.49221, 42.28269) - 塔特万
Tatkoey (37.04472, 30.24056) - 塔特科伊
Tasyayla (37.52306, 30.67472) - 塔斯亚伊拉
Tasucu (36.3214, 33.88165) - 塔苏库
Taspinar (38.17963, 34.02499) - 塔什皮纳尔
Tasobasi (37.09005, 34.92961) - 塔什奥巴希
Taslicay (39.62966, 43.36878) - 塔什利贾伊
Taslica (37.3366, 40.97652) - 塔什利贾
Tasli (37.9876, 42.13608) - 塔什利
Taskesigi (36.75853, 31.63253) - 塔什凯西吉
Taskent (36.9243, 32.49131) - 塔什肯特
Taskapi (37.64111, 30.42028) - 塔什卡皮
Tasharman (38.7022, 42.3335) - 塔什哈尔曼
Tasdibek (37.94985, 42.29552) - 塔什迪贝克
Tasdelen (37.3761, 42.86926) - 塔什德伦
Bakirdagi (38.21597, 35.79021) - 巴克尔达吉
Tasbasi (37.40728, 43.45791) - 塔什巴希
Tasagil (36.9224, 31.23608) - 塔沙吉尔
Tarsus (36.91766, 34.89277) - 塔尔苏斯
Taraksu (38.15416, 39.14837) - 塔拉克苏
Tanyeri (39.61137, 39.83151) - 坦耶里
Tanir (38.41944, 36.91222) - 坦尔
Takbas (36.94547, 34.83586) - 塔克巴什
Guezelyurt (37.19068, 29.38605) - 居泽尔尤尔特
Tahtakopru (39.95, 29.65) - 塔赫塔科普鲁
Tahir (39.85586, 42.42834) - 塔希尔
Tabureli (36.65396, 34.06851) - 塔布雷利
Tabaklar (36.74874, 35.00132) - 塔巴克拉尔
Suvarli (37.53867, 37.6321) - 苏瓦尔勒
Zeyne (36.4446, 33.52902) - 泽伊内
Suetlegen (36.44361, 29.60798) - 苏特勒根
Senocak (37.65035, 40.69441) - 塞诺贾克
Sutculer (37.49737, 30.97727) - 苏特居勒尔
Sutasi (36.08212, 36.00632) - 苏塔希
Susurluk (39.91361, 28.15778) - 苏苏尔卢克
Suruc (36.97612, 38.42533) - 苏鲁奇
Avine (37.57373, 40.73252) - 阿维内
Surgu (38.00548, 37.9635) - 苏尔古
Suerekli (37.19633, 40.39847) - 苏雷克利
Sulusaray (39.99389, 36.08404) - 苏鲁萨雷
Suluklu (38.88111, 32.3425) - 苏卢克鲁
Sulucem (39.69386, 43.81472) - 苏卢杰姆
Suluca (36.97812, 35.57527) - 苏卢贾
Sultanlar (37.35255, 37.25627) - 苏丹拉尔
Sultanhisar (37.88989, 28.15436) - 苏丹希萨尔
Sultanhani (38.2471, 33.54961) - 苏丹哈尼
Sultandagi (38.53111, 31.22806) - 苏丹达吉
Suleymanli (37.87264, 36.81714) - 苏莱曼利
Suelekler (37.13333, 30.08333) - 苏埃莱克勒尔
Suelek (36.83333, 31.48333) - 苏埃莱克
Suhut (38.53111, 30.54583) - 苏胡特
Sugoezue (36.84185, 35.86015) - 苏格厄祖
Sugeldi (36.81361, 39.04333) - 苏格尔迪
Sudugunu (39.0466, 40.43235) - 苏杜古努
Sucati (37.58835, 41.76812) - 苏贾蒂
Subogazi (37.15765, 37.47807) - 苏博加兹
Sozveren (37.98992, 43.08009) - 索兹韦伦
Soylu (37.64952, 40.81687) - 索伊卢
Sorkun (38.44472, 30.05417) - 索尔昆
