Saritoprak (37.83629, 40.47076) 萨里托普拉克
Sarisu (39.01887, 42.92092) 萨里苏
Sarioglan (39.07694, 35.96671) 萨里奥兰
Sarioba (39.87144, 32.08305) 萨里奥巴
Sarikoy (37.35991, 41.29933) 萨里科伊
Sarikonak (38.24309, 41.95933) 萨里科纳克
Sarikemer (37.56609, 27.3643) 萨里凯梅尔
Sarikaya (36.76179, 34.11257) 萨里卡亚
Sarikavak (37.11113, 34.68401) 萨里卡瓦克
Sarikaraman (38.77112, 34.19515) 萨里卡拉曼
Sariharman (37.71726, 38.46098) 萨里哈曼
Sarihamzali (36.9775, 35.22533) 萨里哈姆扎利
Sarihacilar (37.02083, 31.7725) 萨里哈吉拉尔
Sarigol (38.23953, 28.69663) 萨里戈尔
Saricam (37.15172, 35.50769) 萨里贾姆
Saribeyler (39.39833, 27.57722) 萨里贝伊勒尔
Saribelen (36.26929, 29.48202) 萨里贝伦
Sarayonu (38.26201, 32.40457) 萨拉约努
Saraykoy (37.92448, 28.92516) 萨拉伊科伊
Saraykent (39.69361, 35.51111) 萨拉伊肯特
Sapmaz (38.52792, 33.8883) 萨普马兹
Saphane (39.0273, 29.22218) 萨法内
Sandikli (38.46472, 30.26946) 桑迪克利
Sancarli (37.26078, 40.63311) 桑贾尔利
Sancak (39.09222, 40.38753) 桑贾克
Samsat (37.58194, 38.47417) 萨姆萨特
Samli (39.81184, 27.84559) 萨姆利
Sambayat (37.68441, 38.04676) 桑巴亚特
Sambayadi (37.04206, 35.19935) 桑巴亚迪
Samandag (36.08012, 35.97603) 萨曼达格
Akbez (36.85551, 36.51788) 阿克贝兹
Salkim (37.15087, 37.69333) 萨尔金
Salihli (38.48258, 28.14774) 萨利赫利
Salavatli (37.89123, 28.10333) 萨拉瓦特利
Boyundere (37.76887, 37.93782) 博云德雷
Catagil (37.688, 30.38648) 贾塔吉尔
Aydin (37.84501, 27.83963) 艾登
Sakcagoez (37.17152, 36.91632) 萨克贾格兹
Sakarkaya (37.64514, 37.40378) 萨卡尔卡亚
Saipbeyli (37.99757, 41.51046) 萨伊普贝伊利
Saimbeyli (37.98632, 36.09056) 萨伊姆贝伊利
Bahce (37.19724, 36.57658) 巴赫切
Sahinbey (36.907, 37.20414) 沙欣贝伊
Sahnali (37.78692, 27.94227) 沙赫纳利
Saglikli (37.03321, 34.90829) 萨格利克利
Sagkaya (37.17852, 35.68843) 萨格卡亚
Altintas (37.61931, 28.30916) 阿尔廷塔什
Saginli (38.05731, 42.58375) 萨金利
Reyhanli (36.26791, 36.56747) 雷伊汉勒
Yaykin (40.01614, 27.13091) 亚伊金
Kumgoelue (38.23363, 41.12065) 库姆戈卢
Reis (38.27139, 31.57139) 雷伊斯
Refahiye (39.89315, 38.76607) 雷法希耶
Uzuncaburc (36.58375, 33.92607) 乌尊贾布尔克
Puturge (38.19923, 38.86296) 普图尔盖
Pulumer (39.48449, 39.89532) 普卢梅尔
Pugkaracadag (36.944, 34.70268) 普格卡拉贾达格
Pozanti (37.42778, 34.87167) 波赞提
Poyraz (38.68596, 39.023) 波伊拉兹
Postkabasakal (37.48761, 35.66604) 波斯特卡巴萨卡尔
Polatli (39.57715, 32.14132) 波拉特利
Pirlibey (37.86361, 28.43278) 皮尔利贝伊
Pirincli (37.46444, 39.98318) 皮林克利
Pinaryayla (37.89676, 38.45938) 皮纳尔亚伊拉
Pinaronu (37.27982, 42.33469) 皮纳尔奥努
Pinardere (37.47204, 40.83334) 皮纳尔德雷
Pinarcik (37.00556, 31.03547) 皮纳尔吉克
Pervari (37.93573, 42.54927) 佩尔瓦里
Pertek (38.86574, 39.32273) 佩尔泰克
Akpazar (38.84625, 39.66833) 阿克帕扎尔
Peksimet (37.04134, 27.27497) 佩克西梅特
Pekmezli (36.75361, 39.45) 佩克梅兹利
Pazaryeri (39.99395, 29.90424) 帕扎尔耶里
Pazaroren (38.67389, 36.15944) 帕扎尔奥伦
Pazarlar (38.995, 29.12583) 帕扎尔拉尔
Pazarkoey (39.80186, 26.42546) 帕扎尔科伊
Pazarcik (37.48685, 37.29961) 帕扎尔贾克
Payallar (36.6016, 31.85057) 帕亚拉尔
Patnos (39.22493, 42.85693) 帕特诺斯
Pasinler (39.97975, 41.66997) 帕辛勒尔
Pasalar (39.97389, 28.30361) 帕萨拉尔
Parmaksiz (39.57422, 40.89587) 帕尔马克西兹
Parmakkurdu (36.97253, 34.66544) 帕尔马克库尔杜
Parapara (36.94729, 38.94564) 帕拉帕拉
Toptas (36.41408, 30.32388) 托普塔什
Pamukoeren (37.92317, 28.54175) 帕穆科伦
Pamukkale (37.91644, 29.11729) 帕穆卡莱
Palamutlu (37.89764, 42.20218) 帕拉穆特鲁
Ozpinar (38.00478, 42.24386) 厄兹皮纳尔
OEzonak (38.81213, 34.84096) 厄佐纳克
Ozen (37.26418, 41.97926) 厄曾
OEzekli (38.22791, 40.39468) 厄泽克利
Ozdere (38.01611, 27.12806) 厄兹德雷
OEzdemir (39.98306, 44.05444) 厄兹德米尔
OEzbilek (38.25084, 39.85416) 厄兹比莱克
OEzbek (36.96835, 34.94356) 厄兹贝克
Ozbek (37.17812, 41.69325) 厄兹贝克
Ozanlar (36.945, 38.89889) 奥赞拉尔
Ozancik (38.66796, 34.20118) 奥赞吉克
Ozalp (38.65455, 43.98869) 奥扎尔普
