Oyuktas (38.04368, 41.50806) 奥尤克塔斯
Oyuklu (38.31667, 40.78333) 奥尤克鲁
Oyratli (37.6326, 37.84125) 奥伊拉特利
Oymatas (37.79856, 41.02083) 奥伊马塔斯
Oymakaya (37.4229, 43.23235) 奥伊马卡亚
Oymaki (37.2525, 41.86269) 奥伊马基
Oyali (37.22126, 41.73862) 奥亚利
OEvuendueler (37.88238, 39.91812) 奥埃文德勒
Ovecek (37.90405, 42.88352) 奥韦杰克
Ovakozlu (39.40818, 41.85816) 奥瓦科兹鲁
Ovakisla (38.81733, 42.31643) 奥瓦基什拉
Ovakent (38.10722, 28.02111) 奥瓦肯特
Ovakavagi (37.71079, 32.93482) 奥瓦卡瓦吉
Ovacik (36.18457, 33.67008) 奥瓦吉克
Ovabag (37.70849, 39.98697) 奥瓦巴格
Otluyazi (38.90755, 42.42893) 奥特鲁亚兹
Otlukbeli (39.97, 40.01872) 奥特鲁克贝利
Osmanpasa (39.62472, 34.96472) 奥斯曼帕夏
Osmankoey (39.01361, 30.28583) 奥斯曼科伊
Osmaniye (37.07417, 36.24778) 奥斯曼尼耶
Osmancali (38.7625, 27.25306) 奥斯曼贾利
Osmanbuekue (37.81553, 27.76252) 奥斯曼比克
Oruclu (37.92307, 35.68308) 奥鲁克鲁
Ortasu (37.36954, 42.96199) 奥尔塔苏
Ortasar (37.74395, 40.28894) 奥尔塔萨尔
Ortakoey (37.22296, 40.78404) 奥尔塔科伊
Ortaklar (37.88788, 27.50234) 奥尔塔克拉尔
Ortyakent Yahsi (37.04944, 27.34833) 奥尔特亚肯特亚赫西
Ortaca (36.83915, 28.76457) 奥尔塔贾
Ortabag (37.39671, 42.9101) 奥尔塔巴格
Cevizli (37.01722, 29.29861) 杰维兹利
Odabasi (37.02634, 30.68075) 奥达巴什
Orhaneli (39.90333, 28.99056) 奥尔哈内利
Orensehir (38.99843, 36.64929) 奥伦谢希尔
OErenkuyu (37.96732, 39.42628) 奥埃伦库尤
OErenkaya (38.37028, 30.15917) 奥埃伦卡亚
Orencik (39.2625, 29.54389) 奥伦吉克
OErencik (37.21313, 38.89835) 奥埃伦吉克
Oren (37.03609, 27.96723) 奥伦
Orenli (36.97661, 39.27763) 奥伦利
Oncul (36.71222, 39.02917) 昂居尔
Omerli (37.39903, 40.95442) 奥梅尔利
Omerkoy (39.83063, 28.06682) 奥梅尔科伊
OEmerbeyli (37.88276, 27.66226) 奥埃梅尔贝伊利
Olukkoyagi (37.23006, 34.6878) 奥卢克科亚吉
Olukbasi (37.66483, 28.48617) 奥卢克巴什
Okcular (37.73879, 42.43844) 奥克丘拉尔
Oguzeli (36.96572, 37.51339) 奥古泽利
Oguzkoey (37.45604, 29.34172) 奥古兹科伊
Oyumsoeguet (37.11708, 37.27935) 奥尤姆瑟格特
Ogulbey (39.68666, 32.82635) 奥古尔贝伊
Oglakli (37.87703, 39.94203) 奥格拉克利
OEdemis (38.2278, 27.96955) 奥埃德米什
Obruk (38.18444, 33.18095) 奥布鲁克
Nusaybin (37.07028, 41.21465) 努萨伊宾
Nurhak (37.96366, 37.44047) 努尔哈克
Nurettin (39.28104, 42.50746) 努雷丁
Kayagedigi (38.15957, 39.58564) 卡亚格迪吉
Nizip (37.00972, 37.79417) 尼齐普
Petekkaya (38.09482, 39.43552) 佩泰卡亚
Nimet (36.77455, 38.72686) 尼梅特
Denizyaka (36.85609, 31.18563) 德尼兹亚卡
Nigde (37.96583, 34.67935) 尼代
Nevsehir (38.625, 34.71222) 内夫谢希尔
Nesetiye (37.89115, 27.54461) 内谢蒂耶
Nazimiye (39.17986, 39.82843) 纳齐米耶
Nazilli (37.91631, 28.32225) 纳兹利
Demirci (39.04607, 28.65889) 德米尔吉
Narlidere (38.2268, 41.89014) 纳尔利德雷
Narli (37.39148, 37.13614) 纳尔利
Narince (37.85864, 38.44491) 纳林杰
Guenyurdu (37, 35.1) 居恩尤尔杜
Mutki (38.40624, 41.92018) 穆特基
Mustafabeyli (37.07936, 36.07233) 穆斯塔法贝伊利
Musabeyli (36.88639, 36.91861) 穆萨贝伊利
Mursitpinar (36.903, 38.34746) 穆尔希特皮纳尔
Mursalli (37.85169, 27.56478) 穆尔萨利
Mursal (39.16778, 37.95694) 穆尔萨尔
Muratli (36.96167, 40.10056) 穆拉特利
Muratlar (39.05972, 30.36389) 穆拉特拉尔
Muradiye (38.98568, 43.7531) 穆拉迪耶
Gunesli (38.90253, 35.62743) 居内什利
Karaova (37.10699, 27.66578) 卡拉奥瓦
Yenidogan (37.72144, 27.38987) 耶尼多安
Mugla (37.21807, 28.3665) 穆拉
Mucur (39.06147, 34.38286) 穆朱尔
Mordogan (38.51624, 26.62487) 莫尔多安
Elmalidere (39.63721, 42.31996) 埃尔马利德雷
Mollakendi (38.57735, 39.33292) 莫拉肯迪
Molladavut (39.25055, 41.93217) 莫拉达武特
Mollaahmetler (37.80193, 28.93102) 莫拉艾哈迈特勒
Canveren (38.12316, 39.90622) 贾恩韦伦
Bastepe (38.44572, 30.12882) 巴什特佩
Akcayir (37.99127, 40.99007) 阿克贾伊尔
Minare (36.93083, 39.00444) 米纳雷
Balveren (37.48441, 42.54883) 巴尔韦伦
Milkoy (36.84389, 38.78472) 米尔科伊
Mihaliccik (39.86594, 31.49572) 米哈利奇克
Midyat (37.41908, 41.33909) 米迪亚特
Bademli (38.08167, 28.05778) 巴德姆利
