Incesu (38.16468, 33.80384) 英杰苏
Incek (39.80701, 32.69816) 英杰克
Incehidir (38.02254, 39.63614) 英杰希迪尔
Incealan (37.95988, 28.21252) 英杰阿兰
Imrahor (37.0534, 30.21667) 伊姆拉霍尔
Imranli (39.87544, 38.11358) 伊姆兰利
Imecik (36.84583, 30.22361) 伊梅吉克
Imamusagi (36.30693, 33.76288) 伊玛穆萨吉
Imamoglu (37.26506, 35.65717) 伊玛姆奥卢
Imamli (36.35041, 32.26313) 伊玛姆利
Imamlar (37.10554, 29.39246) 伊玛姆拉尔
Ilyasli (38.60389, 29.20056) 伊利亚斯利
Ilyaskoey (37.78639, 30.11972) 伊利亚斯科伊
Elyapan (39.43646, 28.00341) 埃利亚潘
Ilidag (37.94276, 28.04191) 伊利达格
Ilicakoey (37.47606, 35.89933) 伊利贾科伊
Ilica (39.94653, 41.0952) 伊利贾
Ilicalar (38.98034, 40.67394) 伊利贾拉尔
Ilic (39.45106, 38.55836) 伊利克
Ilgin (38.27917, 31.91389) 伊尔金
Ilemin (36.73342, 34.31342) 伊莱明
Ikiztepe (37.89316, 41.08539) 伊基兹特佩
Ikizbaglar (37.97848, 41.97389) 伊基兹巴拉尔
Ikikopru (37.96459, 41.33119) 伊基科普鲁
Ihsaniye (40.69087, 29.83472) 伊赫萨尼耶
Igdir (39.92371, 44.045) 伊格迪尔
Idil (37.33481, 41.88944) 伊迪尔
Icoren (37.55738, 41.09647) 伊乔伦
Icmeler (36.79859, 28.22635) 伊奇梅勒
Icme (38.61257, 39.5513) 伊奇梅
Ibecik (36.98718, 29.41349) 伊贝吉克
Huyuk (37.95388, 31.59639) 胡尤克
Bozyer (38.18306, 39.75815) 博兹耶尔
Hueseyinler (36.5285, 34.05709) 侯赛因勒尔
Huesametli (36.66443, 34.15722) 侯萨梅特利
Cayyazi (36.80593, 31.45928) 查亚兹
Hozat (39.10029, 39.20816) 霍扎特
Hotamis (37.64004, 33.31862) 霍塔米斯
Horsunlu (37.91441, 28.59151) 霍尔松卢
Honaz (37.7573, 29.26996) 霍纳兹
Hocalar (38.57824, 29.96768) 霍贾拉尔
Gyundyukoru (37.14207, 40.50149) 居恩迪科鲁
Selcuklu (37.8842, 32.49222) 塞尔丘克鲁
Hizirkahya (36.35, 30.25) 希泽尔卡赫亚
Hizan (38.22498, 42.4183) 希赞
Hisarkoey (37.15014, 36.90421) 希萨尔科伊
Hisarcik (40.46417, 29.92139) 希萨尔吉克
Hinis (39.35766, 41.69253) 希尼斯
Geldibuldu (37.72807, 38.86933) 盖尔迪布尔杜
Himmetli (37.86706, 36.0643) 希姆梅特利
Himmetdede (38.91028, 35.09607) 希姆梅特德德
Hilvan (37.58687, 38.95505) 希尔万
Hilal (37.47337, 42.78923) 希拉尔
Hidirli (36.93188, 35.31772) 希迪尔利
Hidirbeyli (37.89238, 27.58831) 希迪尔贝伊利
Hidirbey (36.20802, 36.12787) 希迪尔贝伊
Hidirbaba (38.76706, 38.97698) 希迪尔巴巴
Heybeli (38.94875, 43.04192) 黑贝利
Yazcicegi (37.60106, 40.37992) 亚兹吉杰吉
Hendekkoey (38.15624, 39.627) 亨德克科伊
Hekimhan (38.81622, 37.92882) 赫基姆汉
Hekimdag (39.90904, 30.5646) 赫基姆达格
Hazro (38.24903, 40.77129) 哈兹罗
Haymana (39.43212, 32.49732) 哈伊马纳
Haydarli (38.01061, 28.4557) 哈伊达尔利
Havutlu (36.92484, 35.3567) 哈武特卢
Hatunsaray (37.58753, 32.34802) 哈通萨雷
Hatunlu (37.13944, 40.75367) 哈通卢
Hatipoglutolu (38.38256, 33.91486) 哈提波格鲁托卢
Hatipler (37.16667, 30.78333) 哈提普勒尔
Hatipkislasi (37.51139, 27.82889) 哈提普克斯拉斯
Hatip (37.75447, 32.4222) 哈提普
Kavakkoey (36.34213, 30.25506) 卡瓦克科伊
Hassa (36.79944, 36.51778) 哈萨
Alacakaya (38.46201, 39.86234) 阿拉贾卡亚
Haskoy (38.68231, 41.67851) 哈斯科伊
Haskoey (37.95833, 28.29749) 哈斯科伊
Hasyurt (36.32415, 30.22285) 哈斯尤尔特
Hasbek (39.54945, 35.54772) 哈斯贝克
Hasantepe (37.1279, 41.49331) 哈桑特佩
Hasankeyf (37.70612, 41.4048) 哈桑凯夫
Hasankendi (37.70652, 38.22281) 哈桑肯迪
Hasangazi (37.54041, 34.62641) 哈桑加齐
Hasancelebi (38.95093, 37.88064) 哈桑杰莱比
Hasancali (36.88551, 36.81615) 哈桑贾利
Hasanbeyli (37.12838, 36.54608) 哈桑贝伊利
Duzici (37.24216, 36.45484) 杜兹伊奇
Harran (36.86, 39.03139) 哈兰
Harput (38.70373, 39.2415) 哈尔普特
Harmantepe (37.70191, 41.00837) 哈尔曼特佩
Harmancik (39.67611, 29.15528) 哈尔曼吉克
Harbiye (36.13685, 36.13293) 哈尔比耶
Tosunpinar (38.25, 41.46667) 托松皮纳尔
Kavalli (37.21148, 42.41838) 卡瓦利
Han (39.15917, 30.86139) 汉
Hankendi (38.56879, 39.05739) 汉肯迪
Hani (38.40741, 40.38578) 哈尼
Hankoy (36.95081, 40.19855) 汉科伊
Hamzali (36.881, 35.86283) 哈姆扎利
Hamzalli (37.89997, 28.42234) 哈姆扎利
