Evkuran (37.65962, 40.96418) 埃夫库兰
Evciler (38.04139, 29.88667) 埃夫吉莱尔
Etlik (39.98205, 32.82459) 埃特利克
Etler (37.14285, 31.05958) 埃特勒
Etimesgut (39.95328, 32.63285) 埃蒂梅斯古特
Etili (39.98556, 26.89667) 埃蒂利
Etekli (37.42333, 35.23778) 埃特克利
Esme (38.39976, 28.96905) 埃什梅
Eskisehir (39.77667, 30.52056) 埃斯基谢希尔
Eskin (37.21431, 40.67675) 埃斯金
Eskil (38.40167, 33.41306) 埃斯基尔
Eskikabasakal (37.45, 35.83333) 埃斯基卡巴萨卡尔
Eskihisar (37.90341, 28.1313) 埃斯基希萨尔
Eskiharran (36.93083, 39.06) 埃斯基哈兰
Eskicine (37.53697, 28.06669) 埃斯基杰内
Esenkoey (37.80976, 28.34974) 埃森科伊
Esendere (37.71144, 44.60099) 埃森德雷
Erzurum (39.90861, 41.27694) 埃尔祖鲁姆
Erzincan (39.73919, 39.49015) 埃尔津詹
Eryeri (37.29257, 40.74625) 埃尔耶里
Eruh (37.74183, 42.17422) 埃鲁赫
Ertugrul (39.57578, 27.70672) 埃尔图鲁尔
Asagi Azikli (37.24524, 40.68212) 阿萨吉阿兹克利
Ermenek (36.64043, 32.89179) 埃尔梅内克
Erler (38.48362, 41.72785) 埃尔勒
Erkoklu (37.86182, 41.14413) 埃尔科克鲁
Erkilet (38.82043, 35.44011) 埃尔基莱特
Yalintas (40.01836, 28.39846) 亚林塔什
Erikli (37.86761, 38.80418) 埃里克利
Ergani (38.26899, 39.75446) 埃尔加尼
Erentepe (36.41645, 30.3616) 埃伦特佩
Eregli (37.51333, 34.04672) 埃雷利
Erduragi (37.90085, 41.57657) 埃尔杜拉吉
Erdemli (36.60498, 34.30836) 埃尔德姆利
Ercis (39.02587, 43.35964) 埃尔吉什
Ercek (38.65107, 43.64401) 埃尔杰克
Kaslica (37.81359, 37.95563) 卡什利贾
Enginalan (39.96115, 44.03146) 恩吉纳兰
Emirsah (36.08387, 32.79015) 埃米尔沙
Emirler (39.05009, 32.34148) 埃米尔勒
Bulucan (39.7025, 37.75972) 布鲁詹
Emirgazi (37.90222, 33.83722) 埃米尔加齐
Emirdag (39.01972, 31.15) 埃米尔达
Emiralem (38.622, 27.148) 埃米拉勒姆
Emet (39.343, 29.25847) 埃梅特
Elvanli (36.70401, 34.37374) 埃尔万利
Elsazi (37.44553, 30.81696) 埃尔萨兹
Guneysinir (37.26944, 32.72898) 居内伊西尼尔
Elmali (36.73583, 29.91775) 埃尔马利
Elmadag (39.92083, 33.23083) 埃尔马达
Elikesik (36.58953, 31.93169) 埃利克西克
Elifoglu (36.94654, 37.98895) 埃利福鲁
Elifkoey (37.37792, 37.88104) 埃利夫科伊
Eleskirt (39.79803, 42.67574) 埃莱什基尔特
Elbistan (38.20591, 37.1983) 埃尔比斯坦
Elbeyli (40.48611, 29.72472) 埃尔贝伊利
Elbasi (38.67351, 35.96753) 埃尔巴西
Elazig (38.67431, 39.22321) 埃拉泽
Ekmekciler (37.88479, 42.12625) 埃克梅克吉莱尔
Ekinyolu (38.90725, 40.57401) 埃金约鲁
Ekinyazi (36.72917, 39.14139) 埃金亚兹
Ekinozu (38.05974, 37.18786) 埃金厄祖
Ekince (37.83333, 39.9) 埃金杰
Egirdir (37.87462, 30.85042) 埃吉尔迪尔
Egrice (37.36183, 37.33152) 埃格里杰
Egribucak (36.74448, 36.45369) 埃格里布贾克
Egil (38.25748, 40.07435) 埃吉尔
Kocasinan (38.77147, 35.5725) 科贾西南
Incirlikuyu (36.95324, 34.86592) 因吉尔利库尤
Dueztas (37.48038, 40.00631) 杜兹塔什
Duzova (37.35413, 42.08837) 杜兹奥瓦
Duzoba (37.39169, 41.27193) 杜兹奥巴
Dutluca (39.13586, 38.60662) 杜特鲁贾
Duruca (37.09267, 41.3103) 杜鲁贾
Durukoy (37.2219, 41.91707) 杜鲁科伊
Dursunbey (39.58596, 28.62568) 杜尔松贝伊
Durankaya (37.98535, 42.18046) 杜兰卡亚
Durabeyler (39.66907, 28.60922) 杜拉贝伊勒尔
Dumlupinar (40.12295, 32.94348) 杜姆鲁皮纳尔
Dumanli (37.36861, 41.69012) 杜曼利
Dumanlar (37.0116, 30.90273) 杜曼拉尔
Dueger (37.58056, 30.02667) 杜厄格尔
Sumbas (37.4513, 36.02349) 松巴斯
Duedenkoey (36.67773, 29.91187) 杜登科伊
Ulasti (38.11885, 41.79344) 乌拉什蒂
Duaci (36.97444, 30.65) 杜阿吉
Doyran (37.66821, 38.14769) 多伊兰
Doyuran (37.12245, 40.63743) 多尤兰
Dosemealti (37.02333, 30.60247) 多舍梅阿勒特
Dorutay (38.79939, 44.06726) 多鲁塔伊
Dorumali (36.805, 38.85306) 多鲁马利
Gencosman (38.41343, 34.06778) 根乔斯曼
Doruk (37.7025, 40.79219) 多鲁克
Doertyol (36.83917, 36.23025) 多尔蒂约尔
Doertboeluek (38.45202, 41.40904) 多尔特布吕克
Donduran (37.83399, 28.24257) 东杜兰
Dombay (38.15421, 30.20876) 东拜
Domanic (39.80194, 29.60918) 多马尼奇
Kesafli (36.40011, 32.18794) 凯萨夫利
Doluharman (37.98595, 41.91634) 多鲁哈曼
