Colonia Boa Vista (-3.29688, -60.44086) 科洛尼亚博阿维斯塔
Xapuri (-10.65167, -68.50444) 沙普里
Vilhena (-12.74056, -60.14583) 维尔赫纳
Senador Guiomard (-10.1497, -67.73741) 参议员吉奥马尔
Presidente Medici (-11.17528, -61.90139) 梅迪西总统
Placido de Castro (-10.33528, -67.18556) 普拉西多·德·卡斯特罗
Pimenteiras do Oeste (-13.48129, -61.04694) 西部皮门泰拉斯
Pimenta Bueno (-11.6725, -61.19361) 皮门塔布埃诺
Ouro Preto do Oeste (-10.74806, -62.21583) 西部黑金
Ji Parana (-10.88528, -61.95167) 吉帕拉纳
Jaru (-10.43889, -62.46639) 雅鲁
Guajara Mirim (-10.78356, -65.33552) 瓜加拉米林
Cacoal (-11.43861, -61.44722) 卡科阿尔
Brasileia (-11.01611, -68.74806) 布拉西莱亚
Acailandia (-4.94667, -47.50472) 阿西兰迪亚
Alta Floresta (-9.87556, -56.08611) 阿尔塔弗洛雷斯塔
Antonio Cardoso (-12.43528, -39.11972) 安东尼奥卡多索
Aparecida de Goiania (-16.82333, -49.24389) 戈亚尼亚的阿帕雷西达
Araguana (-2.94639, -45.66098) 阿拉瓜纳
Bonfim (3.35972, -59.83333) 博菲姆
Ermelino Matarazzo (-23.49472, -46.47389) 埃尔梅利诺·马塔拉佐
Itaim Paulista (-23.50308, -46.38566) 伊塔因保利斯塔
Lago dos Rodrigues (-4.61304, -44.98009) 罗德里格斯湖
Lauro de Freitas (-12.89444, -38.32722) 劳罗·德·弗雷塔斯
Minacu (-13.53306, -48.22) 米纳库
Monte Verde (-22.86417, -46.035) 蒙特维德
Ourilandia do Norte (-6.75472, -51.08389) 北部欧里兰迪亚
Parauapebas (-6.0675, -49.90222) 帕劳阿佩巴斯
Pinhais (-25.44472, -49.1925) 皮尼亚伊斯
Portelandia (-17.35361, -52.67861) 波特兰迪亚
Residencia Fuck (-26.70944, -50.29583) 福克住宅
Rio Preto da Eva (-2.69795, -59.70172) 里约普雷托达埃瓦
Sao Roque de Minas (-20.24528, -46.36583) 米纳斯的圣罗克
Sapopemba (-23.59556, -46.52472) 萨波蓬巴
Simoes Filho (-12.78444, -38.40389) 西蒙斯·菲略
Sinop (-11.86417, -55.5025) 西诺普
Tangara da Serra (-14.61944, -57.48583) 塞拉的唐加拉
