Bozhueyuek (38.95667, 30.58028) 博朱于克
Bozhuyuk (37.981, 41.41328) 博朱尤克
Bozdogan (37.67134, 28.31395) 博兹多安
Bozdag (38.338, 28.0749) 博兹达
Bozcaada (39.835, 26.06972) 博兹贾阿达
Bozburun (36.69495, 28.04336) 博兹布伦
Bozarmut (37.30917, 28.16972) 博扎尔穆特
Bozan (39.78806, 31.10167) 博赞
Bozoen (36.80262, 34.49641) 博佐恩
Bozalan (37.32814, 42.26379) 博扎兰
Boyuncuk (37.4269, 41.9085) 博云朱克
Boynuyogun (37.06797, 35.4113) 博伊努尤贡
Boybeyi (36.89722, 38.7125) 博伊贝伊
Esencay (37.781, 28.56749) 埃森查伊
Boyakli (37.22609, 40.30586) 博亚克勒
Bostanci (37.17659, 42.32928) 博斯坦吉
Boyunlu (38.22779, 40.98488) 博云卢
Bornova (38.47921, 27.2399) 博尔诺瓦
Borlu (38.75291, 28.46744) 博尔卢
Boerezli (39.49804, 27.0274) 博雷兹利
Bolvadin (38.71111, 31.04861) 博尔瓦丁
Boeluekyazi (38.32748, 42.17448) 博勒克亚兹
Bolme (38.62076, 29.37373) 博尔梅
Boelcek (39.18277, 27.42517) 博尔切克
Bolatlar (36.76737, 38.94622) 博拉特拉尔
Bolagac (37.50393, 43.05317) 博拉阿贾克
Bogurtlen (37.16632, 38.0811) 博古尔特伦
Bogazoren (37.52749, 43.00892) 博阿兹奥伦
Bogazliyan (39.18877, 35.24537) 博阿兹利扬
Bogazkoey (38.95767, 33.88594) 博阿兹科伊
Yesilbarak (36.58639, 29.6775) 叶希尔巴拉克
Bogazkent (36.85319, 31.16388) 博阿兹肯特
Bodrum (37.03833, 27.42917) 博德鲁姆
Biyikli (37.75908, 27.58451) 比伊克利
Bitlis (38.40115, 42.10784) 比特利斯
Bitez (37.04436, 27.39333) 比泰兹
Bismil (37.84514, 40.65931) 比斯米尔
Taskuyu (37.61667, 38.5) 塔什库尤
Birgi (38.25028, 28.05917) 比尔吉
Birecik (37.02577, 37.97841) 比雷吉克
Binpinar (39.36217, 42.04861) 宾皮纳尔
Cukuryurt (37.58915, 41.48357) 丘库尔尤尔特
Bingoel (38.88472, 40.49389) 宾戈尔
Binatli (37.84708, 41.21608) 宾阿特勒
Bilek (37.12978, 37.54328) 比莱克
Bigadic (39.3925, 28.13111) 比加迪奇
Yagizlar (37.23212, 35.54597) 亚吉兹拉尔
Bezirhane (39.48047, 32.85127) 贝齐尔哈内
Bezirgan (36.275, 29.45972) 贝齐尔甘
Beytussebap (37.56318, 43.16583) 贝图谢巴普
Beysehir (37.67735, 31.72458) 贝伊谢希尔
Aliefendi (36.441, 32.18854) 阿里埃芬迪
Beypinari (39.5064, 37.7069) 贝伊皮纳里
Beynam (39.68891, 32.8984) 贝伊纳姆
Beymelek (36.24779, 30.01585) 贝伊梅莱克
Beylikkoeprue (39.60385, 31.95349) 贝伊利克科普吕
Beylikova (39.68694, 31.20556) 贝伊利科瓦
Beylice (37.09177, 34.7661) 贝伊利杰
Beykoey (37.85373, 28.01559) 贝伊科伊
Beykent (37.88314, 41.68686) 贝伊肯特
Beycik (36.49358, 30.4362) 贝伊吉克
Beycayiri (38.01412, 41.32372) 贝伊贾伊里
Beyagac (37.23526, 28.89612) 贝亚贾克
Bespinar (37.78231, 40.36387) 贝斯皮纳尔
Besni (37.69278, 37.86111) 贝斯尼
Beskonak (37.14444, 31.19917) 贝斯科纳克
Besiri (37.91573, 41.2865) 贝西里
Besikci (36.36278, 30.345) 贝西克吉
Besbudak (37.14237, 40.20802) 贝斯布达克
Bergama (39.12074, 27.18052) 贝尔加马
Bereketli (38.13519, 39.81838) 贝雷克特利
Beneklitas (37.71002, 40.06346) 贝内克利塔什
Cotlu (36.87169, 35.48025) 乔特鲁
Beloren (37.63723, 37.5803) 贝洛伦
Beloeren (36.812, 35.5586) 贝洛伦
Bellitas (37.6852, 40.1736) 贝利塔什
Sirma (37.60797, 28.46532) 西尔马
Belevi (38.015, 27.45028) 贝莱维
Belenoluk (37.91528, 42.77697) 贝伦奥卢克
Belenli (36.20113, 29.69673) 贝伦利
Belek (36.86278, 31.05556) 贝莱克
Beldibi (36.71921, 30.56379) 贝尔迪比
Bektas (38.43556, 30.33778) 贝克塔什
Bekirhan (38.14086, 41.29351) 贝基尔汉
Bekilli (38.23105, 29.4197) 贝基利
Behram (39.49344, 26.33316) 贝赫拉姆
Begendik (37.97516, 42.64647) 贝根迪克
Bedirli (39.58276, 36.62049) 贝迪尔利
Bayramic (39.80862, 26.60983) 拜拉姆伊奇
Bayraklar (36.64222, 29.88762) 拜拉克拉尔
Bayraktutan (40.00539, 43.91047) 拜拉克图坦
Bayrakli (37.99375, 41.18253) 拜拉克勒
Baykan (38.15754, 41.7733) 拜坎
Bayirkonagi (37.59125, 40.09621) 拜尔科纳吉
Bayir (37.26774, 28.21677) 拜尔
Bayindir (38.21741, 27.64744) 拜因迪尔
Akcatepe (37.81095, 38.01684) 阿克贾特佩
Bayatli (37.16426, 37.04839) 拜亚特勒
Bayat (40.64583, 34.26139) 拜亚特
Batman (37.88738, 41.13221) 巴特曼
