Basyurt (37.428, 41.64346) 巴斯尤尔特
Basri (39.60245, 32.1059) 巴斯里
Baspinar (39.19017, 38.68737) 巴斯皮纳尔
Basoeren (38.46472, 30.43139) 巴索伦
Basmakci (37.89722, 30.01167) 巴斯马克奇
Baskil (38.56866, 38.81634) 巴斯基尔
Baskavak (37.56406, 40.8876) 巴斯卡瓦克
Baskale (38.04526, 44.01718) 巴斯卡莱
Basdegirmen (38.13155, 41.19316) 巴斯德吉尔门
Bascayir (37.95583, 28.07333) 巴斯查伊尔
Yogun (38.09906, 39.51321) 约贡
Basakli (37.8257, 40.45787) 巴萨克利
Baristepe (37.48273, 41.40201) 巴里斯特佩
Banaz (38.73707, 29.75194) 巴纳兹
Balya (39.74861, 27.57889) 巴利亚
Baltakoey (37.77998, 27.883) 巴尔塔科伊
Balpinar (37.86804, 41.05536) 巴尔皮纳尔
Balpayam (39.42006, 40.05713) 巴尔帕亚姆
Baloglu (38.46858, 41.11305) 巴洛格鲁
Ballikpinar (39.7344, 32.71479) 巴勒克皮纳尔
Ballik (38.29222, 30.23556) 巴勒克
Balkica (37.32417, 29.09889) 巴尔基贾
Balkat (36.86819, 38.99309) 巴尔卡特
Baliseyh (39.91411, 33.72333) 巴利塞伊
Balikesir (39.64917, 27.88611) 巴勒克西尔
Balcikhisar (38.43971, 30.51917) 巴尔奇希萨尔
Balci (37.97384, 34.4625) 巴尔吉
Balatcik (37.90944, 27.48833) 巴拉特奇克
Balat (37.51278, 27.27917) 巴拉特
Balaban (40.68679, 30.08404) 巴拉班
Baklan (37.97694, 29.60861) 巴克兰
Bahtili (36.88682, 30.57323) 巴赫蒂利
Bahsis (36.8233, 34.88775) 巴赫西斯
Bahsili (39.80017, 33.43701) 巴赫西利
Bahcesaray (38.1246, 42.79825) 巴赫切萨雷
Bahceli (39.20575, 26.82041) 巴赫切利
Bahcekoey (41.17876, 28.99207) 巴赫切科伊
Bahcedere (38.80052, 42.6381) 巴赫切德雷
Bahcebasi (37.11394, 41.23421) 巴赫切巴希
Bagribuetuen (37.12925, 40.28599) 巴格里布图恩
Bagpinar (37.59139, 38.3191) 巴格皮纳尔
Baglica (37.52705, 40.68618) 巴格利贾
Bagkonak (38.2175, 31.27222) 巴格科纳克
Bagisli (37.71769, 44.0356) 巴吉斯利
Baggoeze (37.71261, 41.9154) 巴格戈泽
Bagbasi (37.27817, 37.27244) 巴格巴希
Bagarasi (37.7071, 27.54875) 巴加拉西
Bademagaci (36.61639, 32.09167) 巴德玛加奇
Cevizpinari (37.36982, 40.78172) 杰维兹皮纳里
Babayagmur (39.36311, 35.47904) 巴巴亚穆尔
Babatorun (36.07743, 36.29051) 巴巴托伦
Babakoey (39.40051, 28.04271) 巴巴科伊
Azizabat (37.87696, 28.56705) 阿齐扎巴特
Ayvalik (39.31927, 26.69341) 艾瓦勒克
Ayvalibag (37.95657, 42.47835) 艾瓦利巴格
Ayvacik (39.60111, 26.40472) 艾瓦贾克
Aysehoca (37.26378, 35.85117) 艾谢霍贾
Ayranci (37.36127, 33.6883) 艾兰吉
Aynali (38.10157, 39.45611) 艾纳利
Ayguen (38.43013, 41.24536) 艾居恩
Aydogdu (38.1575, 28.95242) 艾多杜
Altinuezuem (36.9345, 36.5695) 阿尔蒂内兹姆
Tillo (37.94911, 42.0121) 提洛
Aydinkonak (37.89461, 41.16405) 艾丁科纳克
Ibradi (37.09694, 31.59917) 伊布拉迪
Aydincik (36.1437, 33.32016) 艾丁吉克
Ayazini (39.01737, 30.57688) 艾亚兹尼
Ayaskent (39.1852, 27.33323) 艾亚斯肯特
Avcilar (37.93803, 35.70057) 阿夫贾拉尔
Avsuyu (36.19355, 36.31347) 阿夫苏尤
Avsallar (36.62448, 31.76941) 阿夫萨拉尔
Avdan (37.89285, 29.65601) 阿夫丹
Avanos (38.715, 34.84667) 阿瓦诺斯
Atmali (37.70773, 37.98207) 阿特马利
Atlihisar (38.44944, 30.58389) 阿特利希萨尔
Atli (37.19147, 40.14358) 阿特利
Atca (37.88859, 28.21528) 阿特贾
Atburgazi (37.63639, 27.24611) 阿特布尔加兹
Atabey (37.95083, 30.63861) 阿塔贝伊
Karanlikdere (37.99523, 34.43254) 卡兰利克德雷
Asmali (36.75665, 35.53346) 阿斯马利
Asmadere (37.91046, 41.36837) 阿斯马德雷
Aslihantepecigi (39.5791, 28.02458) 阿斯利汉特佩吉
Aslanapa (39.21581, 29.8699) 阿斯拉纳帕
Askeriye (37.75097, 30.35731) 阿斯克里耶
Askale (39.92083, 40.695) 阿斯卡莱
Yesilkaraman (37.11528, 30.80345) 叶希尔卡拉曼
Ascibekirli (37.62598, 34.97084) 阿斯奇贝基尔利
Asagiyakacik (38.08636, 28.49143) 阿萨吉亚卡吉克
Asagikocayatak (36.90986, 30.95798) 阿萨吉科贾亚塔克
Asagidandiri (38.955, 30.43778) 阿萨吉丹迪里
Saygecit (37.24957, 35.62554) 萨伊格吉特
Asagisamli (37.91131, 29.03044) 阿萨吉萨姆利
Asagipinarbasi (38.03833, 32.60083) 阿萨吉皮纳尔巴希
Asagi Oylum (36.86391, 38.54485) 阿萨吉奥伊鲁姆
Asagioba (37.11361, 30.63972) 阿萨吉奥巴
Asagimuelk (37.44427, 37.47576) 阿萨吉穆尔克
Asagikaraman (36.91176, 30.57351) 阿萨吉卡拉曼
Ekinciler (38.148, 39.98178) 埃金吉勒尔
Asagiderekoy (37.5072, 43.11903) 阿萨吉德雷科伊
