Asagicigil (38.0515, 31.86379) 阿萨吉吉吉尔
Olgun (38.08786, 39.84779) 奥尔贡
Asagibeylerbeyi (36.695, 37.52122) 阿萨吉贝勒贝伊
Asagi Begdes (36.81472, 38.91917) 阿萨吉贝格德斯
Arslanli (37.31667, 35.76667) 阿尔斯兰利
Arslankoy (37.01884, 34.28741) 阿尔斯兰科伊
Arpatepe (37.13885, 40.7986) 阿尔帕特佩
Arpacbahsis (36.64552, 34.35077) 阿尔帕克巴赫西斯
Arikuyusu (36.43792, 33.44424) 阿里库尤苏
Arikli (37.03919, 40.19026) 阿里克利
Aricak (38.5634, 40.1248) 阿里贾克
Arguvan (38.77375, 38.26328) 阿尔古万
Argithani (38.29259, 31.71452) 阿尔吉塔尼
Ardickaya (36.55319, 32.74984) 阿尔迪卡亚
Yuregir (36.97439, 35.35916) 尤雷吉尔
Arapgir (39.04117, 38.49516) 阿拉普吉尔
Akyuva (38.5403, 30.48304) 阿克尤瓦
Aralik (37.82945, 40.68025) 阿拉利克
Araban (37.42667, 37.689) 阿拉班
Antalya (36.90812, 30.69556) 安塔利亚
Antakya (36.20655, 36.15722) 安塔基亚
Ankara (39.91987, 32.85427) 安卡拉
Andirin (37.57757, 36.35492) 安迪林
Andac (37.35537, 43.26243) 安达克
OErencay (38.63089, 39.05308) 奥伦查伊
Anamur (36.07508, 32.83691) 阿纳穆尔
Altinyurt (36.93267, 37.49183) 阿尔廷尤尔特
Altinyayla (39.27249, 36.75098) 阿尔廷亚伊拉
Altinyaka (36.55861, 30.34833) 阿尔廷亚卡
Altinoezue (36.11554, 36.24827) 阿尔廷厄祖
Altinoluk (39.57944, 26.73722) 阿尔廷奥卢克
Altinkum (37.35765, 27.28786) 阿尔廷库姆
Altunhisar (37.99159, 34.37334) 阿尔通希萨尔
Altinekin (38.30778, 32.86861) 阿尔廷埃金
Alpu (39.76903, 30.9606) 阿尔普
Alpkoy (39.61393, 39.18639) 阿尔普科伊
Aliveren (37.21185, 29.42586) 阿利韦伦
Alitasi (37.81292, 39.66513) 阿利塔西
Alifaki (36.88309, 34.995) 阿利法基
Alibeyli (37.11437, 34.84502) 阿利贝伊利
Alibey (37.23822, 40.09412) 阿利贝伊
Alibardak (38.10187, 40.42492) 阿利巴尔达克
Alemler (37.75603, 28.56284) 阿莱姆勒
Gerger (38.02807, 39.03418) 格尔格尔
Alci (37.14585, 29.19083) 阿尔吉
Albayrak (38.14252, 44.2012) 阿尔巴伊拉克
Alayli (37.05611, 30.88401) 阿拉伊利
Alayhani (38.53252, 34.33028) 阿拉伊哈尼
Alatepe (39.05962, 40.75744) 阿拉特佩
Alasehir (38.35083, 28.51718) 阿拉谢希尔
Alanya (36.54375, 31.99982) 阿拉尼亚
Alancik (38.04036, 38.55915) 阿兰吉克
Alamut (37.8085, 28.29227) 阿拉穆特
Alakamis (37.15914, 41.78919) 阿拉卡米斯
Alacati (38.28246, 26.37459) 阿拉恰特
Alacami (36.59158, 32.30038) 阿拉贾米
Turluk (37.00264, 38.93919) 图尔卢克
Alacahan (39.10667, 37.57556) 阿拉贾汉
Alabayir (37.53951, 28.15761) 阿拉巴伊尔
Alabas (37.7689, 40.0896) 阿拉巴斯
Akyazi (40.685, 30.62222) 阿克亚兹
Akyar (39.4642, 27.99902) 阿克亚尔
Aktuzla (39.33012, 42.28533) 阿克图兹拉
Aktoprak (37.18624, 37.28575) 阿克托普拉克
Aktepe (36.70161, 36.48535) 阿克特佩
Aksoy (37.22085, 41.67595) 阿克索伊
Akseki (37.04861, 31.79) 阿克塞基
Aksehir (38.3575, 31.41639) 阿克谢希尔
Aksaray (38.37255, 34.02537) 阿克萨赖
Aksar (40.35247, 39.9744) 阿克萨尔
Aksaagac (37.90667, 36.20606) 阿克萨阿贾克
Akoeren (37.45379, 35.44579) 阿科伦
Akoren (37.45345, 32.3707) 阿科伦
Akoba (37.9434, 41.05563) 阿科巴
Akkuyu (37.09167, 35.41583) 阿克库尤
Akkoy (37.95694, 29.07813) 阿克科伊
Akkoey (37.49139, 27.26944) 阿克科伊
Akkisla (39.00222, 36.17381) 阿克基什拉
Akkent (38.15268, 29.3789) 阿克肯特
Akkecili (37.93104, 29.95204) 阿克凯奇利
Akincilar (40.07172, 38.3433) 阿金贾拉尔
Akinci (37.16643, 40.84706) 阿金贾
Akin (38.45523, 34.0477) 阿金
Akkonak (38.52386, 30.89446) 阿克科纳克
Akdizgin (37.44194, 42.0003) 阿克迪兹金
Akdere (36.24083, 33.75041) 阿克德雷
Akdam (36.63972, 31.80444) 阿克达姆
Akdagmadeni (39.66028, 35.88361) 阿克达格马德尼
Akcoerten (37.92285, 39.50198) 阿克乔尔滕
Akcira (38.85088, 43.09766) 阿克奇拉
Akcay (36.60217, 29.74626) 阿克恰伊
Akcapinar (38.94728, 38.9423) 阿克贾皮纳尔
Akcaova (37.50278, 28.02667) 阿克贾奥瓦
Akcaliusagi (37.68782, 36.03373) 阿克贾利乌萨吉
Akcakoyun (39.81592, 27.16315) 阿克贾科云
Akcakoey (37.96428, 28.02178) 阿克贾科伊
Akcakonak (37.7, 27.36667) 阿克贾科纳克
Akcakent (38.08397, 34.08992) 阿克贾肯特
Akcakaya (39.57583, 27.8675) 阿克贾卡亚
Akcakale (36.71111, 38.9475) 阿克贾卡莱
