Akcagoeze (37.26035, 37.30236) 阿克贾戈泽
Akcadere (38.62785, 29.98402) 阿克贾德雷
Akcadag (38.33899, 37.97021) 阿克贾达
Akcabel (37.80148, 37.80236) 阿克贾贝尔
Akca (37.85424, 41.18276) 阿克贾
Akbas (37.97709, 41.05897) 阿克巴斯
Akarsu (37.22616, 41.05138) 阿卡尔苏
Akarcay (36.91917, 38.02694) 阿卡尔查伊
Akarca (36.8695, 34.41441) 阿卡尔贾
Ahmetli (38.5196, 27.93865) 艾哈迈特利
Ahlat (38.7489, 42.48007) 阿赫拉特
Ahirli (37.23874, 32.11881) 阿希尔利
Kardeskoey (37.84389, 27.76972) 卡尔德什科伊
Agzikara (38.58167, 30.55917) 阿格兹卡拉
Camyuva (36.55361, 30.55957) 贾姆尤瓦
Aglasun (37.64944, 30.53417) 阿格拉逊
Agin (38.93792, 38.71155) 阿金
Akcakisla (39.53818, 36.33626) 阿克贾基什拉
Agacoren (38.87484, 33.91674) 阿贾乔伦
Agacli (38.51728, 40.90401) 阿贾克利
Gulagac (38.39576, 34.34576) 居拉贾克
Agaceli (38.98333, 40.7) 阿贾切利
Agabeyli (37.73362, 37.11625) 阿加贝伊利
Afyonkarahisar (38.75667, 30.54333) 阿菲永卡拉希萨尔
Afsin (38.24769, 36.91399) 阿夫辛
Adiyaman (37.76441, 38.27629) 阿德亚曼
Adilcevaz (38.79911, 42.73159) 阿迪尔杰瓦兹
Adana (36.98615, 35.32531) 阿达纳
Adakli (39.2262, 40.48283) 阿达克利
Acirli (37.45619, 41.29509) 阿吉尔利
Acipinar (38.52671, 33.85225) 阿吉皮纳尔
Acipayam (37.42385, 29.34941) 阿吉帕亚姆
Acigoel (38.55028, 34.50917) 阿吉戈尔
Acarlar (37.82444, 27.74667) 阿贾尔拉尔
Abdioglu (36.90856, 35.56888) 阿卜迪奥卢
Yesiltepe (36.84424, 34.89437) 叶希尔特佩
Uyanik (37.95125, 28.98479) 乌亚尼克
Abazli (39.54694, 33.02417) 阿巴兹利
Cardakli (37.23207, 42.58427) 贾尔达克利
Balli (37.41095, 42.84025) 巴利
Yemisli (37.3686, 43.07774) 叶米什利
Gundes (37.30695, 43.44689) 居恩代什
Kayaboyun (37.47146, 42.10017) 卡亚博云
Nurdagi (37.16821, 36.73623) 努尔达吉
Gundogan (36.87667, 37.54694) 居恩多安
Kucukkendirci (36.90583, 38.34611) 居居克肯迪尔吉
Tahilalan (36.85414, 38.97277) 塔希拉兰
Katranlik (36.73056, 36.45611) 卡特兰利克
Guvenc (36.68538, 36.42312) 居文奇
Tahtalikaradut (36.94111, 36.91833) 塔赫塔利卡拉杜特
Guelbaba (36.83528, 36.79528) 居尔巴巴
Ardicli (36.72962, 36.51808) 阿尔迪克利
Yedigoz (36.86577, 36.84433) 叶迪戈兹
Asagi Karafakili (36.77885, 36.55776) 阿萨吉卡拉法基利
Cukuroba (36.76444, 37.1425) 丘库罗巴
Cirtiman (36.52531, 36.18129) 吉尔蒂曼
Kizkalesi (36.46192, 34.14199) 基兹卡莱西
Demirkonak (36.58249, 36.52744) 德米尔科纳克
Kuzeytepe (36.26505, 36.1535) 库泽伊特佩
Narlica (36.23533, 36.21458) 纳尔利贾
Kastal (36.2476, 36.2409) 卡斯塔尔
Acikdere (36.21909, 36.25992) 阿吉克德雷
Toygarli (36.21261, 36.07262) 托伊加尔利
Hancagiz (36.15446, 36.08314) 汉贾吉兹
Canakoluk (36.16696, 36.05527) 贾纳科卢克
Guneysogut (36.17356, 36.11215) 居内索古特
Gumusgoze (36.14785, 36.13284) 居穆什戈泽
Dursunlu (36.16736, 36.15788) 杜尔松卢
Asagiokcular (36.17802, 36.14033) 阿萨吉奥克丘拉尔
Atayurdu (36.181, 36.27957) 阿塔尤尔杜
Uzunbag (36.14023, 36.03603) 乌尊巴格
Buyukcat (36.115, 36.0774) 布尤克贾特
Baliklidere (36.12096, 36.10481) 巴利克利德雷
Hacipasa (36.06907, 36.37076) 哈吉帕萨
Avuttepe (36.05115, 36.27609) 阿武特特佩
Gozene (36.065, 36.00944) 戈泽内
Samankaya (36.15027, 36.12829) 萨曼卡亚
Anayazi (36.32107, 36.19061) 阿纳亚兹
Karasuleymanli (36.34191, 36.41431) 卡拉苏莱曼利
Buyuk Dalyan (36.28824, 36.20903) 布尤克达尔延
Gunyazi (36.23307, 36.11702) 居尼亚兹
Uzunkavak (36.3524, 36.41952) 乌尊卡瓦克
Denizciler (36.6411, 36.21418) 德尼兹吉勒尔
Balarmudu (36.64483, 36.40836) 巴拉尔穆杜
Ormandali (37.94213, 42.48586) 奥尔曼达利
Yukari Balcilar (37.91734, 42.59908) 尤卡里巴尔吉拉尔
Akcayol (37.53306, 43.01842) 阿克贾约尔
Doruklu (37.34202, 42.38251) 多鲁克卢
Kepezli (36.67889, 39.25333) 凯佩兹利
Akdiken (36.725, 39.30861) 阿克迪肯
Bulutlu (36.73583, 39.39389) 布卢特卢
Buyuk Tokac (36.75278, 39.49639) 布尤克托卡奇
Damlasu (36.78417, 39.43417) 达姆拉苏
Saide (36.78389, 39.40972) 萨伊德
Koyunluca (36.82278, 39.34333) 科尤努贾
Suayipsehri (36.86778, 39.37833) 苏阿伊普谢赫里
Yagmurlu (36.99722, 39.33944) 亚穆尔卢
Buyuk Cayli (36.8425, 39.545) 布尤克贾伊利
Buyukyildiz (36.79193, 39.52783) 布尤克伊尔迪兹
Asagidoruklu (36.90139, 40.13111) 阿萨吉多鲁克卢
