Bulancak (40.93805, 38.23148) 布兰贾克
Boyalik (41.26337, 28.63142) 博亚利克
Boyalica (40.48194, 29.56083) 博亚利贾
Boyabat (41.46889, 34.76667) 博亚巴特
Borcka (41.35792, 41.66579) 博尔恰
Bolu (40.73583, 31.60611) 博卢
Bolayir (40.51498, 26.75725) 博拉伊尔
Bolaman (41.03435, 37.59409) 博拉曼
Bogazkale (40.02191, 34.60947) 博阿兹卡莱
Bogazkaya (41.45, 35.86667) 博阿兹卡亚
Bogakoey (40.63731, 35.71122) 博阿戈伊
Eminbey (41.54755, 42.78199) 埃明贝伊
Bilecik (40.14192, 29.97932) 比莱吉克
Asarcik (41.03556, 36.23556) 阿萨尔吉克
Beypazari (40.1675, 31.92111) 贝伊帕扎里
Beylerbeyi (41.04392, 29.04635) 贝伊莱尔贝伊
Beyazkoy (41.34833, 27.70389) 贝亚兹科伊
Besikduzu (41.05202, 39.23294) 贝西克杜祖
Bebek (41.07815, 29.04309) 贝贝克
Bayramoren (40.94329, 33.203) 拜拉莫伦
Bayiryuezue (41.5265, 32.45117) 拜里于泽
Bayburt (40.25631, 40.22289) 拜布尔特
Basgedikler (40.64069, 43.52179) 巴什格迪克勒
Basciftlik (40.54694, 37.16917) 巴什奇夫特利克
Bartin (41.63583, 32.3375) 巴尔廷
Barkacboz (41.45784, 32.35158) 巴尔卡奇博兹
Bandirma (40.35222, 27.97667) 班迪尔马
Banarli (41.06702, 27.33575) 巴纳尔利
Ondokuzmayis (41.5011, 36.06887) 昂多库兹马伊斯
Baliklicesme (40.31029, 27.08171) 巴利克利切什梅
Balikli (40.46289, 27.62585) 巴利克利
Balcik (40.8725, 29.42833) 巴尔吉克
Balcesme (40.83033, 42.8257) 巴尔切什梅
Bakacak (40.20499, 27.08317) 巴卡贾克
Bahcekonak (41.10275, 35.5449) 巴赫切科纳克
Bahcecik (40.6681, 29.91478) 巴赫切吉克
Bagcilar (41.03903, 28.85671) 巴吉拉尔
Babaeski (41.42809, 27.0966) 巴巴埃斯基
Azdavay (41.64267, 33.3) 阿兹达瓦伊
Ayvali (40.75116, 41.87783) 艾瓦勒
Aydintepe (40.38325, 40.14272) 艾丁特佩
Aydinca (40.56972, 36.13917) 艾丁贾
Aybasti (40.68667, 37.39917) 艾巴斯蒂
Ayancik (41.94472, 34.58611) 艾扬吉克
Avliyan (40.88701, 30.98115) 阿夫利扬
Atkaracalar (40.81593, 33.07556) 阿特卡拉贾拉尔
Dursunlar (41.38652, 32.2112) 杜尔松拉尔
Asagi Irmaklar (41.18027, 42.18146) 阿萨吉伊尔马克拉尔
Boeluecek (41.24006, 31.45089) 博吕杰克
Artvin (41.18161, 41.82172) 阿尔特温
Artova (40.11578, 36.3001) 阿尔托瓦
Arslanbey (40.69047, 30.03063) 阿尔斯兰贝伊
Arsin (40.95271, 39.92674) 阿尔辛
Arpacay (40.84522, 43.32747) 阿尔帕贾伊
Arnavutkoey (41.18355, 28.7402) 阿尔纳武特科伊
Arit (41.68706, 32.62396) 阿里特
Anonu (41.61182, 32.19071) 阿诺努
Arifiye (40.70036, 30.35076) 阿里菲耶
Arhavi (41.35121, 41.30456) 阿尔哈维
Camici (40.6181, 37.00169) 贾米吉
Ardesen (41.19064, 40.97935) 阿尔德森
Ardanuc (41.11955, 42.06882) 阿尔达努奇
Ardahan (41.10871, 42.70222) 阿尔达汉
Arakli (40.93854, 40.05842) 阿拉克勒
Arac (41.24222, 33.32767) 阿拉奇
Cakirkadi (41.58743, 32.28381) 贾克尔卡迪
Anadoluhisari (41.08737, 29.07094) 阿纳多卢希萨里
Amasya (40.65333, 35.83306) 阿马西亚
Amasra (41.74633, 32.38633) 阿马斯拉
Alucra (40.32021, 38.7641) 阿卢克拉
Alparslan (40.80722, 36.34222) 阿尔帕斯兰
Almus (40.37583, 36.90444) 阿尔穆斯
Alikoey (41.39777, 32.03437) 阿利科伊
Alicik (40.80275, 35.32256) 阿利吉克
Alapli (41.1814, 31.38514) 阿拉普利
Alanyurt (40.10881, 29.51871) 阿兰尤尔特
Alanseyhi (41.10842, 35.13137) 阿兰谢伊希
Alankoey (41.13719, 35.13404) 阿兰科伊
Alacam (41.60556, 35.59806) 阿拉贾姆
Alaca (40.16833, 34.8425) 阿拉贾
Akyurt (40.13512, 33.08614) 阿克尤尔特
Akyamac (41.46625, 32.10295) 阿克亚马奇
Akyaka (40.74093, 43.61432) 阿克亚卡
Aksaz (40.4399, 27.17278) 阿克萨兹
Aksakal (40.14725, 28.1068) 阿克萨卡尔
Mollafeneri (40.88611, 29.49444) 莫拉费内里
Akmese (40.84929, 30.19822) 阿克梅谢
Akmanlar (41.53883, 32.22576) 阿克曼拉尔
Akkuzulu (40.20949, 33.13669) 阿克库祖鲁
Akkus (40.79306, 37.01639) 阿克库什
Akdag (40.71235, 35.97605) 阿克达
Akcamescit (41.52799, 32.35651) 阿克贾梅斯吉特
Akcakoca (41.08935, 31.12362) 阿克贾科贾
Akcaabat (41.02121, 39.57146) 阿克贾阿巴特
Ahmetbey (40.29492, 28.99711) 艾哈迈特贝伊
Agva (41.13806, 29.85667) 阿格瓦
Agli (41.68602, 33.55383) 阿格利
Agakoey (40.26861, 27.15028) 阿加科伊
Adatepe (41.17862, 35.45489) 阿达特佩
Adapazari (40.78056, 30.40333) 阿达帕扎勒
