Etiler (41.0843, 29.03588) 艾提勒
Ilyas (40.56407, 35.84234) 伊利亚斯
Kiranalan (41.19833, 35.15765) 基兰阿兰
Habibfaki (41.1677, 35.19364) 哈比布法基
Boruk (41.08729, 35.34808) 博鲁克
Pasakoey (41.09444, 35.40117) 帕萨科伊
Karkucak (41.10414, 35.44584) 卡尔库贾克
Yagci (41.1051, 35.51954) 亚格吉
Meseli (41.08465, 35.5022) 梅塞利
Koepruebasi (36.10908, 32.84343) 科普鲁巴希
Cayirkent (41.17128, 36.32883) 查伊尔肯特
Salipazari (41.08398, 36.8304) 萨利帕扎里
Karabaglar (38.37396, 27.1352) 卡拉巴格拉尔
Hirkatolu (38.4062, 33.93081) 希尔卡托卢
Selecikoese (38.37206, 33.92981) 塞莱奇科伊
Demiroeren (36.08116, 32.67153) 德米罗伦
Guelec (36.10618, 32.79027) 居莱克
Malaklar (36.13042, 32.84607) 马拉克拉尔
Yarmasu (36.37698, 33.09072) 亚尔马苏
Akgedik (36.69096, 33.25731) 阿克格迪克
Kizilay (39.92128, 32.85055) 克兹莱
Dallica (37.90667, 28.28318) 达利贾
Terkehatipler (41.55637, 32.35127) 特尔克哈提普勒尔
Budakduezue (41.56052, 32.34371) 布达克杜兹
Geriskatirci (41.55108, 32.43715) 格里斯卡提尔奇
Eskihamidiye (41.48594, 32.35051) 埃斯基哈米迪耶
Bedil (41.48104, 32.29154) 贝迪尔
Ecikler (41.42697, 32.30772) 埃奇克勒尔
Bakioglu (41.44166, 32.34583) 巴基奥卢
Coburlar (41.51297, 32.14265) 乔布尔拉尔
Yazibasi (41.42321, 32.13368) 亚兹巴希
Guezelyaka (41.4312, 32.03288) 居泽利亚卡
Kadioglu (41.41885, 32.0184) 卡迪奥卢
Kalafatli (41.4114, 32.00755) 卡拉法特利
Ayvazlar (41.40182, 32.06013) 艾瓦兹拉尔
Cukuroeren (41.35889, 31.98706) 丘库罗伦
Yesiloez (36.38897, 32.21094) 叶希洛兹
Tosmur (36.53201, 32.05287) 托斯穆尔
Oba (36.55013, 32.0596) 奥巴
Ciplakli (36.56457, 32.04949) 吉普拉克利
Cikcilli (36.54967, 32.03672) 吉克吉利
Hacimehmetli (36.56752, 31.96811) 哈吉梅赫梅特利
Emisbeleni (36.61729, 31.87354) 埃米什贝莱尼
Cakallar (36.69195, 31.73523) 贾卡拉尔
Gueltepe (36.81741, 31.37846) 居尔特佩
Karaoez (36.77948, 31.51516) 卡拉厄兹
Dogancam (36.76372, 31.52666) 多安贾姆
Eminciler (36.89228, 31.05652) 埃明吉勒尔
Belkis (36.92495, 31.14646) 贝尔基斯
Sariabali (36.9703, 31.17797) 萨里阿巴利
Hacisekililer (36.84202, 30.51953) 哈吉塞基利勒尔
Guezelbag (36.8654, 30.79171) 居泽尔巴格
Muratpasa (36.89157, 30.76498) 穆拉特帕萨
Kargalik (37.0514, 30.18108) 卡尔加利克
Koeskerler (36.28107, 30.0008) 科斯克勒尔
Beyreli (36.42754, 32.22661) 贝雷利
Okurcalar (36.64876, 31.70387) 奥库尔贾拉尔
Kiyikoey (40.86644, 30.90583) 基伊科伊
Cumayeri (40.87389, 30.95091) 居马耶里
Selamlar (40.85489, 30.96543) 塞拉姆拉尔
Caybuekue (40.86037, 30.97895) 查伊比于克
Yakabasi (40.84941, 30.9847) 亚卡巴希
Kadirler (40.85505, 31.01301) 卡迪尔勒尔
UEcyol (40.83291, 31.04792) 乌埃乔尔
Saziye (40.84408, 31.0492) 沙齐耶
Goelormani (40.76126, 31.08404) 居尔奥尔马尼
Aydinpinar (40.75962, 31.11131) 艾丁皮纳尔
Cinarduezue (40.7425, 31.16181) 吉纳尔杜兹
Yesilcam (40.80969, 31.25235) 叶希尔贾姆
Pasaormani (40.79762, 31.20062) 帕萨奥尔马尼
Musababa (40.82711, 31.24692) 穆萨巴巴
Guemuespinar (40.82093, 31.21914) 居米什皮纳尔
Altinpinar (40.81327, 31.23341) 阿尔廷皮纳尔
Sinirci (40.81231, 31.15847) 西尼尔吉
Otluoglu (40.8204, 31.12846) 奥特卢奥卢
Guenbasi (40.84201, 31.24448) 居恩巴希
Ciftlikkoey (40.89161, 31.21563) 吉夫特利克科伊
Yumrukaya (40.71802, 31.49734) 尤姆鲁卡亚
Mesciler (40.69027, 31.639) 梅斯吉勒尔
Berkkoey (40.70315, 31.61388) 贝尔科伊
Alicoeren (40.76614, 31.76073) 阿利乔伦
Doganci (40.77115, 32.05919) 多安吉
Kuerkcueler (40.73339, 32.2133) 居尔居勒尔
Polateli (36.84137, 37.14407) 波拉特利
Kazimpasa (40.7916, 30.295) 卡兹姆帕萨
Kadriye (36.88655, 31.00608) 卡德里耶
Termal (40.60739, 29.17306) 特尔马尔
Yildirim (40.18851, 29.10974) 伊尔迪里姆
Alpagut (39.87948, 29.21412) 阿尔帕古特
Osmangazi (40.19671, 29.05935) 奥斯曼加齐
Buyukorhan (39.77102, 28.88614) 布尤科尔汉
Akcasir (38.44722, 41.26513) 阿克贾西尔
Tasburun (39.98607, 44.22359) 塔什布伦
Cubuklu (41.10419, 29.08331) 居布克鲁
Tekkale (40.7838, 41.51132) 特卡勒
Tokacli (37.26005, 37.66545) 托卡克利
Kardesler (38.91829, 40.66126) 卡尔德什勒尔
Salkimli (38.39566, 41.15674) 萨尔克姆利
Baglar (37.91375, 40.20584) 巴格拉尔
Sakalli (37.84651, 39.88457) 萨卡利
