Brasnorte (-12.1201, -58.00274) 布拉斯诺尔特
Corumbiara (-12.99851, -60.9431) 科伦比亚拉
Campos de Julio (-13.72454, -59.26034) 胡里奥坎波斯
Ipiranga de Goias (-15.17274, -49.67218) 戈亚斯伊皮兰加
Sao Jose do Jacuipe (-11.42316, -39.88503) 雅库伊佩圣若泽
Cidade Ocidental (-16.10971, -47.93261) 西方城市
Gameleira de Goias (-16.48742, -48.64568) 戈亚斯加梅莱拉
Angelandia (-17.72716, -42.27349) 安热兰迪亚
Jaborandi (-13.62034, -44.46968) 贾博兰迪
Sao Jose da Lapa (-19.70027, -43.9602) 拉帕圣若泽
Nova Santa Barbara (-23.59029, -50.761) 新圣芭芭拉
Rio Quente (-17.80856, -48.76069) 热河
Nova Belem (-18.4928, -41.10405) 新伯利恒
Sao Jose do Sul (-29.53857, -51.48468) 南圣若泽
Westfalia (-29.42839, -51.76604) 韦斯特法利亚
Eldorado do Sul (-29.99932, -51.30822) 南埃尔多拉多
Itapoa (-26.06955, -48.61737) 伊塔波阿
Capao do Cipo (-28.93428, -54.55564) 西波卡帕昂
Uniao da Serra (-28.75297, -52.01563) 塞拉联合
Bodoquena (-20.55114, -56.67576) 博多克纳
Alto Paraiso (-23.50778, -53.72832) 高天堂
Rosario do Ivai (-24.25568, -51.2493) 伊瓦伊罗萨里奥
Alvorada do Gurgueia (-8.44839, -43.86661) 古尔盖亚黎明
Coronel Jose Dias (-8.82613, -42.4788) 何塞·迪亚斯上校
Reserva do Cabacal (-15.12221, -58.38278) 卡巴卡尔保护区
Gloria d'Oeste (-15.76852, -58.31013) 西部格洛丽亚
Conquista d'Oeste (-14.54118, -59.54122) 西部征服
Spanish Wells (25.54717, -76.76405) 西班牙井
San Andros (25.06667, -78.05) 圣安德罗斯
Port Nelson (23.64967, -74.84157) 纳尔逊港
Nassau (25.05823, -77.34306) 拿骚
Matthew Town (20.94982, -73.67346) 马修镇
Masons Bay (22.54352, -73.8778) 梅森湾
Marsh Harbour (26.54124, -77.0636) 沼泽港
Lucaya (26.53333, -78.66667) 卢卡亚
High Rock (26.62651, -78.28209) 高岩
Hard Bargain (26.31667, -77.56667) 艰难交易
Governor's Harbour (25.16667, -76.23333) 总督港
Freeport (40.6576, -73.58318) 自由港
Dunmore Town (25.50216, -76.63633) 邓莫尔镇
Duncan Town (22.19083, -75.72583) 邓肯镇
Cooper's Town (26.87137, -77.51131) 库珀镇
Colonel Hill (22.7545, -74.20415) 上校山
Cockburn Town (21.46122, -71.14188) 科克本镇
Black Point (24.1, -76.38333) 黑点
Arthur's Town (24.6224, -75.67151) 亚瑟镇
Andros Town (24.70502, -77.76912) 安德罗斯镇
Alice Town (25.728, -79.29721) 爱丽丝镇
Abraham's Bay (22.36667, -72.96667) 亚伯拉罕湾
Wangdue Phodrang (27.48615, 89.89915) 旺杜波德朗
Trongsa (27.5026, 90.50716) 通萨
Thimphu (27.46609, 89.64191) 廷布
Trashi Yangtse (27.6116, 91.498) 扎西扬泽
Trashigang (27.3331, 91.55424) 扎西岗
Daga (27.07529, 89.87688) 达加
Shemgang (27.21689, 90.65793) 申岗
Sarpang (26.86395, 90.26745) 萨尔邦
Punakha (27.59137, 89.87743) 普那卡
Phuntsholing (26.85164, 89.38837) 彭措林
Paro (27.4305, 89.41334) 帕罗
Pajo (11.24121, 124.01067) 帕霍
Mongar (27.27471, 91.23963) 蒙加尔
Lhuentse (27.66787, 91.18393) 伦策
Ha (27.38747, 89.28074) 哈
Gasa (27.90372, 89.72689) 加萨
Daphu (26.96667, 89.38333) 达普
Tsirang (27.0219, 90.12291) 锡朗
Tsimasham (27.0989, 89.53604) 次玛山
Jakar (27.54918, 90.7525) 加卡尔
Panbang (26.86667, 90.98333) 潘邦
Nganglam (26.78333, 91.25) 昂朗
Samtse (26.89903, 89.09951) 桑措
Pemagatshel (27.03795, 91.40305) 佩马加策尔
Daifam (26.9, 92.1) 戴法姆
Bhangtar (26.81667, 91.71667) 邦塔尔
Samdrup Jongkhar (26.80069, 91.50519) 桑德鲁普琼卡尔
Laya (17.4726, 121.4678) 拉亚
Lungtenzampa (27.46821, 89.64441) 隆滕赞帕
Werda (-25.26667, 23.28333) 韦尔达
Tshane (-24.03333, 21.9) 查内
Tshabong (-26.05, 22.45) 查博恩
Tsau (-20.16458, 22.45573) 曹
Toteng (-20.38333, 22.95) 托滕
Tonota (-21.44236, 27.46153) 托诺塔
Tlokweng (-24.66861, 25.97111) 特洛克文
Tlhareselele (-25.50639, 25.63625) 特拉雷塞莱
Thamaga (-24.67014, 25.53975) 塔马加
Tamasane (-22.4184, 27.40127) 塔马萨内
Sua (-20.05, 26.2) 苏阿
Shoshong (-23.0389, 26.51) 索松
Shakgwe (-23.10719, 27.15205) 沙克格韦
Shakawe (-18.36536, 21.84219) 沙卡韦
Serowe (-22.38754, 26.71077) 塞罗韦
SelebiPhikwe (-21.97895, 27.84296) 塞莱比菲奎
Sehithwa (-20.46667, 22.71667) 塞希特瓦
Sefophe (-22.18333, 27.96667) 塞福菲
Sebina (-20.831, 27.219) 塞比纳
Ratholo (-22.72454, 27.57199) 拉托洛
Ramotswa (-24.87158, 25.86989) 拉莫茨瓦
Ramokgonami (-22.8645, 27.42391) 拉莫克戈纳米
