Sekretarivka (46.6598, 30.28327) - 塞克雷塔里夫卡
Siedove (47.0787, 38.15368) - 谢多韦
Sedniv (51.64473, 31.56497) - 塞德尼夫
Sebyne (47.19905, 31.85919) - 塞比内
Shchastia (48.73784, 39.23047) - 什恰斯季亚
Shchaslyvka (47.80737, 30.93696) - 什恰斯利夫卡
Savyntsi (49.40505, 37.05517) - 萨温齐
Sataniv (49.25481, 26.25417) - 萨塔尼夫
Sarny (51.33795, 26.60191) - 萨尔尼
Sarazhinka (48.08834, 29.44918) - 萨拉任卡
Sanzhiika (46.22882, 30.60897) - 桑日伊卡
Sambir (49.51631, 23.2006) - 桑比尔
Salkove (48.25677, 29.98347) - 萨尔科韦
Sakhnovshchyna (49.14894, 35.87374) - 萨赫诺夫什奇纳
Safyany (45.40273, 28.8777) - 萨菲亚尼
Sadzhavka (48.56734, 24.79969) - 萨贾夫卡
Sadove (46.01999, 29.27624) - 萨多韦
Yurkivtsi (48.50197, 25.93335) - 尤尔基夫齐
Rzhyshchiv (49.96729, 31.04069) - 日日什奇夫
Rzhavyntsi (48.50659, 26.07725) - 日扎文齐
Rynhach (48.30953, 26.24408) - 林哈奇
Rykhtychi (49.38748, 23.56344) - 里赫蒂奇
Rybalske (45.77662, 29.82998) - 里巴尔斯克
Rybakivka (46.62333, 31.36474) - 里巴基夫卡
Rybach'e (44.77331, 34.59609) - 里巴切
Ryasnopil (47.06981, 31.18876) - 里亚斯诺皮尔
Ruzhyn (49.72175, 29.21874) - 鲁任
Ruskoivanivka (46.3693, 29.7658) - 鲁斯科伊瓦尼夫卡
Ruska Poliana (49.417, 31.92009) - 鲁斯卡波利亚纳
Rusakovka (45.12369, 34.47458) - 鲁萨科夫卡
Rukshyn (48.48822, 26.40104) - 鲁克申
Rudne (49.83333, 23.9) - 鲁德内
Rudnytsya (48.25964, 28.93372) - 鲁德尼察
Rudky (49.65306, 23.48702) - 鲁德基
Ruch'i (45.78564, 33.66093) - 鲁奇
Rubizhne (49.00606, 38.38119) - 鲁比日内
Rozvadiv (49.50305, 23.95819) - 罗兹瓦迪夫
Rozivka (46.93802, 35.77566) - 罗兹夫卡
Rozhniativ (48.93975, 24.15627) - 罗日尼亚季夫
Rozhniv (48.36465, 25.23109) - 罗日尼夫
Rozhyshche (50.91542, 25.26906) - 罗日什切
Novi Kaplany (46.1832, 29.42656) - 诺维卡普拉尼
Rozdil (49.46201, 24.06236) - 罗兹迪尔
Rozdilna (46.85479, 30.07091) - 罗兹迪尔纳
Roylyanka (46.28821, 29.79365) - 罗伊良卡
Kurakhove (47.9847, 37.27937) - 库拉霍韦
Rivne (50.62308, 26.22743) - 里夫内
Rovenky (48.08331, 39.37764) - 罗文基
Rosiianivka (47.22541, 29.70457) - 罗西亚尼夫卡
Rososhany (48.39905, 27.00197) - 罗索沙尼
Rozkishna (49.36899, 30.19398) - 罗兹基什纳
Rozkishne (48.48959, 39.27881) - 罗兹基什内
Roskoshnoye (45.65187, 34.11552) - 罗斯科什诺耶
Ropcha (48.11439, 25.76798) - 罗普查
Romodan (49.99135, 33.32626) - 罗莫丹
Romashkino (45.25647, 33.25517) - 罗马什基诺
Romanivka (47.56241, 30.20387) - 罗马尼夫卡
Romanova Balka (47.92973, 31.01469) - 罗曼诺瓦巴尔卡
Romankivtsi (48.48421, 27.2141) - 罗曼基夫齐
Roksolany (46.17608, 30.4568) - 罗克索拉尼
Rokosovo (48.20829, 23.17849) - 罗科索沃
Rokytne (51.2796, 27.214) - 罗基特内
Rohatyn (49.41043, 24.61103) - 罗哈廷
Rodnoye (44.55395, 33.73925) - 罗德诺耶
Rodnikovoye (44.46446, 33.85189) - 罗德尼科沃耶
Rodnikovo (45.04296, 33.95407) - 罗德尼科沃
Rodynske (48.35415, 37.20641) - 罗丁斯克
Rodatychi (49.79862, 23.53336) - 罗达蒂奇
Ryzha (47.97508, 25.04927) - 里扎
Revne (48.33333, 25.8) - 列夫内
Revakivtsi (48.3724, 25.68377) - 列瓦基夫齐
Reshetylivka (49.563, 34.07896) - 列舍特利夫卡
Repuzhyntsi (48.65554, 25.79109) - 列普任齐
Ripky (51.80105, 31.08383) - 里普基
Ridkivtsi (48.33902, 26.07342) - 里德基夫齐
Richky (50.27706, 23.64617) - 里奇基
Rechka (48.28034, 24.9333) - 列奇卡
Rozdory (48.32936, 35.71204) - 罗兹多里
Razdolye (44.97458, 33.69458) - 拉兹多利耶
RavaRuska (50.23079, 23.62825) - 拉瓦鲁斯卡
Ratne (51.6683, 24.5303) - 拉特内
Rozsypne (48.14966, 38.57619) - 罗兹西普内
Rashkiv (48.51049, 26.26889) - 拉什基夫
Ralivka (49.49982, 23.23739) - 拉利夫卡
Rakove (47.53773, 31.3996) - 拉科韦
Rakiv Lis (51.62174, 24.92427) - 拉基夫利斯
Rakoshyno (48.46631, 22.59692) - 拉科希诺
Rakhiv (48.05472, 24.20314) - 拉希夫
Rafalivka (51.31143, 25.9956) - 拉法利夫卡
Radushne (47.81548, 33.51015) - 拉杜什内
Radisnyy Sad (46.90089, 31.98839) - 拉迪斯内萨德
Radisne (47.0002, 30.33928) - 拉迪斯内
Radomyshl (50.49613, 29.22911) - 拉多梅什利
Radens'k (46.5486, 32.92787) - 拉登斯克
Radekhiv (50.28249, 24.64279) - 拉德希夫
Radcha (48.85081, 24.65603) - 拉德查
Pyatykhatky (48.40821, 33.70919) - 皮亚季哈特基
Pyatikhatka (45.32347, 34.25516) - 皮亚季哈特卡
Puzhaykovo (48.10883, 29.82747) - 普扎伊科沃
Putyvl (51.33745, 33.87066) - 普季夫尔
