Petrodolynske (46.43382, 30.40377) - 佩特罗多林斯克
Kurisove (46.96951, 30.95914) - 库里索韦
Petrykivka (48.7279, 34.62837) - 佩特里基夫卡
Petrichanka (48.05445, 25.88277) - 佩特里昌卡
Petrivsk (46.44711, 28.9701) - 佩特里夫斯克
Petranka (48.90526, 24.30618) - 佩特兰卡
Piskivka (50.69378, 29.61934) - 皮斯基夫卡
Pisky (47.34847, 32.25431) - 皮斯基
Pischchanyy Brid (47.21306, 31.40777) - 皮什查内布里德
Peschanoye (44.84342, 33.60921) - 佩斯查诺耶
Pishchanka (48.21249, 28.88056) - 皮什昌卡
Pischchana (48.12918, 29.73086) - 皮什查纳
Pershotravneve (46.74341, 30.91669) - 佩尔绍特拉夫涅韦
Zlatopil (49.37646, 36.21848) - 兹拉托皮尔
Pervomaisk (48.62831, 38.56205) - 佩尔沃迈斯克
Manhush (47.05625, 37.31193) - 曼胡什
Shakhtarske (48.3479, 36.39637) - 沙赫塔尔斯克
Perovo (44.92513, 34.05753) - 佩罗沃
Perkivtsi (48.44747, 26.65056) - 佩尔基夫齐
Pereima (48.07034, 29.49857) - 佩雷伊马
Pereiaslav (50.06739, 31.44969) - 佩列亚斯拉夫
Perevalsk (48.43779, 38.84384) - 佩列瓦尔斯克
Perevalovka (44.97675, 34.98281) - 佩列瓦洛夫卡
Pereval'noye (44.84838, 34.31271) - 佩列瓦尔诺耶
Pereshchepyne (49.02512, 35.36885) - 佩列谢皮内
Peresichna (50.02452, 35.97871) - 佩列西奇纳
Peresadivka (47.11353, 32.1908) - 佩列萨迪夫卡
Peremyshliany (49.67053, 24.55657) - 佩列米什利亚尼
Pereloty (47.91492, 29.75609) - 佩列洛蒂
Perekop (46.16056, 33.69283) - 佩列科普
Perehonivka (48.53218, 30.52091) - 佩列霍尼夫卡
Perehinske (48.81118, 24.19196) - 佩列欣斯克
Peredovoye (44.5094, 33.82902) - 佩列多沃耶
Perechyn (48.73494, 22.47718) - 佩列钦
Perebykivtsi (48.58701, 26.13817) - 佩列比基夫齐
Pechenizhyn (48.51668, 24.88317) - 佩切尼任
Pchel'niki (45.29525, 34.78416) - 佩切尔尼基
Pavlysh (48.92301, 33.36076) - 帕夫利什
PavloMaryanivka (47.0996, 32.88678) - 帕夫洛马里亚尼夫卡
Pavlohrad (48.53214, 35.86878) - 帕夫洛赫拉德
Pavlynka (46.81311, 30.67508) - 帕夫林卡
Pasytsely (47.83015, 29.68384) - 帕西采利
Pashkivtsi (48.39409, 26.48164) - 帕什基夫齐
Pasichna (48.56995, 24.41545) - 帕西奇纳
Krupyanske (48.16265, 26.07093) - 克鲁皮扬斯克
Pasat (47.97201, 29.80377) - 帕萨特
Parutyne (46.70538, 31.89709) - 帕鲁蒂内
Rykove (46.33067, 34.74855) - 里科韦
Prokhladnoye (44.75665, 33.99177) - 普罗赫拉德诺耶
Parkhomivka (50.12305, 35.00563) - 帕尔霍米夫卡
Makariv Yar (48.57722, 39.71693) - 马卡里夫亚尔
Parafiivka (50.87728, 32.64598) - 帕拉菲伊夫卡
Lymanivka (48.93883, 36.27828) - 利曼尼夫卡
Pantayivka (48.67691, 32.89802) - 潘塔伊夫卡
Panka (48.17435, 25.64795) - 潘卡
Ozheve (48.55786, 27.4641) - 奥热韦
Ozerne (50.17816, 28.73384) - 奥泽尔内
Ozerna (49.62826, 25.33029) - 奥泽尔纳
Ovruch (51.3246, 28.80351) - 奥夫鲁奇
Ovoshchnoye (45.7552, 34.33777) - 奥沃什诺耶
Ovidiopol (46.24721, 30.43746) - 奥维迪奥波尔
Otyniia (48.73792, 24.86115) - 奥特尼亚
Bandurka (48.12156, 31.03425) - 班杜尔卡
Plotinnoye (44.58656, 33.96524) - 普洛廷诺耶
Ostrivne (45.76031, 29.15348) - 奥斯特里夫内
Ostroh (50.32942, 26.51425) - 奥斯特罗赫
