Chervona Dibrova (48.13333, 25.93333) 红色迪布罗瓦
Khyriv (49.53345, 22.85312) 希里夫
Novomykhaylivske (47.80159, 30.73725) 新米哈伊利夫斯克
Khust (48.17193, 23.29791) 胡斯特
Khriatska (48.1655, 26.18714) 克里亚茨卡
Khrystoforivka (47.98295, 33.0943) 克里斯托福里夫卡
Khrystynivka (48.81282, 29.96885) 克里斯蒂尼夫卡
Khotiv (50.33069, 30.46836) 霍季夫
Khotyn (48.50555, 26.48978) 霍廷
Khorostkiv (49.21385, 25.91964) 霍罗斯特基夫
Horoshivtsi (48.47844, 25.98007) 霍罗希夫齐
Khorosheve (49.8517, 36.22759) 霍罗舍韦
Khorol (49.78286, 33.27184) 霍罗尔
Kholodna Balka (46.60626, 30.58363) 霍洛德纳巴尔卡
Kholmy (51.87096, 32.60063) 霍尔米
Kholmske (45.75913, 29.22759) 霍尔姆斯克
Khodoriv (49.40681, 24.3113) 霍多里夫
Khmelnytskyi (49.41835, 26.97936) 赫梅利尼茨基
Khmel'nitskoye (44.54507, 33.65395) 赫梅利尼茨科耶
Khmilnyk (49.5581, 27.95682) 赫米利尼克
Khymchyn (48.37965, 25.14848) 希姆钦
Kherson (46.63695, 32.61458) 赫尔松
Yarivka (48.35915, 26.52994) 亚里夫卡
Tylovoye (44.44134, 33.73228) 蒂洛沃耶
Khashchevoye (48.70138, 35.3401) 哈什切沃耶
Khartsyzk (48.04243, 38.14728) 哈尔齐兹克
Kharkiv (49.98081, 36.25272) 哈尔科夫
Hodyliv (48.24623, 25.92636) 戈迪利夫
Kerch (45.35675, 36.47542) 刻赤
Kelmentsi (48.4664, 26.83277) 克尔门齐
Kehychivka (49.28656, 35.76153) 克赫奇夫卡
Kozatske (46.78551, 33.35002) 科扎茨克
Kozyatyn (49.7164, 28.83858) 科扎廷
Kozachi Laheri (46.70538, 32.98194) 科扎奇拉赫里
Kaydaki (48.37678, 35.12398) 卡伊达基
Katiuzhanka (50.80595, 30.13763) 卡秋然卡
Katsiveli (44.39525, 33.97239) 卡齐韦利
Katerynopil (48.94563, 30.97187) 卡捷里诺皮尔
Katerynka (47.92447, 30.78361) 卡捷林卡
KashperoMykolayivka (47.37714, 32.19039) 卡什佩罗米科拉伊夫卡
Yelizavetovo (45.44928, 33.35755) 叶利扎韦托沃
Karpovka (45.52439, 34.08012) 卡尔波夫卡
Karnaukhivka (48.47542, 34.73631) 卡尔瑙希夫卡
Karnaliyivka (46.21862, 30.0309) 卡尔纳利伊夫卡
Karmalyukivka (47.95347, 29.42893) 卡尔马柳基夫卡
Karlivka (49.45548, 35.13493) 卡尔利夫卡
Soledar (48.69075, 38.07432) 索列达尔
Karapyshi (49.64415, 30.79614) 卡拉皮希
Karapchiv (48.3242, 25.44805) 卡拉普奇夫
Kaplivka (48.44739, 26.51098) 卡普利夫卡
Kapitanivka (48.92016, 31.71627) 卡皮塔尼夫卡
Kaniv (49.75187, 31.47003) 卡尼夫
KomyshZorya (47.33074, 36.69571) 科米什佐里亚
Komyshnya (50.18643, 33.6831) 科米什尼亚
Komyshivka (45.51876, 29.12375) 科米希夫卡
Komyshuvakha (47.71491, 35.52405) 科米舒瓦哈
Komyshany (46.63995, 32.50343) 科米沙尼
Kamyanske (48.51716, 34.60617) 卡缅斯克
KamianetsPodilskyi (48.67882, 26.58516) 卡缅涅茨波多利斯基
Kamiani Potoky (48.98, 33.52557) 卡缅尼波托基
Kamyane (48.18621, 29.93142) 卡缅耶
Kamiane (48.16829, 39.16537) 卡缅耶
Kamyana (48.23286, 25.85035) 卡缅纳
KaminKashyrskyi (51.62412, 24.95864) 卡明卡希尔斯基
