Delzhyler (45.83973, 29.48718) 德尔日勒
Dmitrovka (45.48411, 35.0588) 德米特罗夫卡
Dyviziya (45.94382, 29.96516) 迪维齐亚
Dynivtsy (48.31773, 26.29448) 迪尼夫齐
Oleksandriyske (48.60444, 32.98851) 奥列克桑德里斯克
Myrnohrad (48.3099, 37.26513) 米尔诺赫拉德
Dykhtynets (48.05913, 25.04375) 迪赫特涅茨
Dykanka (49.82586, 34.522) 迪坎卡
Desantne (45.57422, 29.53961) 德桑特内
Derhachi (50.10659, 36.12112) 德尔哈奇
Valya Kuzmyna (48.18459, 26.01781) 瓦利亚库兹米纳
Derazhnya (49.26915, 27.42909) 德拉日尼亚
Raukhivka (47.16667, 30.81771) 劳希夫卡
Demydove (47.26454, 30.67488) 德米多夫
Deliatyn (48.5248, 24.62566) 德利亚廷
Dihtiari (50.58264, 32.77012) 迪赫蒂亚里
Debaltseve (48.34072, 38.4049) 德巴尔采沃
Davydivka (48.13802, 25.54683) 达维迪夫卡
Davydivtsi (48.48756, 25.70811) 达维迪夫齐
Dashiv (49.00351, 29.43971) 达希夫
Chotnyy Potik (48.55735, 26.03535) 霍特尼波季克
Dankivtsi (48.42764, 26.51137) 丹基夫齐
Dalnyk (46.22453, 30.53031) 达尔尼克
Dalekoye (45.66006, 33.08059) 达列科耶
Chuikivka (52.03299, 34.00175) 楚伊基夫卡
Chutove (49.71414, 35.15747) 楚托韦
Chulakivka (46.35845, 32.35115) 楚拉基夫卡
Chuhuiv (49.83538, 36.6865) 楚胡伊夫
Chuhynka (48.92192, 39.66675) 楚欣卡
Chudniv (50.05204, 28.11745) 楚德尼夫
Chortkiv (49.01701, 25.79808) 乔尔特基夫
Chopovychi (50.83325, 28.95334) 乔波维奇
Chop (48.4316, 22.20446) 乔普
Chkalovo (45.60474, 34.83395) 乔卡洛沃
Chystovodne (46.43945, 29.75928) 奇斯托沃德内
Chistopolye (45.36541, 36.18312) 奇斯托波利耶
Chisten'koye (44.88152, 34.04716) 奇斯滕科耶
Chunkiv (48.59251, 25.81858) 楚恩基夫
Chynadiyovo (48.48666, 22.83368) 奇纳迪约沃
Chyhyryn (49.08045, 32.66082) 奇吉林
Chesnyky (49.39114, 24.72472) 切斯尼基
Chervonyi Yar (45.58421, 29.21081) 切尔沃尼亚尔
Oskil (49.1785, 37.42598) 奥斯基尔
Esman (51.77006, 34.06729) 埃斯曼
Chervonopartyzansk (48.07613, 39.79618) 切尔沃诺帕尔蒂赞斯克
Chervonohryhorivka (47.61906, 34.53778) 切尔沃诺赫雷霍里夫卡
Chervonohrad (50.39105, 24.23514) 切尔沃诺赫拉德
Pulyny (50.46784, 28.2713) 普利尼
Kubey (45.79131, 28.74455) 库贝伊
Radyvyliv (50.12994, 25.25576) 拉迪维利夫
Chervona Sloboda (49.37281, 32.15742) 切尔沃纳斯洛博达
Chervona Dolyna (47.14828, 32.663) 切尔沃纳多利纳
Chortomlyk (47.62424, 34.14129) 乔尔托姆雷克
Chornyy Ostriv (49.50559, 26.75686) 乔尔内奥斯特里夫
Cherniatyn (48.66034, 25.44832) 切尔尼亚廷
Chornianka (46.65175, 33.35964) 乔尔尼安卡
Chernyakhivka (50.21882, 31.93082) 切尔尼亚希夫卡
Cherniakhiv (50.45652, 28.67018) 切尔尼亚希夫
Chornukhyne (48.32339, 38.52272) 乔尔努希内
Chornukhy (50.26817, 32.93602) 乔尔努希
Chernozemnoye (45.40808, 34.8199) 切尔诺泽姆诺耶
Chornorudka (49.8428, 29.06143) 乔尔诺鲁德卡
Chernopolye (45.04399, 34.63916) 切尔诺波利耶
Chernomorskoye (45.50657, 32.69776) 切尔诺莫尔斯科耶
Chornomorka (46.64061, 31.49816) 乔尔诺莫尔卡
Chornoliztsi (48.83221, 24.89883) 乔尔诺利兹齐
Chornohuzy (48.27125, 25.22889) 乔尔诺胡兹
Chornohirka (47.0397, 30.87034) 乔尔诺希尔卡
Chornobaivka (46.69641, 32.5471) 乔尔诺巴伊夫卡
Chornobay (49.67074, 32.3236) 乔尔诺巴伊
Cherniiv (48.85589, 24.71557) 切尔尼伊夫
Chernivtsi (48.29045, 25.93241) 切尔诺夫策
Chernihiv (51.50551, 31.28487) 切尔尼戈夫
Chernihivka (47.19451, 36.21648) 切尔尼戈夫卡
Chernelytsia (48.81302, 25.42682) 切尔内利齐亚
Cherneche (48.0654, 29.59287) 切尔内切
Chornivka (48.41751, 26.01216) 乔尔尼夫卡
Chorna (47.61999, 29.33845) 乔尔纳
Cherlenivka (48.29284, 26.40255) 切尔列尼夫卡
Cherkasy (49.44452, 32.05738) 切尔卡瑟
Cherkaske (48.70594, 35.37868) 切尔卡斯克
Chereshenka (48.21901, 25.27199) 切雷申卡
Cheresh (48.09735, 25.61543) 切雷什
Cherepkivtsi (48.01557, 25.9643) 切雷普基夫齐
Cheponosy (48.48428, 26.35383) 切波诺西
Chemerivtsi (49.00914, 26.34002) 切梅里夫齐
Chelyadinovo (45.20729, 36.3762) 切利亚季诺沃
Chechelnyk (48.21558, 29.36469) 切切利尼克
Chaykino (45.08223, 34.08673) 查伊基诺
Chausove (48.06136, 30.7184) 乔索韦
Chasiv Yar (48.59362, 37.85543) 查西夫亚尔
Chortoryya (48.37405, 25.56559) 乔尔托里亚
Chaplynka (46.36454, 33.54087) 查普林卡
Slobozhanske (48.53201, 35.07147) 斯洛博詹斯克
Viitivka (48.42257, 29.54497) 维伊蒂夫卡
Voskresenka (47.46892, 36.36161) 沃斯克雷森卡
Chapayevka (45.28119, 34.89428) 查帕耶夫卡
Chahor (48.2433, 25.99392) 查霍尔
Bytkiv (48.63092, 24.47118) 比特基夫
Bystriivka (49.83942, 29.26775) 比斯特里夫卡
