Bystrytsia (48.45979, 24.246) 比斯特里齐亚
Chernyshevo (45.78202, 33.42825) 切尔尼舍沃
Bykivka (50.29285, 27.98314) 比基夫卡
Buzovytsya (48.49859, 26.93221) 布佐维齐亚
Buzinove (46.98762, 30.48569) 布齐诺韦
Bushtyno (48.0473, 23.48576) 布什蒂诺
Buryn (51.19912, 33.83523) 布林
Dolishniy Shepit (48.00356, 25.28075) 多利什尼谢皮特
Burshtyn (49.25193, 24.63339) 布尔什滕
Burlacha Balka (46.33984, 30.66446) 布尔拉查巴尔卡
Burylove (48.02131, 30.3754) 布里洛韦
Burdyuh (48.48057, 26.89211) 布尔久赫
Pozharskoye (44.93554, 33.87109) 波扎尔斯科耶
Buky (49.08929, 30.40901) 布基
Vesnyane (46.97783, 31.88733) 韦斯尼亚内
Bukachivtsi (49.25425, 24.49559) 布卡奇夫齐
Bouzke (47.60306, 31.20768) 布兹克
Buzke (47.42993, 31.99806) 布兹克
Budy (49.89133, 36.02096) 布迪
Novoukrainka (46.81513, 30.29026) 新乌克兰卡
Budenets (48.08322, 25.64906) 布杰涅茨
Budey (48.05485, 29.2772) 布杰伊
Mala Buda (48.16667, 26.11667) 马拉布达
Buchmany (51.06879, 28.04221) 布赫马尼
Buchach (49.06234, 25.39496) 布恰奇
Bryukhovychi (49.90467, 23.95969) 布留霍维奇
Brianka (48.511, 38.67222) 布里安卡
Brusyliv (50.28449, 29.52626) 布鲁西利夫
Brovky Pershi (49.93108, 29.19773) 布罗夫基佩尔希
Brovary (50.51809, 30.80671) 布罗瓦里
Broska (45.36943, 28.78805) 布罗斯卡
BroshnivOsada (48.99759, 24.19417) 布罗什尼夫奥萨达
Brodetske (49.75994, 28.61807) 布罗杰茨克
Brylivka (46.42025, 33.14108) 布里利夫卡
Bratslav (48.82317, 28.93827) 布拉茨拉夫
Bratske (47.86664, 31.57525) 布拉茨克
Brayiliv (49.10671, 28.16472) 布拉伊利夫
Boikivshchyna (49.91035, 32.25007) 博伊基夫希纳
Boiarka (50.31911, 30.29728) 博亚尔卡
Boiany (48.26685, 26.12556) 博亚尼
Boianchuk (48.49033, 25.95393) 博扬丘克
Nikita (44.51335, 34.23517) 尼基塔
Borzna (51.25464, 32.4269) 博尔兹纳
Borshchi (47.8682, 29.48661) 博尔希
Borshchiv (48.80319, 26.03171) 博尔希奇夫
Borivtsi (48.58529, 25.63979) 博里夫齐
Boromlia (50.61839, 34.97042) 博罗姆利亚
Borodianka (50.64484, 29.9201) 博罗江卡
Budzhak (46.30239, 29.23965) 布贾克
Boryspil (50.35269, 30.95501) 鲍里斯波尔
Borysivka (45.79023, 29.63849) 博里西夫卡
Boryslav (49.29208, 23.42577) 博里斯拉夫
Bondarenkovo (45.40017, 36.48765) 邦达连科沃
Bilshivtsi (49.18176, 24.74028) 比尔希夫齐
Velykoserbulivka (47.70339, 31.67545) 韦雷科塞尔布利夫卡
Velykomaryanivka (46.03128, 30.06423) 韦雷科马里亚尼夫卡
Velyka Balka (46.56141, 30.6089) 韦雷卡巴尔卡
Velykooleksandrivka (47.78333, 32.68333) 韦雷科奥列克桑德里夫卡
Bolhrad (45.67786, 28.61811) 博尔赫拉德
Martynivske (47.47077, 31.27731) 马尔蒂尼夫斯克
Bolekhiv (49.06479, 23.85953) 博列希夫
Bokove (47.73467, 30.18946) 博科韦
Bohuslav (49.54637, 30.87407) 博古斯拉夫
Bohunove (47.0275, 30.46069) 博胡诺韦
Bohorodchany (48.80812, 24.53728) 博霍罗德恰尼
Bohodukhiv (50.16464, 35.52725) 博霍杜希夫
Bohdanivka (50.62719, 30.91374) 博赫达尼夫卡
Bogdanivka (50.21807, 32.01476) 博格达尼夫卡
Inhulka (47.19683, 32.22748) 因胡尔卡
Bohdan (48.04262, 24.33956) 博赫丹
Bahate (45.40718, 28.94254) 巴哈特
Bogatovka (44.86935, 35.05996) 博加托夫卡
Bahachivka (47.97639, 30.55482) 巴哈奇夫卡
Bochmanivka (47.65643, 29.56565) 博赫马尼夫卡
Bochkivtsi (48.4302, 26.17259) 博奇夫齐
Bobrynets (48.05674, 32.1655) 博布里涅茨
Bobrovytsia (50.74693, 31.3948) 博布罗维齐亚
Bibrka (49.63814, 24.29199) 比布尔卡
Bobrytsia (50.34998, 30.18858) 博布里齐亚
Bobryk Pershyy (47.91655, 30.17852) 博布雷克佩尔希
Bobivtsi (48.26395, 25.6899) 博比夫齐
Bobovo (48.07166, 22.89585) 博博沃
Blyzniuky (48.85655, 36.55331) 布利兹纽基
Blizhneye (45.05694, 35.33056) 布利日涅耶
Blizhnegorodskoye (45.64093, 34.38054) 布利日涅戈罗茨科耶
Velykyi Buialyk (46.93891, 30.65189) 韦雷基布亚利克
BilhorodDnistrovskyi (46.19484, 30.34827) 比尔霍罗德德涅斯特罗夫斯基
Bila Tserkva (49.8004, 30.12851) 比拉采尔克瓦
Bezimenne (47.10724, 37.93966) 贝济门内
Bezliudivka (49.87547, 36.26539) 贝兹柳迪夫卡
Shchaslyve (46.90641, 31.47411) 什恰斯利韦
Bershad (48.36354, 29.51463) 贝尔沙德
Bernove (48.49662, 26.63618) 贝尔诺韦
Berlohy (48.96485, 24.24842) 贝尔洛希
Berehomet (48.17148, 25.33032) 贝雷霍梅特
Beryslav (46.83851, 33.42664) 贝里斯拉夫
Berezivka (47.20037, 30.90943) 贝雷济夫卡
Bereznyky (48.51111, 23.22186) 贝雷兹尼基
Bereznehuvatske (47.74833, 32.27793) 贝雷兹内胡瓦茨克
Bereznehuvate (47.30872, 32.85098) 贝雷兹内胡瓦特
