Millville (39.40206, -75.03934) 米尔维尔
New Castle (41.00367, -80.34701) 新堡
North Star (39.76122, -75.7191) 北星
Pike Creek (39.73095, -75.7041) 派克溪
Pike Creek Valley (39.73622, -75.69827) 派克溪谷
Rehoboth Beach (38.72095, -75.07601) 里霍博斯海滩
Rodney Village (39.13206, -75.53242) 罗德尼村
Selbyville (38.46039, -75.22074) 塞尔比维尔
Smyrna (33.88399, -84.51438) 斯米尔纳
Wilmington Manor (39.68678, -75.58437) 威尔明顿庄园
Alachua (29.75163, -82.42483) 阿拉楚阿
Allapattah (25.81454, -80.22394) 阿拉帕塔
Allentown (40.60843, -75.49018) 艾伦镇
Altamonte Springs (28.66111, -81.36562) 阿尔塔蒙特斯普林斯
Altha (30.57047, -85.12714) 阿尔萨
Alturas (27.87169, -81.71508) 阿尔图拉斯
Andrews (32.31872, -102.54572) 安德鲁斯
Anna Maria (27.53115, -82.73343) 安娜玛丽亚
Apalachicola (29.726, -84.9856) 阿巴拉契科拉
Apollo Beach (27.77308, -82.40759) 阿波罗海滩
Apopka (28.67617, -81.51186) 阿波普卡
Archer (29.52997, -82.519) 阿彻
Asbury Lake (30.04913, -81.82149) 阿斯伯里湖
Astatula (28.70972, -81.73285) 阿斯塔图拉
Astor (29.16248, -81.52535) 阿斯特
Atlantic Beach (30.33441, -81.3987) 大西洋海滩
Atlantis (-33.56668, 18.48335) 亚特兰蒂斯
Auburndale (28.0653, -81.78869) 奥本代尔
Aventura (25.95648, -80.13921) 阿文图拉
Avon Park (27.59587, -81.50619) 埃文公园
Azalea Park (28.54111, -81.30062) 杜鹃花公园
Babson Park (27.83197, -81.5223) 巴布森公园
Bal Harbour (25.89176, -80.12699) 巴尔港
Baldwin (40.65649, -73.6093) 鲍德温
Balm (27.75947, -82.2612) 巴尔姆
Bay Harbor Islands (25.88759, -80.13116) 海湾港群岛
Bay Hill (28.46806, -81.51618) 海湾山
Bay Pines (27.81419, -82.77816) 海湾松
Bayonet Point (28.32667, -82.68343) 刺刀点
Bayshore Gardens (27.42532, -82.59038) 海湾岸花园
Beacon Square (28.20862, -82.75538) 灯塔广场
Bee Ridge (27.28394, -82.48065) 蜜蜂岭
Belle Glade (26.68451, -80.66756) 贝尔格莱德
Belle Glade Camp (26.65757, -80.68284) 贝尔格莱德营地
Belle Isle (28.45834, -81.35924) 贝尔岛
Belleair (27.93585, -82.80621) 贝莱尔
Belleair Beach (27.92308, -82.84316) 贝莱尔海滩
Belleair Bluffs (27.92141, -82.81705) 贝莱尔布拉夫斯
Belleview (29.05526, -82.06231) 贝尔维尤
Bellview (30.46159, -87.31497) 贝尔维尤
Big Coppitt Key (24.59653, -81.66009) 大科皮特礁
Big Pine Key (24.66987, -81.35397) 大松礁
Biscayne Park (25.8826, -80.1806) 比斯坎公园
Bithlo (28.55472, -81.10645) 比斯洛
Blountstown (30.44379, -85.04744) 布朗茨敦
Boca Del Mar (26.34508, -80.14671) 博卡德尔马尔
Boca Pointe (26.33313, -80.15949) 博卡波因特
Boca Raton (26.35869, -80.0831) 博卡拉顿
Bokeelia (26.70563, -82.15898) 博基利亚
Bonifay (30.79186, -85.67965) 博尼费
Bonita Springs (26.33981, -81.7787) 博尼塔斯普林斯
Bowling Green (36.99032, -86.4436) 保龄绿
Boyette (27.81753, -82.22259) 博耶特
Boynton Beach (26.52535, -80.06643) 博因顿海滩
Bradenton (27.49893, -82.57482) 布雷登顿
Bradenton Beach (27.46761, -82.6983) 布雷登顿海滩
Bradley Junction (27.79531, -81.98036) 布拉德利交汇处
Branford (41.27954, -72.8151) 布兰福德
Briny Breezes (26.50841, -80.05087) 布里尼微风
Broadview Park (26.09953, -80.20866) 布罗德维尤公园
Bronson (41.87227, -85.1947) 布朗森
Brookridge (28.5511, -82.49204) 布鲁克里奇
Brooksville (28.55554, -82.38991) 布鲁克斯维尔
Broward Estates (26.12564, -80.19338) 布劳沃德庄园
Buckhead Ridge (27.13033, -80.89367) 巴克黑德岭
Buenaventura Lakes (28.33584, -81.35313) 布埃纳文图拉湖
Bunche Park (25.92065, -80.23699) 邦奇公园
Bunnell (29.46609, -81.25784) 邦内尔
Burnt Store Marina (26.76507, -82.05092) 烧店码头
Bushnell (28.66499, -82.11286) 布什内尔
Butler Beach (29.7983, -81.26701) 巴特勒海滩
Callahan (30.56218, -81.83066) 卡拉汉
Callaway (30.15298, -85.56993) 卡拉韦
Cantonment (30.60853, -87.33998) 坎顿门
Cape Canaveral (28.40584, -80.60477) 卡纳维拉尔角
Cape Coral (26.56285, -81.94953) 开普科勒尔
Captiva (26.52202, -82.18926) 卡普蒂瓦
Carol City (25.94065, -80.2456) 卡罗尔城
Carrabelle (29.85326, -84.66435) 卡拉贝尔
Carrollwood (28.05002, -82.49287) 卡罗尔伍德
Carrollwood Village (28.06752, -82.52093) 卡罗尔伍德村
Carver Ranches (25.98842, -80.19227) 卡弗牧场
Casselberry (28.67778, -81.32785) 卡塞尔贝里
Cedar Key (29.13858, -83.03512) 雪松礁
Celebration (28.32529, -81.53313) 庆典
Center Hill (28.64999, -81.99258) 中心山
Century (30.97324, -87.26386) 世纪
Charlotte Harbor (26.95839, -82.06703) 夏洛特港
Charlotte Park (26.91006, -82.05398) 夏洛特公园
Chattahoochee (30.70546, -84.84574) 查塔胡奇
