Drakesboro (37.21754, -87.04888) 德雷克斯伯勒
Dry Ridge (39.25922, -84.61911) 干岭
Earlington (37.27421, -87.51194) 厄灵顿
East Bernstadt (37.18953, -84.11771) 东伯恩施塔特
Eddyville (37.0945, -88.0803) 埃迪维尔
Elk Creek (38.10034, -85.37107) 麋鹿溪
Elkfork (37.96481, -83.13295) 麋鹿叉
Elkhorn City (37.304, -82.35098) 麋鹿角城
Elkton (39.60678, -75.83327) 埃尔克顿
Eminence (38.37007, -85.18051) 埃米宁斯
Erlanger (39.01673, -84.60078) 埃尔兰格
Evarts (36.86592, -83.19045) 埃瓦茨
Fairdale (38.10507, -85.75885) 费尔代尔
Ferguson (38.74422, -90.30539) 弗格森
Fern Creek (38.15979, -85.58774) 蕨溪
Fincastle (36.4098, -84.0477) 芬卡斯尔
Flat Lick (36.82898, -83.7702) 平舐
Flatwoods (38.52258, -82.71711) 平原
FlemingNeon (37.19232, -82.70571) 弗莱明霓虹
Flemingsburg (38.4223, -83.73381) 弗莱明斯堡
Fordsville (37.63616, -86.71749) 福兹维尔
Fort Mitchell (39.0595, -84.54744) 米切尔堡
Fort Thomas (39.07506, -84.44716) 托马斯堡
Fort Wright (39.05173, -84.53411) 赖特堡
Francisville (39.10506, -84.72439) 弗朗西斯维尔
Frenchburg (37.95092, -83.62575) 法兰西斯堡
Fulton (38.84671, -91.94796) 富尔顿
Garrison (39.40594, -76.76053) 加里森
GraymoorDevondale (38.27313, -85.62302) 格雷穆尔德文代尔
Green Spring (38.31618, -85.61385) 绿泉
Guthrie (35.87894, -97.42532) 格思里
Hanson (42.0751, -70.88004) 汉森
Hardinsburg (37.78006, -86.46053) 哈丁斯堡
Harlan (41.65304, -95.32555) 哈伦
Hawesville (37.90006, -86.75499) 霍斯维尔
Hazard (37.24954, -83.19323) 哈泽德
Hebron Estates (38.04951, -85.66607) 希伯伦庄园
Hendron (37.0395, -88.62922) 亨德伦
Hickman (36.57117, -89.18618) 希克曼
Highland Heights (41.552, -81.47845) 高地高地
Highview (38.14285, -85.62413) 高景
Hillview (38.06979, -85.68551) 山景
Hindman (37.33593, -82.98044) 海德曼
Hodgenville (37.57395, -85.73996) 霍奇恩维尔
Hollow Creek (38.15257, -85.6244) 空心溪
Hollyvilla (38.09368, -85.74552) 霍利维拉
Hopkinsville (36.86561, -87.49117) 霍普金斯维尔
Horse Cave (37.1795, -85.90692) 马洞
Houston Acres (38.21424, -85.61385) 休斯顿庄园
Hurstbourne Acres (38.22118, -85.58913) 赫斯特伯恩庄园
Hurstbourne (38.23813, -85.58829) 赫斯特伯恩
Hyden (37.16093, -83.37324) 海登
Indian Hills (39.08602, -119.78407) 印第安山
Inez (28.90388, -96.78804) 伊内斯
Ironville (38.45647, -82.69238) 铁城
Jeffersontown (38.19424, -85.5644) 杰斐逊镇
Jenkins (37.17344, -82.63099) 詹金斯
Kevil (37.08505, -88.88673) 凯维尔
Knottsville (37.77172, -86.90416) 诺茨维尔
La Center (45.86234, -122.67038) 拉中心
La Grange (41.80503, -87.86923) 拉格兰奇
Kuttawa (37.05894, -88.13253) 库塔瓦
Lakeside Park (39.03562, -84.56911) 湖滨公园
Langdon Place (38.28756, -85.58315) 朗登广场
Lebanon Junction (37.83451, -85.7319) 黎巴嫩交汇处
Ledbetter (37.04756, -88.47699) 莱德贝特
Leitchfield (37.48005, -86.29386) 莱奇菲尔德
Lewisburg (35.44924, -86.78889) 刘易斯堡
Lewisport (37.937, -86.90221) 刘易斯波特
LexingtonFayette (38.0498, -84.45855) 列克星敦费耶特
Livermore (37.68187, -121.76801) 利弗莫尔
Louisa (38.11425, -82.60321) 路易莎
Loyall (36.85203, -83.35407) 洛亚尔
Lynch (36.9662, -82.92238) 林奇
Lynnview (38.1784, -85.70968) 林景
Madisonville (37.3281, -87.49889) 麦迪逊维尔
Masonville (37.67505, -87.03472) 梅森维尔
Massac (37.029, -88.686) 马萨克
McKee (37.43036, -83.99798) 麦基
McRoberts (37.2076, -82.67182) 麦克罗伯茨
Meadow Vale (38.28313, -85.57191) 草地谷
Meads (38.41258, -82.70905) 米兹
Middlesboro (36.60842, -83.71658) 米德尔斯伯勒
Millersburg (40.55451, -81.91792) 米勒斯堡
Heritage Creek (38.12368, -85.71968) 传统溪
Morganfield (37.68338, -87.91669) 摩根菲尔德
Mortons Gap (37.23671, -87.47528) 莫顿斯峡
Mount Olivet (38.53146, -84.03687) 奥利弗山
Mount Washington (38.05006, -85.54579) 华盛顿山
Muldraugh (37.93702, -85.99163) 马尔德劳
Munfordville (37.27228, -85.89108) 蒙福德维尔
Murray Hill (38.29035, -85.58829) 默里山
New Haven (41.30815, -72.92816) 新港
Newburg (38.16007, -85.65968) 纽堡
Nicholasville (37.88063, -84.573) 尼古拉斯维尔
North Corbin (36.96064, -84.09326) 北科尔宾
North Middletown (40.43955, -74.11903) 北米德尔敦
Oakbrook (38.99978, -84.68522) 橡树溪
Okolona (38.14118, -85.68774) 奥科洛纳
Old Washington (38.61591, -83.80853) 老华盛顿
