Chyst' (54.2698, 27.1067) - 清斯特
Lyeskawka (54.0024, 27.7108) - 列斯考卡
Lyasny (54.0072, 27.6963) - 列斯尼
Bal'shavik (54.0036, 27.5669) - 巴尔沙维克
Usiazh (54.07598, 28.00698) - 乌西亚日
Nikolaevka2 (53.95295, 30.38278) - 尼古拉耶夫卡2
Oktjabr'skij (54.04059, 28.19813) - 十月斯基
Michanovichi (53.73937, 27.69276) - 米哈诺维奇
Poselok Voskhod (53.7766, 30.3497) - 沃斯霍德村
Korobchicy (53.61198, 23.74841) - 科罗布奇齐
Rahozna (52.15732, 24.08434) - 拉霍兹纳
Xaibe (18.38654, -88.43393) - 夏伊贝
Shipyard (17.89382, -88.65452) - 造船厂
Sarteneja (18.35334, -88.14541) - 萨尔特内哈
Santa Familia (17.18594, -89.07435) - 圣塔法米利亚
San Narciso (15.0143, 120.0803) - 圣纳尔西索
San Felipe (10.33991, -68.74247) - 圣费利佩
Punta Gorda (26.92978, -82.04537) - 蓬塔戈尔达
Progresso (44.56892, 11.3642) - 普罗格雷索
Placencia (16.51419, -88.36647) - 普拉森西亚
Orange Walk (18.08124, -88.56328) - 橙色步道
Little Belize (18.198, -88.40792) - 小伯利兹
Ladyville (17.55427, -88.29) - 莱迪维尔
Dangriga (16.9697, -88.23313) - 丹格里加
Corozal (9.31847, -75.2933) - 科罗萨尔
Caye Caulker (17.73659, -88.02761) - 凯考克岛
Carmelita (18.01306, -88.5429) - 卡梅利塔
Belmopan (17.25, -88.76667) - 贝尔莫潘
Belize City (17.49952, -88.19756) - 伯利兹城
Valley of Peace (17.33472, -88.83472) - 和平谷
Blackman Eddy (17.2167, -88.9167) - 布莱克曼埃迪
Armenia (4.53389, -75.68111) - 亚美尼亚
100 Mile House (51.64982, -121.28594) - 百英里屋
Acton Vale (45.65007, -72.56582) - 阿克顿谷
Adstock (46.05007, -71.08235) - 阿德斯托克
Agassiz (49.23298, -121.76926) - 阿加西
Agincourt North (43.80418, -79.27528) - 阿金库尔北
AhuntsicCartierville (45.56667, -73.66667) - 阿亨西克卡蒂尔维尔
Airdrie (55.86602, -3.98025) - 艾尔德里
Ajax (43.85012, -79.03288) - 阿贾克斯
Aklavik (68.21913, -135.01071) - 阿克拉维克
Albanel (48.88324, -72.44867) - 阿尔巴内尔
Alderwood (43.60348, -79.54604) - 阿尔德伍德
Aldouane (46.63343, -65.06544) - 阿尔杜安
Alliston (44.15011, -79.86635) - 阿利斯顿
Alma (48.55009, -71.6491) - 阿尔玛
Amherst (42.97839, -78.79976) - 阿默斯特
Amherstburg (42.10009, -83.09985) - 阿默斯特堡
Amigo Beach (44.6919, -79.39317) - 阿米戈海滩
Amos (48.56688, -78.11624) - 阿莫斯
AngeGardien (45.35008, -72.93244) - 安热加尔迪安
Angus (44.31681, -79.88295) - 安格斯
Anmore (49.31637, -122.85263) - 安莫尔
Anten Mills (44.4815, -79.81722) - 安滕磨坊
Antigonish (45.61685, -61.99858) - 安蒂戈尼什
Arbutus Ridge (49.24966, -123.16934) - 阿布图斯岭
Arctic Bay (73.03752, -85.15057) - 北极湾
Arnprior (45.43341, -76.34939) - 阿恩普赖尔
Arviat (61.10883, -94.05848) - 阿尔维亚特
Valdes-Sources (45.76678, -71.9324) - 瓦尔德斯-索尔斯
Assiniboia (49.63336, -105.98446) - 阿西尼博亚
Athabasca (54.71687, -113.28537) - 阿萨巴斯卡
Athens (37.98376, 23.72784) - 雅典
Atikokan (48.75667, -91.62409) - 阿蒂科坎
Attawapiskat (52.92774, -82.41669) - 阿塔瓦皮斯卡特
Aylmer (45.4002, -75.80644) - 艾尔默
Azilda (46.55008, -81.09975) - 阿齐尔达
BaieComeau (49.21679, -68.14894) - 贝科莫
BaieD'Urfe (45.41397, -73.91586) - 贝杜尔费
Ballantrae (44.03342, -79.2996) - 巴兰特雷
Balls Creek (46.15, -60.31118) - 鲍尔斯溪
Bancroft (45.05752, -77.85702) - 班克罗夫特
Banff (51.17622, -115.56982) - 班夫
Barraute (48.43349, -77.63279) - 巴罗特
Barrhead (55.79916, -4.39285) - 巴尔黑德
Barrie (44.40011, -79.66634) - 巴里
Barriere (51.18308, -120.1192) - 巴里尔
Bassano (50.78998, -112.46805) - 巴萨诺
Bath (51.3751, -2.36172) - 巴斯
Bay Roberts (47.59989, -53.26478) - 贝罗伯茨
Bay St. George South (48.22781, -58.84162) - 南圣乔治湾
Bayview Village (43.77639, -79.38028) - 湾景村
Beauharnois (45.31341, -73.8725) - 博哈诺伊斯
Beausejour (50.0622, -96.51669) - 博瑟茹尔
Beaverlodge (55.21664, -119.43605) - 海狸旅馆
Becancour (46.34106, -72.43224) - 贝坎库尔
Belfast (54.59682, -5.92541) - 贝尔法斯特
Belleville (44.16682, -77.38277) - 贝尔维尔
Bells Corners (45.31588, -75.83012) - 贝尔斯角
Bendale (43.76681, -79.25326) - 本代尔
Berthierville (46.08336, -73.18245) - 贝尔蒂耶维尔
Biggar (55.62297, -3.52455) - 比格
Binbrook (43.12135, -79.81104) - 宾布鲁克
Black Diamond (47.30871, -122.00317) - 黑钻石
Blackfalds (52.38342, -113.7853) - 布莱克法尔兹
Blackstock (44.10012, -78.81626) - 布莱克斯托克
Blainville (45.66678, -73.88249) - 布莱恩维尔
Blaketown (-42.4538, 171.19562) - 布莱克镇
Bloomfield (40.80677, -74.18542) - 布卢姆菲尔德
Boisbriand (45.61678, -73.83249) - 博伊斯布里安德
