Boisdes-Filion (45.66678, -73.74918) - 博伊斯德菲利翁
Boissevain (49.23062, -100.05586) - 博伊斯维恩
Bon Accord (53.83345, -113.41872) - 邦阿科德
Bonavista (48.64989, -53.11474) - 博纳维斯塔
Bonnyville (54.26684, -110.73505) - 博尼维尔
Bothwell (55.80272, -4.06835) - 博思韦尔
Botwood (49.14994, -55.34819) - 博特伍德
Boucherville (45.59104, -73.43605) - 布谢维尔
Bouctouche (46.46844, -64.73905) - 布克图什
Bourget (45.43475, -75.16028) - 布尔热
Boutiliers Point (44.66569, -63.95055) - 布蒂利尔斯角
Bowen Island (49.3847, -123.33622) - 鲍文岛
Bow Island (49.86676, -111.36843) - 鲍岛
Bracebridge (45.03341, -79.31633) - 布雷斯布里奇
Brampton (43.68341, -79.76633) - 布兰普顿
Brant (43.1334, -80.34967) - 布兰特
Brantford (43.1334, -80.26636) - 布兰特福德
Brockville (44.59132, -75.68705) - 布罗克维尔
Bromont (45.31678, -72.64912) - 布罗蒙
Brooks (50.58341, -111.88509) - 布鲁克斯
Brossard (45.45008, -73.46583) - 布罗萨尔
BrownsburgChatham (45.68342, -74.4159) - 布朗斯堡查塔姆
Burford (43.10292, -80.42869) - 伯福德
Burgeo (47.61668, -57.61516) - 伯吉奥
Burlington (43.38621, -79.83713) - 伯灵顿
Burnaby (49.26636, -122.95263) - 本拿比
Burns Lake (54.22972, -125.76084) - 伯恩斯湖
Cache Bay (46.36679, -79.98297) - 卡什湾
Cache Creek (50.81011, -121.3246) - 卡什克里克
Caesarea (32.51888, 34.90459) - 凯撒利亚
Caledon (43.86544, -79.99322) - 卡利登
Calgary (51.05011, -114.08529) - 卡尔加里
Calmar (53.26683, -113.81874) - 卡尔马
Calumet (40.2109, -79.48532) - 卡鲁梅特
Cambridge Bay (69.11489, -105.05484) - 剑桥湾
Camlachie (43.03596, -82.1616) - 卡姆拉奇
Campbell River (50.01634, -125.24459) - 坎贝尔河
Camperville (51.98832, -100.14365) - 坎珀维尔
Camrose (53.01684, -112.83525) - 卡姆罗斯
Candiac (45.38338, -73.51587) - 坎迪亚克
Canmore (51.08335, -115.35206) - 坎莫尔
Canora (51.63328, -102.43425) - 卡诺拉
Cantley (45.5668, -75.78265) - 坎特利
CapChat (49.09736, -66.68514) - 卡普沙特
Cape Dorset (64.23378, -76.54372) - 多塞特角
Capreol (46.70626, -80.92109) - 卡普里奥尔
Carberry (49.86893, -99.36021) - 卡贝里
Carbonear (47.73919, -53.2272) - 卡博纳尔
Cardston (49.19998, -113.3019) - 卡德斯顿
Carignan (45.45008, -73.29916) - 卡里尼昂
Carleton Place (45.13341, -76.14938) - 卡尔顿普莱斯
Carlyle (38.61033, -89.37258) - 卡莱尔
Carman (49.4992, -98.00156) - 卡曼
Carnduff (49.17379, -101.79633) - 卡恩达夫
Caronport (50.45006, -105.81787) - 卡隆波特
Carrot River (53.28337, -103.58423) - 胡萝卜河
Carstairs (51.56681, -114.102) - 卡斯泰尔斯
Casselman (45.3168, -75.0826) - 卡塞尔曼
Cassidy (49.04963, -123.886) - 卡西迪
Castlegar (49.32317, -117.65831) - 卡斯尔加
Cedar (49.11633, -123.8527) - 雪松
Chambly (45.45008, -73.28246) - 尚布利
Chambord (48.43339, -72.06583) - 尚博尔
Chapais (49.78344, -74.84919) - 沙佩
Charlemagne (45.71678, -73.48247) - 查理曼
Charlottetown (46.23459, -63.1256) - 夏洛特敦
Chase (50.8165, -119.68571) - 切斯
Chateauguay (45.38338, -73.74919) - 沙托盖
Chatham (51.37891, 0.52786) - 查塔姆
Chemainus (48.91633, -123.71937) - 车美纳斯
Chertsey (51.38812, -0.50782) - 切特西
Chester (53.1905, -2.89189) - 切斯特
Chestermere (51.03341, -113.81867) - 切斯特米尔
Chetwynd (55.69988, -121.63627) - 切特温德
Chibougamau (49.91684, -74.36586) - 希布加莫
Chilliwack (49.16638, -121.95257) - 奇利瓦克
Chuteaux-Outardes (49.11679, -68.39896) - 舒托奥塔德
ClarenceRockland (45.5501, -75.29101) - 克拉伦斯罗克兰
Claresholm (50.03332, -113.58524) - 克莱尔斯霍姆
Cliffcrest (43.72192, -79.23091) - 克利夫克雷斯特
Clyde River (70.47233, -68.58987) - 克莱德河
Coaldale (49.7167, -112.61854) - 科尔代尔
Coalhurst (49.7464, -112.93246) - 科尔赫斯特
Coaticook (45.13339, -71.79907) - 科阿蒂库克
Cobourg (43.95977, -78.16515) - 科堡
Cochrane (51.18341, -114.46871) - 科克伦
Cold Lake (54.46525, -110.18154) - 寒湖
Colwood (48.43293, -123.48591) - 科尔伍德
Conception Bay South (47.49989, -52.99806) - 康塞普申湾南
Constance Bay (45.50011, -76.08267) - 康斯坦斯湾
Contrecoeur (45.85008, -73.23245) - 康特雷科尔
Cookshire (45.41536, -71.62962) - 库克郡
CookshireEaton (45.41675, -71.6324) - 库克郡伊顿
Cookstown (54.64305, -6.74595) - 库克斯敦
Coquitlam (49.2846, -122.78217) - 高贵林
Corner Brook (48.95001, -57.95202) - 科纳布鲁克
Cornwall (45.01809, -74.72815) - 康沃尔
Corunna (42.88338, -82.43313) - 科鲁纳
Coteaudu-Lac (45.30008, -74.18253) - 科托杜拉克
CoteSaint-Luc (45.46536, -73.66585) - 科特圣卢克
