Williamsdale (39.44117, -84.52995) 威廉斯代尔
Withamsville (39.06228, -84.28827) 威瑟姆斯维尔
Woodsfield (39.76257, -81.11538) 伍兹菲尔德
Xenia (39.68478, -83.92965) 泽尼亚
Yellow Springs (39.80645, -83.88687) 黄泉镇
Zanesville (39.94035, -82.01319) 泽恩斯维尔
Achille (33.83343, -96.38721) 阿基尔
Adair (36.43676, -95.27136) 阿代尔
Afton (44.90275, -92.78354) 阿夫顿
Anadarko (35.07256, -98.24366) 阿纳达科
Antlers (34.23121, -95.62025) 安特勒斯
Apache (34.89368, -98.36589) 阿帕奇
Arapaho (35.57783, -98.96453) 阿拉帕霍
Ardmore (34.17426, -97.14363) 阿德莫尔
Arkoma (35.35454, -94.4341) 阿科马
Arnett (36.13504, -99.77484) 阿内特
Atoka (35.44119, -89.77814) 阿托卡
Barnsdall (36.56202, -96.16167) 巴恩斯代尔
Bartlesville (36.74731, -95.98082) 巴特尔斯维尔
Beggs (35.7426, -96.07027) 贝格斯
Bethel Acres (35.30868, -97.02558) 伯特尔艾克斯
Binger (35.30895, -98.342) 宾格
Bixby (35.94204, -95.88332) 比克斯比
Blair (41.54444, -96.12502) 布莱尔
Bokchito (34.01732, -96.14276) 博克奇托
Boley (35.49341, -96.48362) 博利
Boswell (40.16147, -79.02892) 博斯韦尔
Bristow (38.72289, -77.5361) 布里斯托
Broken Arrow (36.0526, -95.79082) 布罗肯阿罗
Broken Bow (34.02928, -94.7391) 布罗肯博
Brushy (35.55704, -94.7255) 布拉什
Burns Flat (35.34894, -99.17036) 伯恩斯弗拉特
Bushyhead (36.46148, -95.49414) 布希黑德
Byng (34.8612, -96.66557) 宾格
Cache (34.62952, -98.62867) 卡什
Caddo (34.12676, -96.26332) 卡多
Canute (35.42199, -99.27953) 卡努特
Cashion (35.7981, -97.67866) 卡申
Catoosa (36.18899, -95.74582) 卡图萨
Central High (34.62313, -98.08976) 中央高地
Checotah (35.4701, -95.52304) 切科塔
Cherry Tree (35.74148, -94.64328) 樱桃树
Cheyenne (41.13998, -104.82025) 夏延
Chickasha (35.05257, -97.93643) 奇卡沙
Chouteau (36.18593, -95.34302) 肖托
Claremore (36.3126, -95.61609) 克莱尔莫尔
Cleora (36.57897, -94.97107) 克莱奥拉
Colcord (36.26425, -94.693) 科尔科德
Comanche (31.89737, -98.60366) 科曼奇
Copeland (36.65591, -94.82829) 科普兰
Copan (36.89758, -95.92609) 科潘
Cordell (35.29061, -98.98841) 科德尔
Corn (35.37811, -98.78202) 科恩
Coweta (35.95177, -95.65081) 科维塔
Cushing (35.98506, -96.76697) 卡欣
Cyril (34.89646, -98.2006) 西里尔
Davis (38.54491, -121.74052) 戴维斯
Del City (35.44201, -97.44087) 德尔城
Dewar (35.45816, -95.94139) 迪瓦尔
Dewey (36.79592, -95.93554) 迪尤伊
Dibble (35.0334, -97.62976) 迪布尔
Dill City (35.27672, -99.13508) 迪尔城
Drumright (35.9884, -96.60113) 德拉姆赖特
Eagletown (34.03428, -94.57493) 伊格尔镇
Earlsboro (35.26757, -96.80335) 厄尔斯伯勒
Edmond (35.65283, -97.4781) 埃德蒙
El Reno (35.53227, -97.95505) 埃尔雷诺
Elk City (35.41199, -99.40426) 埃尔克城
Elmore City (34.62286, -97.39641) 埃尔莫尔城
Empire City (34.42036, -98.02698) 帝国城
Enid (36.39559, -97.87839) 伊尼德
Erick (35.21533, -99.86649) 埃里克
Flint Creek (36.17731, -94.74078) 弗林特溪
Fort Cobb (35.09784, -98.43561) 科布堡
Fort Gibson (35.7976, -95.25052) 吉布森堡
Garber (36.43698, -97.58561) 加伯
Geary (35.63116, -98.31729) 吉里
Geronimo (34.48119, -98.38311) 杰罗尼莫
Glenpool (35.95537, -96.00888) 格伦普尔
Goldsby (35.14118, -97.47698) 戈尔兹比
Grandfield (34.22842, -98.68451) 格兰菲尔德
Granite (34.96228, -99.38064) 格兰尼特
Haileyville (34.85454, -95.5822) 海利维尔
Hall Park (35.23701, -97.40642) 霍尔公园
Hammon (35.63283, -99.38177) 哈蒙
Harrah (35.48951, -97.16364) 哈拉
Hartshorne (34.8451, -95.55748) 哈特肖恩
Healdton (34.23315, -97.4878) 希尔顿
Heavener (34.88927, -94.60078) 希维纳
Hennessey (36.1092, -97.89867) 亨尼西
Henryetta (35.43983, -95.98194) 亨利埃塔
Holdenville (35.08036, -96.39918) 霍尔登维尔
Hollis (40.71344, -73.76708) 霍利斯
Hominy (36.41424, -96.3953) 霍米尼
Howe (33.50872, -96.61221) 豪
Hugo (45.15997, -92.99327) 休戈
Hulbert (35.9326, -95.14135) 哈尔伯特
Hydro (35.5495, -98.57813) 海德罗
Idabel (33.89566, -94.82633) 艾达贝尔
Inola (36.15121, -95.50942) 伊诺拉
