Kugluktuk (67.82743, -115.09649) 库格卢克图克
Kuujjuarapik (55.2759, -77.76243) 库朱阿拉皮克
Labelle (46.28339, -74.73255) 拉贝勒
Labrador City (52.94626, -66.91137) 拉布拉多市
Labrieville (49.30009, -69.56294) 拉布里维尔
La Broquerie (49.51688, -96.50029) 拉布罗克里
LacAlouette (45.81698, -73.9592) 阿卢埃特湖
LacBrome (45.21678, -72.51581) 布罗姆湖
LacConnelly (45.89788, -73.9723) 康奈利湖
Lac du Bonnet (50.2536, -96.06116) 博内湖
Lachute (45.65008, -74.33253) 拉舒特
Lac La Biche (54.7669, -111.96861) 拉比什湖
LacLapierre (45.89837, -73.77308) 拉皮埃尔湖
LacMegantic (45.58338, -70.88234) 梅甘蒂克湖
Lacolle (45.08338, -73.36585) 拉科勒
Lacombe (52.46681, -113.7353) 拉科姆
La Conception (43.29174, 5.39391) 拉康塞普西翁
LacSimon (46.15699, -74.74129) 西蒙湖
Ladysmith (-28.55874, 29.77896) 莱迪史密斯
La Guadeloupe (45.96108, -70.93975) 瓜德罗普
Lake Cowichan (48.82495, -124.05461) 科维昌湖
Lake Echo (44.73345, -63.38198) 回声湖
Lakefield (44.43342, -78.26623) 莱克菲尔德
Lambton Shores (43.16678, -81.93309) 兰布顿海岸
La Minerve (46.25009, -74.93257) 拉米内尔夫
Lamont (35.25968, -118.91427) 拉蒙特
Landmark (34.6112, -92.3196) 兰德马克
Langenburg (49.25401, 9.85673) 朗根堡
Langham (52.35892, -106.96167) 朗厄姆
Langley (49.10107, -122.65883) 兰里
Lanigan (51.85006, -105.03443) 拉尼根
Lanoraie (45.96677, -73.21585) 拉诺雷
Lantz (44.98345, -63.48199) 兰茨
Lappe (48.5668, -89.35013) 拉佩
La Prairie (45.41678, -73.49917) 拉普雷里
La Ronge (55.10013, -105.28422) 拉朗日
LaSalle (42.24481, -83.06095) 拉萨尔
La Sarre (48.80019, -79.19964) 拉萨尔
LaScie (49.94995, -55.59811) 拉西
L'Assomption (45.82318, -73.4294) 拉松普西翁
La Tuque (47.43337, -72.7824) 拉图克
Laurentides (47.13336, -72.28239) 洛朗蒂德
Laval (45.56995, -73.692) 拉瓦尔
Lavaltrie (45.88338, -73.28245) 拉瓦尔特里
Leamington (42.05009, -82.59981) 利明顿
Lebelsur-Quevillon (49.05018, -76.98273) 勒贝尔-凯维永
Leblanc (48.26683, -74.34914) 勒布朗
Leduc (53.26682, -113.55201) 勒杜克
L'Epiphanie (45.85008, -73.48246) 莱皮法尼
Les Cedres (45.31009, -74.05926) 莱塞德尔
Les Coteaux (45.28338, -74.23254) 莱科托
Lewisporte (49.24343, -55.06196) 刘易斯港
L'IlePerrot (45.38338, -73.9492) 佩罗岛
Limoges (45.83362, 1.24759) 利摩日
Lindsay (44.35012, -78.73286) 林赛
Liniere (46.00007, -70.41572) 利尼耶尔
Linwood (55.84834, -4.49337) 林伍德
Lions Bay (49.45218, -123.2376) 狮湾
Listowel (43.7334, -80.94973) 利斯托尔
Little Current (45.97927, -81.9248) 小电流
Lively (46.43338, -81.14975) 莱夫利
Lloydminster (53.27237, -110.02256) 劳埃德明斯特
Logan Lake (50.49225, -120.8149) 洛根湖
London (51.50853, -0.12574) 伦敦
Longueuil (45.5152, -73.46818) 隆格伊
Lorette (49.73919, -96.87232) 洛雷特
Lorraine (45.68338, -73.78249) 洛林
Lotbiniere (46.61675, -71.93239) 洛特比尼耶尔
Louiseville (46.25594, -72.94145) 路易斯维尔
Lucan (53.35736, -6.44859) 卢坎
Lumby (50.24979, -118.96904) 伦比
Lumsden (50.65009, -104.86783) 伦斯登
Lunenburg (44.37847, -64.31658) 卢嫩堡
Lutes Mountain (46.13544, -64.90504) 卢茨山
Macamic (48.75018, -78.99962) 马卡米克
Macklin (52.33344, -109.93484) 马克林
Madoc (44.50842, -77.47448) 马多克
Magog (45.26678, -72.14909) 马戈格
Magrath (49.41668, -112.86856) 马格拉斯
Malartic (48.13633, -78.12533) 马拉蒂克
Mandeville (18.04168, -77.50714) 曼德维尔
Manitouwadge (49.12152, -85.8403) 马尼图瓦奇
Maniwaki (46.38341, -75.96605) 马尼瓦基
Mannville (53.33345, -111.1684) 曼维尔
Maple Creek (49.90628, -109.48094) 枫溪
Maple Ridge (49.21939, -122.60193) 枫岭
Marieville (45.43338, -73.16585) 玛丽维尔
Markdale (44.3168, -80.64971) 马克代尔
Markham (43.86682, -79.2663) 万锦
Markland Wood (43.63347, -79.57569) 马克兰伍德
Martensville (52.28339, -106.66792) 马滕斯维尔
Marystown (47.16663, -55.14829) 玛丽镇
Mascouche (45.74965, -73.59956) 马斯库什
Maskinonge (46.2286, -73.01917) 马斯基农杰
Matagami (49.76326, -77.62735) 马塔加米
Mattawa (46.73791, -119.90282) 马塔瓦
Mayerthorpe (53.95015, -115.13547) 梅耶索普
Mayo (38.88761, -76.5119) 梅奥
Meadow Lake (54.13348, -108.43471) 草原湖
Meaford (44.60725, -80.61081) 米福德
