Sleepy Eye (44.29718, -94.72415) 睡眼
South Saint Paul (44.89274, -93.03494) 南圣保罗
Spicer (45.23302, -94.94001) 斯派瑟
Spring Lake Park (45.10774, -93.238) 春湖公园
Spring Park (44.93524, -93.63218) 春园
Stacy (45.39802, -92.98744) 斯泰西
Staples (46.35552, -94.79224) 斯台普斯
Starbuck (45.6144, -95.53115) 斯塔巴克
Stephen (48.44998, -96.87256) 斯蒂芬
Stewart (44.72468, -94.48582) 斯图尔特
Sunfish Lake (44.8708, -93.09855) 太阳鱼湖
Taconite (47.31272, -93.38215) 铁矿
Taylors Falls (45.40191, -92.65243) 泰勒斯瀑布
The Lakes (44.13829, -95.66529) 湖区
Thief River Falls (48.11914, -96.18115) 贼河瀑布
Tonka Bay (44.90857, -93.59301) 通卡湾
Tracy (37.73987, -121.42618) 特雷西
Trimont (43.76218, -94.7072) 特里蒙特
Truman (43.82773, -94.43719) 杜鲁门
Twin Valley (47.26024, -96.25895) 双谷
Two Harbors (47.02271, -91.67073) 双港
Ulen (47.07885, -96.25895) 尤伦
Vadnais Heights (45.05747, -93.07383) 瓦德奈高地
Verndale (46.3983, -95.01475) 弗恩代尔
Wabasha (44.38386, -92.03294) 瓦巴沙
Waconia (44.8508, -93.78691) 瓦科尼亚
Waite Park (45.55719, -94.22416) 韦特公园
Wanamingo (44.30441, -92.79047) 瓦纳明戈
Warroad (48.90527, -95.3144) 沃罗德
Waseca (44.07774, -93.50744) 瓦塞卡
Watkins (45.31524, -94.4086) 沃特金斯
Wayzata (44.97413, -93.50662) 韦泽塔
West Coon Rapids (45.15969, -93.34967) 西浣熊急流
West Saint Paul (44.91608, -93.10161) 西圣保罗
White Bear Lake (45.08469, -93.00994) 白熊湖
White Earth (47.09663, -95.84338) 白地
Willmar (45.12191, -95.04334) 威尔玛
Windom (43.86635, -95.11694) 温多姆
Zumbrota (44.29413, -92.66908) 祖姆布罗塔
Burlington Junction (40.44555, -95.06609) 伯灵顿交界
Grant City (40.58205, -74.10486) 格兰特市
Green City (40.26863, -92.95326) 绿色城市
Kahoka (40.42032, -91.71961) 卡霍卡
King City (36.21274, -121.12603) 国王城
Kirksville (40.19475, -92.58325) 柯克斯维尔
La Belle (40.11699, -91.91267) 拉贝尔
Rock Port (40.41111, -95.51693) 洛克港
Stanberry (40.21777, -94.53829) 斯坦贝里
Tarkio (40.44028, -95.37776) 塔基奥
Belcourt (48.83917, -99.74487) 贝尔考特
Cando (48.48667, -99.20986) 坎多
Casselton (46.90053, -97.2112) 卡塞尔顿
Cavalier (48.79388, -97.62231) 骑士
Cooperstown (42.70048, -74.92426) 库珀斯敦
Devils Lake (48.11278, -98.86512) 魔鬼湖
Edgeley (46.35914, -98.71566) 埃奇利
Enderlin (46.62303, -97.60149) 恩德林
Fargo (46.87719, -96.7898) 法戈
Fessenden (47.64917, -99.62929) 费森登
Forman (46.10774, -97.63649) 福尔曼
Fort Totten (47.98, -98.9929) 托滕堡
Gwinner (46.2258, -97.6626) 格温纳
Hankinson (46.06968, -96.90175) 汉金森
Harwood (46.97941, -96.88064) 哈伍德
Horace (46.75886, -96.9037) 霍勒斯
Kindred (46.64858, -97.01703) 金德雷德
LaMoure (46.35719, -98.29454) 拉穆尔
Langdon (48.76, -98.36817) 朗登
Larimore (47.90666, -97.62675) 拉里莫尔
Lidgerwood (46.07552, -97.15176) 利杰伍德
Milnor (46.25913, -97.4562) 米尔诺
Minnewaukan (48.07139, -99.25236) 明尼沃坎
New Rockford (47.68, -99.1379) 新罗克福德
Oakes (46.13858, -98.09038) 奥克斯
Park River (48.3986, -97.7412) 公园河
Pembina (48.96638, -97.24368) 彭比纳
Reiles Acres (46.92302, -96.86536) 雷尔斯农场
Rolette (48.66083, -99.84153) 罗莱特
Shell Valley (48.79806, -99.86486) 壳谷
Valley City (46.92331, -98.00315) 山谷城
Wahpeton (46.26524, -96.60591) 瓦佩顿
West Fargo (46.87497, -96.90036) 西法戈
Wishek (46.25692, -99.55706) 威谢克
Axtell (40.47835, -99.12676) 阿克斯特尔
Beatrice (40.26806, -96.74697) 比阿特丽斯
Beaver City (40.13751, -99.82956) 海狸城
Beemer (41.93, -96.8117) 比默
Bennet (40.68, -96.5064) 本内特
Butte (46.00382, -112.53474) 巴特
Cedar Bluffs (41.39695, -96.61142) 雪松崖
Ceresco (41.05722, -96.64474) 塞雷斯科
Cozad (40.85973, -99.98734) 科扎德
Creighton (42.46667, -97.90618) 克雷顿
David City (41.25279, -97.13004) 大卫城
Deshler (41.20755, -83.89911) 德斯勒
Dodge (41.72111, -96.88281) 道奇
Elkhorn (42.67279, -88.54454) 埃尔克霍恩
Elm Creek (28.77442, -100.49174) 榆树溪
Firth (40.5325, -96.60613) 弗斯
Fort Calhoun (41.45583, -96.0264) 卡尔霍恩堡
