Friend (40.65362, -97.28616) 朋友
Fullerton (33.87029, -117.92534) 富勒顿
Grand Island (40.92501, -98.34201) 大岛
Greeley (40.42331, -104.70913) 格里利
Hartington (42.6225, -97.2645) 哈丁顿
Holdrege (40.44029, -99.36982) 霍尔德里奇
Hooper (41.16383, -112.12244) 胡珀
Howells (41.72501, -97.00281) 豪厄尔斯
Juniata (40.59001, -98.50618) 朱尼亚塔
Kenesaw (40.62113, -98.65757) 肯尼索
La Vista (41.18389, -96.03113) 拉维斯塔
Loup City (41.27557, -98.96675) 卢普城
Macy (42.11305, -96.35642) 梅西
Mead (47.76739, -117.35494) 米德
Nebraska City (40.67667, -95.85917) 内布拉斯加城
Neligh (42.12862, -98.02979) 内利
Newman Grove (41.75001, -97.77533) 纽曼格罗夫
O'Neill (42.45778, -98.64759) 奥尼尔
Ord (41.60334, -98.9262) 奥德
Osmond (42.36, -97.59673) 奥斯蒙德
Papillion (41.15444, -96.04224) 帕皮利恩
Pawnee City (40.10833, -96.15445) 波尼城
Pender (42.11416, -96.70726) 彭德
Pierce (42.19917, -97.52672) 皮尔斯
Plattsmouth (41.01139, -95.88223) 普拉特茅斯
Ponca (42.5625, -96.70559) 庞卡
Ralston (41.20528, -96.04252) 拉尔斯顿
Red Cloud (40.0889, -98.5195) 红云
Sargent (41.64056, -99.37122) 萨金特
Schuyler (41.44723, -97.05948) 斯库勒
Scribner (41.66667, -96.66586) 斯克里布纳
Seward (40.90695, -97.09892) 苏厄德
South Sioux City (42.47388, -96.41364) 南苏城
Springview (42.82444, -99.74901) 斯普林维尤
Stromsburg (41.11418, -97.59894) 斯特罗姆斯堡
Superior (46.72077, -92.10408) 苏必利尔
Tekamah (41.77832, -96.22113) 特卡马
Verdigre (42.59695, -98.03368) 维尔迪格里
Wahoo (41.21139, -96.6203) 瓦胡
Walthill (42.14833, -96.48837) 沃尔希尔
Wausa (42.49945, -97.54201) 瓦萨
Weeping Water (40.87, -96.14057) 哭泣水
Wilber (40.48139, -96.96058) 威尔伯
Wymore (40.12222, -96.66252) 怀莫尔
Alstead (43.14897, -72.36064) 奥尔斯特德
Barnstead (43.33397, -71.29284) 巴恩斯特德
Boscawen (43.31508, -71.62091) 博斯科文
Bow Bog (43.12064, -71.51146) 弓沼
Center Harbor (43.7098, -71.46035) 中心港
Center Ossipee (43.75508, -71.15201) 中心奥西皮
Colebrook (44.89449, -71.49592) 科尔布鲁克
Contoocook (43.22202, -71.71397) 康图库克
Deering (43.07314, -71.84452) 迪林
Derry Village (42.89175, -71.31201) 德里村
East Concord (43.24202, -71.53813) 东康科德
East Kingston (42.92564, -71.01672) 东金斯敦
East Merrimack (42.86814, -71.4834) 东梅里马克
Francestown (42.98758, -71.81258) 弗朗西斯敦
Gilmanton (43.42425, -71.41452) 吉尔曼顿
Gilsum (43.04841, -72.26286) 吉尔瑟姆
Goffstown (43.02036, -71.60035) 戈夫斯敦
Hampton Beach (42.90731, -70.812) 汉普顿海滩
Hampton Falls (42.9162, -70.86366) 汉普顿瀑布
Henniker (43.1798, -71.8223) 亨尼克
Holderness (43.73202, -71.58841) 霍尔德尼斯
Hooksett (43.09675, -71.46507) 胡克塞特
Jaffrey (42.81397, -72.02314) 贾夫里
Laconia (43.52785, -71.47035) 拉科尼亚
Lempster (43.23841, -72.21064) 兰普斯特
Lyme (43.80951, -72.15592) 莱姆
Lyndeborough (42.90758, -71.76646) 林德伯勒
Madbury (43.16925, -70.92395) 马德伯里
Merrimack (42.86509, -71.4934) 梅里马克
Mont Vernon (42.89453, -71.67424) 蒙特弗农
Moultonborough (43.7548, -71.39674) 莫尔顿伯勒
New Durham (43.43675, -71.17229) 新达勒姆
New Ipswich (42.74814, -71.85424) 新伊普斯威奇
North Conway (44.05368, -71.1284) 北康威
North Haverhill (44.09034, -72.02648) 北哈弗希尔
North Hampton (42.97259, -70.82978) 北汉普顿
North Walpole (43.13897, -72.44814) 北沃尔波尔
North Woodstock (44.03034, -71.68591) 北伍德斯托克
Northumberland (43.1273, -73.58817) 北安伯兰
Piermont (41.04204, -73.91819) 皮尔蒙特
Pinardville (42.99425, -71.50729) 皮纳德维尔
Plaistow (42.83648, -71.09478) 普莱斯托
Rindge (42.7512, -72.0098) 林奇
Rollinsford (43.2362, -70.82034) 罗林斯福德
Rumney (43.80535, -71.81258) 拉姆尼
Sanbornton (43.48924, -71.5823) 桑伯顿
Sanbornville (43.55425, -71.0309) 桑伯恩维尔
Seabrook Beach (42.88676, -70.81561) 西布鲁克海滩
Somersworth (43.26175, -70.86534) 萨默斯沃斯
South Hampton (42.88092, -70.96256) 南汉普顿
South Hooksett (43.02647, -71.43534) 南胡克塞特
Stoddard (43.07869, -72.11453) 斯托达德
Stratham Station (43.05287, -70.89533) 斯特拉瑟姆站
Sunapee (43.38757, -72.08786) 苏纳皮
Suncook (43.13064, -71.45312) 桑库克
Swanzey (42.8698, -72.28175) 斯旺西
