Manorhaven (40.84316, -73.71485) 曼诺黑文
Manorville (40.87371, -72.80788) 曼诺维尔
Marbletown (41.88343, -74.1132) 马布尔镇
Margaretville (42.1487, -74.64821) 玛格丽特维尔
Mariaville Lake (42.8248, -74.12874) 玛丽亚维尔湖
Mariners Harbor (40.63677, -74.15875) 水手港
Maspeth (40.72316, -73.91264) 马斯佩斯
Massapequa (40.68066, -73.47429) 马萨佩夸
Massapequa Park (40.68038, -73.45512) 马萨佩夸公园
Massena (44.9281, -74.89186) 马塞纳
Mastic (40.80204, -72.84094) 马斯蒂克
Mastic Beach (40.76677, -72.85205) 马斯蒂克海滩
Matinecock (40.87621, -73.57651) 马蒂内科克
Mattituck (40.99121, -72.53425) 马蒂塔克
Mattydale (43.09784, -76.1452) 马蒂代尔
Maybrook (41.48398, -74.21765) 梅布鲁克
McGraw (42.59618, -76.09326) 麦格劳
McKownville (42.68397, -73.84762) 麦考恩维尔
Mechanicstown (41.44287, -74.38849) 机械师镇
Mechanicville (42.90285, -73.68734) 机械师村
Menands (42.69202, -73.72456) 梅南兹
Merrick (40.66288, -73.55152) 梅里克
Middle Village (40.71649, -73.88125) 中村
Middleburgh (42.59869, -74.33292) 米德尔堡
Midland Beach (40.57316, -74.09459) 米德兰海滩
Mill Neck (40.88704, -73.55512) 米尔内克
Miller Place (40.95982, -72.99621) 米勒广场
Millerton (41.9537, -73.51068) 米勒顿
Minetto (43.39812, -76.47744) 米内托
Mineville (44.09283, -73.51818) 矿山村
Minoa (43.07618, -76.00075) 米诺阿
Mohawk (43.01146, -75.00404) 莫霍克
Monsey (41.11121, -74.06848) 蒙西
Montauk (41.03594, -71.95451) 蒙托克
Montour Falls (42.3473, -76.84524) 蒙图尔瀑布
Moriches (40.80732, -72.82121) 莫里切斯
Morris Heights (40.84982, -73.91986) 莫里斯高地
Morris Park (40.85232, -73.85347) 莫里斯公园
Morrisania (40.82927, -73.90653) 莫里萨尼亚
Mott Haven (40.80899, -73.92291) 莫特港
Mount Ivy (41.18676, -74.03486) 艾维山
Mount Kisco (41.20426, -73.72708) 基斯科山
Mount Sinai (40.94704, -73.02955) 西奈山
Mountain Lodge Park (41.38843, -74.14181) 山地旅馆公园
Munsey Park (40.79871, -73.67985) 蒙西公园
Munsons Corners (42.58229, -76.2091) 蒙森斯角
Myers Corner (41.6062, -73.87291) 迈尔斯角
Muttontown (40.82399, -73.54763) 马顿镇
Nanuet (41.08871, -74.01347) 纳努埃特
Napanoch (41.74398, -74.37154) 纳帕诺克
Nedrow (42.97507, -76.14131) 内德罗
Nelliston (42.93479, -74.61348) 内利斯顿
Neponsit (40.57177, -73.86152) 内庞西特
Nesconset (40.85204, -73.154) 内斯康塞特
New Cassel (40.75899, -73.56957) 新卡塞尔
New Dorp (40.57399, -74.11598) 新多普
New Dorp Beach (40.56538, -74.10292) 新多普海滩
New Hyde Park (40.7351, -73.68791) 新海德公园
New Paltz (41.74759, -74.08681) 新帕尔茨
New Rochelle (40.91149, -73.78235) 新罗谢尔
New Springville (40.59344, -74.1632) 新斯普林维尔
New Square (41.13956, -74.02942) 新广场
New York City (40.71427, -74.00597) 纽约市
Newark Valley (42.22369, -76.18326) 纽瓦克谷
Newfane (43.28672, -78.71031) 纽芬
Niskayuna (42.7798, -73.84568) 尼斯卡尤纳
Nissequogue (40.90399, -73.19789) 尼塞夸格
North Amityville (40.6976, -73.42512) 北阿米蒂维尔
North Babylon (40.71649, -73.32179) 北巴比伦
North Bay Shore (40.753, -73.2602) 北湾岸
North Bellmore (40.69149, -73.53346) 北贝尔莫尔
North Bellport (40.77427, -72.94288) 北贝尔波特
North Boston (42.68562, -78.7767) 北波士顿
North Collins (42.59534, -78.94115) 北柯林斯
North Creek (47.81954, -122.17624) 北溪
North Elba (44.24338, -73.95431) 北埃尔巴
North Gates (43.17645, -77.70139) 北盖茨
North Great River (40.74732, -73.16984) 北大河
North Hornell (42.34618, -77.66138) 北霍内尔
North Lindenhurst (40.71427, -73.38151) 北林登赫斯特
North Lynbrook (40.667, -73.674) 北林布鲁克
North Massapequa (40.70093, -73.46207) 北马萨佩夸
North Merrick (40.69121, -73.56318) 北梅里克
North New Hyde Park (40.74316, -73.69319) 北新海德公园
North Patchogue (40.78704, -73.009) 北帕乔格
North Rose (43.18562, -76.89246) 北罗斯
North Sea (40.93288, -72.41425) 北海
North Syracuse (43.13479, -76.12992) 北锡拉丘兹
North Tonawanda (43.03867, -78.8642) 北托纳万达
North Valley Stream (40.6851, -73.7018) 北谷溪
North Wantagh (40.69343, -73.50763) 北旺塔
Northwest Harbor (41.00982, -72.22119) 西北港
Noyack (40.99566, -72.34119) 诺亚克
Nunda (42.57951, -77.9425) 南达
Nyack (41.09065, -73.91791) 尼亚克
Oceanside (33.19587, -117.37948) 海滨
Olcott (43.33783, -78.71476) 奥尔科特
Old Bethpage (40.7626, -73.45318) 老贝斯佩奇
Old Brookville (40.83204, -73.60485) 老布鲁克维尔
Old Field (40.95982, -73.12955) 老菲尔德
