Schuylerville (43.10008, -73.58178) 舒伊勒维尔
Scio (44.70484, -122.84926) 西奥
Scotchtown (41.48148, -74.36015) 苏格兰镇
Scotia (42.82647, -73.96429) 斯科舍
Scotts Corners (41.18926, -73.55068) 斯科茨角
Sea Cliff (40.84899, -73.64485) 海崖
Searingtown (40.77482, -73.65568) 西林镇
Selden (40.86649, -73.03566) 塞尔登
Seneca Falls (42.91062, -76.79662) 塞内卡瀑布
Seneca Knolls (43.12007, -76.28632) 塞内卡诺尔斯
Sharon Springs (38.89779, -101.75212) 沙伦温泉
Sheepshead Bay (40.59122, -73.94458) 绵羊湾
Shelter Island (41.06815, -72.33869) 庇护岛
Shenorock (41.33176, -73.73819) 谢诺罗克
Sherburne (42.67813, -75.49851) 谢尔本
Sherrill (43.07368, -75.59824) 谢里尔
Shinnecock Hills (40.89093, -72.4637) 希尼科克山
Shokan (41.97343, -74.21209) 肖坎
Shortsville (42.9559, -77.22081) 肖茨维尔
Shrub Oak (41.32759, -73.81958) 灌木橡树
Sinclairville (42.26395, -79.25866) 辛克莱尔维尔
Skaneateles (42.94701, -76.4291) 斯卡尼亚特勒斯
Sloatsburg (41.15454, -74.19292) 斯洛茨堡
Smallwood (41.66537, -74.81933) 斯莫伍德
Sodus (43.23784, -77.06136) 索杜斯
Sodus Point (43.27173, -76.98914) 索杜斯角
Solvay (43.05812, -76.20743) 索尔维
Sound Beach (40.95621, -72.96788) 声音海滩
South Corning (42.12174, -77.03719) 南科宁
South Dayton (42.36423, -79.05559) 南代顿
South Fallsburg (41.708, -74.632) 南福尔斯堡
South Farmingdale (40.72066, -73.44012) 南法明代尔
South Floral Park (40.71427, -73.70013) 南花园公园
South Glens Falls (43.29924, -73.63512) 南格伦斯瀑布
South Hempstead (40.68094, -73.61541) 南亨普斯特德
South Huntington (40.82371, -73.39873) 南亨廷顿
South Lockport (43.15006, -78.6967) 南洛克波特
South Nyack (41.08315, -73.92014) 南奈亚克
South Ozone Park (40.6701, -73.81902) 南奥宗公园
South Valley Stream (40.65594, -73.71763) 南谷溪
Southold (41.06482, -72.4262) 南霍尔德
Spackenkill (41.65593, -73.91347) 斯帕肯基尔
Sparkill (41.03121, -73.92708) 斯帕基尔
Sparrow Bush (41.40009, -74.72322) 麻雀丛
Spencerport (43.18645, -77.8039) 斯宾塞波特
Springfield Gardens (40.66312, -73.76221) 斯普林菲尔德花园
Springs (-26.25, 28.4) 斯普林斯
Spuyten Duyvil (40.88121, -73.91736) 斯普伊滕杜维尔
Saint Bonaventure (42.08034, -78.47502) 圣博纳旺蒂尔
Stannards (42.08646, -77.92222) 斯坦纳兹
Stapleton (40.62649, -74.07764) 斯台普顿
Star Lake (44.15978, -75.03158) 星湖
Staten Island (40.56233, -74.13986) 斯塔滕岛
Steinway (40.77455, -73.90375) 斯坦威
Stewart Manor (40.71927, -73.68846) 斯图尔特庄园
Stone Ridge (41.85315, -74.13903) 石岭
Stony Brook (40.92565, -73.14094) 石溪
Stottville (42.2862, -73.73873) 斯托特维尔
Strykersville (42.70506, -78.44835) 斯特赖克斯维尔
Suffern (41.11482, -74.14959) 萨弗恩
Sunset Bay (42.56311, -79.13337) 日落湾
Sylvan Beach (42.46479, -77.1083) 西尔万海滩
Syosset (40.82621, -73.50207) 赛奥西特
Tannersville (41.04009, -75.30574) 坦纳斯维尔
Tappan (41.02204, -73.94736) 塔潘
Tarrytown (41.07621, -73.85875) 塔里敦
Terrace Heights (40.72149, -73.7693) 露台高地
Theresa (43.51722, -88.45121) 特蕾莎
Thiells (41.21065, -74.01764) 西尔斯
Thornwood (41.12343, -73.77902) 桑伍德
Throgs Neck (40.8226, -73.81958) 斯罗格斯内克
Ticonderoga (43.84867, -73.42345) 泰康德罗加
Tillson (41.82898, -74.06848) 蒂尔森
Tonawanda (43.02033, -78.88031) 托纳万达
Town Line (42.89061, -78.5778) 镇界
Tribeca (40.71538, -74.00931) 特里贝卡
Tribes Hill (42.95535, -74.28513) 部落山
Trumansburg (42.54229, -76.66606) 特鲁曼斯堡
Tupper Lake (44.22395, -74.46406) 塔珀湖
Tuxedo Park (41.201, -74.21) 燕尾服公园
Uniondale (40.70038, -73.59291) 尤宁代尔
Unionport (40.82732, -73.85013) 尤宁港
University Gardens (40.77732, -73.72263) 大学花园
Upper Brookville (40.83871, -73.56513) 上布鲁克维尔
Upper Nyack (41.10704, -73.92014) 上奈亚克
Vails Gate (41.45426, -74.05764) 韦尔斯门
Valatie (42.41342, -73.67317) 瓦拉蒂
Valhalla (41.07482, -73.77513) 瓦尔哈拉
Valley Cottage (41.11815, -73.95542) 山谷小屋
Valley Stream (40.66427, -73.70846) 山谷溪
Van Etten (42.19869, -76.55244) 范埃滕
Van Nest (40.84843, -73.86375) 范内斯特
Verplanck (41.25287, -73.95986) 弗普兰克
Vestal (42.08507, -76.05381) 维斯塔尔
Victory Mills (43.08785, -73.594) 胜利磨坊
Village Green (43.1334, -76.31299) 乡村绿地
Volney (43.34285, -76.35771) 沃尔尼
Voorheesville (42.65397, -73.92874) 沃里斯维尔
Wading River (40.95038, -72.8426) 涉水河
Wainscott (40.93677, -72.24286) 韦恩斯科特
