Saxtons River (43.13786, -72.50981) 萨克斯顿斯河
South Barre (44.17701, -72.50566) 南巴雷
South Burlington (44.46699, -73.17096) 南伯灵顿
South Royalton (43.8209, -72.52121) 南罗亚尔顿
South Shaftsbury (42.94647, -73.21066) 南沙夫茨伯里
Starksboro (44.22728, -73.05734) 斯塔克斯伯勒
Townshend (43.0473, -72.66759) 汤森德
Vergennes (44.16728, -73.25401) 维珍尼斯
Websterville (44.16062, -72.46955) 韦伯斯特维尔
West Brattleboro (42.85592, -72.60315) 西布拉特尔伯勒
West Pawlet (43.35368, -73.25205) 西波利特
West Rutland (43.59312, -73.04511) 西拉特兰
White River Junction (43.64896, -72.31926) 白河交汇处
Winooski (44.49144, -73.18568) 维诺斯基
Adell (43.61916, -87.95204) 阿德尔
Allouez (44.47749, -88.01621) 阿卢埃
Almena (45.4169, -92.03296) 阿尔梅纳
Amery (45.30691, -92.36214) 阿梅里
Antigo (45.14025, -89.15234) 安提戈
Ashwaubenon (44.48221, -88.0701) 阿什沃本农
Aztalan (43.07278, -88.86233) 阿兹塔兰
Balsam Lake (45.45218, -92.45464) 香脂湖
Baraboo (43.47109, -89.74429) 巴拉布
Belgium (43.49972, -87.85037) 比利时
Bevent (44.77053, -89.38956) 贝文特
Big Bend (42.8814, -88.20676) 大弯
Birnamwood (44.9333, -89.20956) 伯纳姆伍德
Black Earth (43.13722, -89.74679) 黑土
Black River Falls (44.29468, -90.85153) 黑河瀑布
Blanchardville (42.81028, -89.86207) 布兰查德维尔
Bloomer (45.10024, -91.48877) 布卢默
Blue Mounds (43.01773, -89.8346) 蓝丘
Bluffview (43.3711, -89.77318) 布拉夫维尤
Bohners Lake (42.62307, -88.28037) 博纳斯湖
Bonduel (44.74027, -88.44482) 邦杜尔
Boscobel (43.13443, -90.7054) 博斯科贝尔
Boyceville (45.04357, -92.04101) 博伊斯维尔
Brice Prairie (43.93857, -91.29986) 布赖斯草原
Brillion (44.17721, -88.06427) 布里利恩
Brothertown (43.96805, -88.30899) 布罗瑟敦
Brown Deer (43.16334, -87.96453) 布朗迪尔
Browns Lake (42.69252, -88.2312) 布朗斯湖
Buffalo City (44.23052, -91.86432) 水牛城
Butte des Morts (44.09943, -88.654) 莫尔特斯山
Cadott (44.94802, -91.1507) 卡多特
Camp Douglas (43.92247, -90.27152) 道格拉斯营
Camp Lake (42.53474, -88.1437) 营湖
Campbellsport (43.59777, -88.27899) 坎贝尔斯波特
Cashton (43.74191, -90.7793) 卡什顿
Cecil (44.80999, -88.45232) 塞西尔
Cedarburg (43.29667, -87.98759) 西达堡
Centuria (45.45135, -92.55409) 森图里亚
Chenequa (43.11167, -88.39232) 切内夸
Chetek (45.31413, -91.651) 切特克
Chief Lake (45.92662, -91.33295) 酋长湖
Chippewa Falls (44.93691, -91.39293) 奇佩瓦瀑布
Clam Falls (45.68856, -92.29353) 蛤蜊瀑布
Clintonville (44.62053, -88.76232) 克林顿维尔
Colby (39.39584, -101.05238) 科尔比
Combined Locks (44.26582, -88.31427) 联合锁
Coon Valley (43.70219, -91.01319) 昆谷
Cornell (45.16719, -91.14931) 康奈尔
Crandon (45.57191, -88.90289) 克兰登
Cuba City (42.60555, -90.42985) 古巴城
Cudahy (33.96057, -118.18535) 卡德希
Dakota (43.99025, -89.35651) 达科他
Dane (43.25055, -89.50151) 戴恩
DeForest (43.24777, -89.34373) 德福雷斯特
De Pere (44.44888, -88.06038) 德佩尔
Delafield (43.06084, -88.40371) 德拉菲尔德
Delavan Lake (42.58418, -88.6326) 德拉文湖
Dickeyville (42.62722, -90.59207) 迪基维尔
Dodgeville (42.96027, -90.13012) 道奇维尔
Dousman (43.01418, -88.4726) 杜斯曼
Dresser (45.35607, -92.63354) 德雷瑟
Dyckesville (44.64333, -87.76121) 迪克斯维尔
East Troy (42.78529, -88.4051) 东特洛伊
Edgar (44.92719, -89.96346) 埃德加
Eleva (44.5758, -91.47016) 埃莱瓦
Elk Mound (44.87302, -91.691) 麋鹿丘
Elkhart Lake (43.83333, -88.01787) 埃尔克哈特湖
Elm Grove (43.04307, -88.07898) 榆树林
Fairchild (44.60024, -90.96293) 费尔柴尔德
Fall Creek (44.76357, -91.2771) 瀑布溪
Fennimore (42.9836, -90.6554) 费尼莫尔
Fond du Lac (43.775, -88.43883) 丰杜拉克
Footville (42.67084, -89.209) 富特维尔
Forest Junction (44.21249, -88.14427) 森林交汇处
Fort Atkinson (42.92889, -88.83705) 阿特金森堡
Fox Point (43.15751, -87.90175) 福克斯角
Francis Creek (44.19944, -87.72148) 弗朗西斯溪
Franksville (42.76002, -87.91341) 弗兰克斯维尔
Frederic (45.65912, -92.46714) 弗雷德里克
French Island (43.8583, -91.26042) 法国岛
Gays Mills (43.31748, -90.84485) 盖斯磨坊
Genoa City (42.49835, -88.32815) 热那亚城
Gibbsville (43.65222, -87.82676) 吉布斯维尔
Glenmore (-26.26469, 30.84358) 格伦莫尔
Glenwood City (45.05857, -92.17241) 格伦伍德城
Grantsburg (45.77634, -92.6827) 格兰茨堡
