Mesa del Caballo (34.28559, -111.29514) 梅萨德尔卡瓦略
Mescal (31.99008, -110.43535) 梅斯卡尔
Miracle Valley (31.37927, -110.15341) 奇迹谷
Moenkopi (36.1111, -111.22236) 莫恩科皮
Mohave Valley (34.93306, -114.58885) 莫哈维谷
Mountainaire (35.08529, -111.66599) 山地
Munds Park (34.94557, -111.64016) 曼兹公园
New River (33.91587, -112.13599) 新河
Oracle (32.61091, -110.77093) 甲骨文
Oro Valley (32.39091, -110.96649) 奥罗谷
Paradise Valley (33.53115, -111.94265) 天堂谷
Patagonia (31.53954, -110.7562) 巴塔哥尼亚
Paulden (34.88558, -112.46823) 保尔登
Peach Springs (35.52916, -113.42549) 桃泉
Peridot (33.31034, -110.45538) 橄榄石
Pima (32.89656, -109.82835) 皮马
Pimaco Two (31.95064, -110.45258) 皮马科二
Pine (34.38447, -111.45514) 松树
PinetopLakeside (34.14254, -109.96038) 松顶湖畔
Pirtleville (31.35716, -109.56352) 皮特尔维尔
Prescott Valley (34.61002, -112.31572) 普雷斯科特谷
Quartzsite (33.66391, -114.22995) 石英矿
Queen Creek (33.24866, -111.6343) 皇后溪
Queen Valley (33.29867, -111.28957) 皇后谷
Rio Rico (31.47148, -110.97648) 里奥里科
Rock Point (36.71806, -109.62594) 岩点
Sacaton (33.07672, -111.7393) 萨卡顿
Safford (32.83395, -109.70758) 萨福德
Sahuarita (31.95758, -110.95565) 萨瓦里塔
Sanders (35.21641, -109.33371) 桑德斯
Santan (33.17589, -111.7993) 桑坦
Sawmill (35.90251, -109.16593) 锯木厂
Second Mesa (35.79334, -110.50513) 第二梅萨
Sedona (34.86974, -111.76099) 塞多纳
Sells (31.91202, -111.88123) 塞尔斯
Sevenmile (33.78533, -109.95676) 七英里
Shongopovi (35.81806, -110.53458) 肖戈波维
Shonto (36.59444, -110.64236) 肖托
Show Low (34.25421, -110.02983) 秀洛
Shungopavi (35.80556, -110.52791) 舒戈帕维
Sierra Vista (31.55454, -110.30369) 塞拉维斯塔
Snowflake (34.51337, -110.07845) 雪花
South Tucson (32.19952, -110.96842) 南图森
Springerville (34.13355, -109.28834) 斯普林格维尔
Star Valley (34.25504, -111.25847) 星谷
Strawberry (37.89687, -122.50886) 草莓
Sun City (33.59754, -112.27182) 太阳城
Sun City West (33.66198, -112.34127) 太阳城西
Sun Lakes (33.21116, -111.87542) 太阳湖
Surprise (33.63059, -112.33322) 惊喜
Swift Trail Junction (32.72979, -109.71397) 斯威夫特小道交汇处
Tanque Verde (32.25174, -110.73731) 坦克维德
Teec Nos Pos (36.92111, -109.08566) 提克诺斯波斯
Tempe Junction (33.41421, -111.94348) 坦佩交汇处
Thatcher (32.84923, -109.75925) 撒切尔
Three Points (32.07675, -111.31371) 三点
Tolleson (33.45004, -112.25932) 托勒森
Tombstone (31.71287, -110.06758) 墓碑
Tonalea (36.32249, -110.96348) 托纳利亚
Tonto Basin (33.83171, -111.29457) 托托盆地
Tortolita (32.41035, -111.01732) 托托利塔
Tuba City (36.13499, -111.23986) 图巴城
Tubac (31.61259, -111.04592) 图巴克
Tucson (32.22174, -110.92648) 图森
Tucson Estates (32.18758, -111.09093) 图森庄园
Tusayan (35.9736, -112.12656) 图萨扬
Vail (32.04786, -110.71203) 韦尔
Wellton (32.67283, -114.14688) 韦尔顿
White Cone (35.60529, -110.06818) 白锥
White Mountain Lake (34.34865, -109.99789) 白山湖
Whiteriver (33.83699, -109.96427) 白河
Wickenburg (33.96864, -112.72962) 威肯堡
Wilhoit (34.42586, -112.58684) 威尔霍伊特
Willcox (32.25285, -109.83201) 威尔科克斯
Willow Valley (34.91195, -114.60663) 柳谷
Window Rock (35.68057, -109.05259) 窗岩
Wittmann (33.77642, -112.5285) 维特曼
Yarnell (34.22169, -112.7474) 亚内尔
Yuma (32.72532, -114.6244) 尤马
Adelanto (34.58277, -117.40922) 阿德兰托
Agoura (34.14306, -118.73787) 阿古拉
Agoura Hills (34.13639, -118.77453) 阿古拉山
Aguanga (33.44281, -116.86502) 阿瓜加
Ahwahnee (37.3655, -119.72627) 阿瓦尼
Aliso Viejo (33.56504, -117.72712) 阿利索维耶霍
Alondra Park (33.88946, -118.33091) 阿隆德拉公园
Alpaugh (35.88773, -119.48734) 阿尔帕
Alta Sierra (35.73126, -118.5539) 阿尔塔塞拉
Altadena (34.18973, -118.13118) 阿尔塔迪纳
Alum Rock (37.36605, -121.82718) 阿鲁姆岩
American Canyon (38.17492, -122.2608) 美国峡谷
Amesti (36.96356, -121.77912) 阿梅斯蒂
Anaheim (33.83529, -117.9145) 阿纳海姆
Angels Camp (38.06826, -120.53965) 天使营
Angwin (38.57574, -122.44998) 安格温
Antelope (38.70824, -121.32995) 羚羊
Aptos (36.97717, -121.8994) 阿普托斯
Arbuckle (39.0174, -122.05775) 阿巴克尔
Armona (36.31578, -119.70846) 阿莫纳
Artesia (33.86585, -118.08312) 阿蒂西亚
