Fabens (31.50234, -106.15859) 法本斯
Floydada (33.98452, -101.33766) 弗洛伊达达
Fort Clark Springs (29.30607, -100.42202) 克拉克堡温泉
Fort Davis (30.58821, -103.89463) 戴维斯堡
Fort Hancock (31.29846, -105.84525) 汉考克堡
Fort Stockton (30.89404, -102.87932) 斯托克顿堡
Friona (34.64173, -102.7241) 弗里奥纳
Fritch (35.63977, -101.60323) 弗里奇
Gail (32.77038, -101.44541) 盖尔
Grape Creek (31.57932, -100.5476) 葡萄溪
Groom (35.20366, -101.10682) 格鲁姆
Hale Center (34.06424, -101.84379) 黑尔中心
Happy (34.74367, -101.85463) 快乐
Horizon City (31.69261, -106.20748) 地平线城
Idalou (33.66647, -101.68294) 艾达卢
Iraan (30.91405, -101.89791) 伊拉安
Jayton (33.24815, -100.57373) 杰顿
Kermit (31.85763, -103.09267) 科米特
Kress (34.36645, -101.74851) 克雷斯
Lake Tanglewood (35.06755, -101.78713) 坦格尔伍德湖
Lamesa (32.7376, -101.95099) 拉梅萨
Lefors (35.43644, -100.8057) 勒福尔斯
Levelland (33.58732, -102.37796) 莱弗兰
Littlefield (33.91731, -102.3249) 小田
Lockney (34.12452, -101.44155) 洛克尼
Loraine (32.41123, -100.71233) 洛林
Lorenzo (33.67064, -101.53516) 洛伦佐
Lubbock (33.57786, -101.85517) 拉伯克
Marfa (30.30973, -104.02134) 马尔法
Matador (34.01202, -100.82208) 斗牛士
McCamey (31.13598, -102.2243) 麦卡米
Meadow (33.33704, -102.20657) 草地
Merkel (32.47068, -100.01287) 默克尔
Mertzon (31.26183, -100.81733) 默尔顿
Monahans (31.5943, -102.89265) 莫纳汉斯
Morning Glory (31.57012, -106.21581) 牵牛花
Muleshoe (34.22647, -102.72383) 骡蹄
New Deal (33.73731, -101.83656) 新政
O'Donnell (32.96371, -101.83265) 奥唐奈尔
Olton (34.18341, -102.13463) 奥尔顿
Ozona (30.71017, -101.20067) 奥佐纳
Pampa (35.53616, -100.95987) 潘帕
Panhandle (35.3456, -101.38044) 潘汉德尔
Perryton (36.40003, -100.80265) 佩里顿
Post (33.19122, -101.379) 波斯特
Radar Base (28.85765, -100.52962) 雷达基地
Ransom Canyon (33.53342, -101.67961) 赎金峡谷
Robert Lee (31.89237, -100.48482) 罗伯特·李
Roby (32.74483, -100.37761) 罗比
Rocksprings (30.01576, -100.20536) 洛克斯普林斯
Rosita North (28.65644, -100.42218) 罗西塔北
Rosita South (28.62375, -100.42837) 罗西塔南
Rotan (32.85205, -100.46566) 罗坦
San Angelo (31.46377, -100.43704) 圣安吉洛
San Elizario (31.58511, -106.27276) 圣伊利扎里奥
Sanderson (30.14241, -102.39403) 桑德森
Seagraves (32.94427, -102.56491) 西格雷夫斯
Seco Mines (28.74748, -100.4973) 塞科矿
Seth Ward (34.21174, -101.69017) 塞斯·沃德
Shallowater (33.68897, -101.99823) 浅水
Sierra Blanca (31.17457, -105.35718) 布兰卡山
Slaton (33.43731, -101.64349) 斯莱顿
Spearman (36.19837, -101.19238) 斯皮尔曼
Sterling City (31.83625, -100.98483) 斯特林城
Stinnett (35.82698, -101.44294) 斯蒂内特
Sundown (33.45621, -102.48936) 日落
Sunray (36.0167, -101.82462) 阳光
Tahoka (33.16676, -101.79377) 塔霍卡
Texline (36.37781, -103.0241) 德克斯线
Thorntonville (31.58291, -102.92071) 桑顿维尔
Tornillo (31.4454, -106.08831) 托尼洛
Tulia (34.53589, -101.75852) 图利亚
Val Verde Park (29.37495, -100.83176) 瓦尔维德公园
Van Horn (31.04029, -104.83073) 范霍恩
Vega (35.24283, -102.42826) 维加
West Odessa (31.84235, -102.49876) 西奥德萨
Westway (31.95871, -106.57805) 西路
Wheeler (35.44533, -100.27096) 惠勒
White Deer (35.43532, -101.17294) 白鹿
Wickett (31.57013, -103.00099) 维克特
Wink (31.75124, -103.15989) 温克
Wolfforth (33.50592, -102.00906) 沃尔福斯
Aneth (37.21611, -109.18706) 阿内斯
Annabella (38.70914, -112.05992) 安娜贝拉
Blanding (37.62433, -109.47966) 布兰丁
Carbonville (39.61996, -110.83433) 碳村
Castle Dale (39.21219, -111.01961) 卡斯尔代尔
Cedar City (37.67748, -113.06189) 雪松城
East Carbon City (39.54774, -110.41488) 东碳城
Elsinore (38.68275, -112.14826) 埃尔西诺
Enoch (37.77331, -113.02439) 以诺
Ephraim (39.35968, -111.58631) 以法莲
Ferron (39.09358, -111.13322) 费伦
Fountain Green (39.62996, -111.6352) 绿泉
Green River (41.52858, -109.46625) 绿河
Helper (39.68413, -110.85461) 助手
Hildale (37.0036, -112.96688) 希尔代尔
Ivins (37.16859, -113.67941) 艾文斯
Kanab (37.04749, -112.52631) 卡纳布
LaVerkin (37.20109, -113.26967) 拉弗金
