Firestone (40.11248, -104.93664) 火石
Fort Collins (40.58526, -105.08442) 柯林斯堡
Fort Lupton (40.08471, -104.81303) 卢普顿堡
Fort Morgan (40.25026, -103.79995) 摩根堡
Gilcrest (40.28193, -104.77775) 吉尔克雷斯特
Haxtun (40.6411, -102.62686) 哈克斯顿
Hot Sulphur Springs (40.07304, -106.1028) 热硫磺泉
Julesburg (40.98833, -102.26435) 朱尔斯堡
Keenesburg (40.10832, -104.51996) 基恩斯堡
Kremmling (40.05887, -106.38892) 克雷姆林
Lazy Acres (40.09332, -105.33277) 懒人庄园
Lochbuie (40.00721, -104.71608) 洛克布伊
Log Lane Village (40.27054, -103.82967) 原木巷村
Longmont (40.16721, -105.10193) 朗蒙特
Niwot (40.10387, -105.17082) 尼沃特
Pine Brook Hill (40.04999, -105.31471) 松溪山
Rangely (40.08748, -108.80483) 兰利
Severance (40.52415, -104.85108) 塞弗伦斯
Steamboat Springs (40.48498, -106.83172) 蒸汽船泉
Timnath (40.52915, -104.98525) 蒂姆纳斯
American Falls (42.78602, -112.85444) 美国瀑布
Ammon (43.46964, -111.96664) 阿蒙
Blackfoot (43.19047, -112.34498) 布莱克富特
Boise (43.6135, -116.20345) 博伊西
Bonners Ferry (48.69133, -116.31631) 博纳斯渡口
Challis (44.50464, -114.23173) 查利斯
Chubbuck (42.92075, -112.46609) 查布克
Clark Fork (48.14521, -116.17573) 克拉克福克
Coeur d'Alene (47.67768, -116.78047) 科达伦
Council (44.72989, -116.4382) 康瑟尔
Dalton Gardens (47.72963, -116.77019) 道尔顿花园
Deary (46.79934, -116.55599) 迪尔里
Driggs (43.72325, -111.11133) 德里格斯
Dubois (43.53357, -109.63043) 杜波依斯
Emmett (43.8735, -116.4993) 埃米特
Filer (42.57019, -114.60782) 菲勒
Fort Hall (43.03325, -112.43831) 霍尔堡
Glenns Ferry (42.9549, -115.3009) 格伦斯渡口
Gooding (42.93879, -114.71311) 古丁
Grace (42.57603, -111.73051) 格雷斯
Grangeville (45.92655, -116.12237) 格兰奇维尔
Hailey (43.51963, -114.31532) 黑利
Hansen (42.53068, -114.30101) 汉森
Hauser (47.77296, -117.02798) 豪瑟
Hayden Lake (47.75879, -116.75686) 海登湖
Hazelton (42.5963, -114.13614) 黑泽尔顿
Heyburn (42.55852, -113.7639) 海伯恩
Idaho City (43.8285, -115.83455) 爱达荷城
Idaho Falls (43.46658, -112.03414) 爱达荷瀑布
Inkom (42.7963, -112.25414) 英科姆
Juliaetta (46.57878, -116.70599) 朱莉埃塔
Kamiah (46.22712, -116.02931) 卡米亚
Ketchum (43.68074, -114.36366) 凯彻姆
Kootenai (48.3102, -116.51353) 库特奈
Kooskia (46.14489, -115.97792) 库斯基亚
Kuna (43.49183, -116.42012) 库纳
Lapwai (46.40489, -116.80487) 拉普韦
Lewiston Orchards (46.38044, -116.97543) 刘易斯顿果园
Malad City (42.19159, -112.2508) 马拉德城
Marsing (43.54544, -116.8132) 马尔辛
McCall (44.91101, -116.09874) 麦考尔
McCammon (42.65047, -112.19302) 麦卡蒙
Menan (43.72074, -111.98997) 梅南
Moreland (43.22269, -112.44248) 莫尔兰
Moyie Springs (48.72633, -116.18853) 莫伊泉
Mullan (47.47021, -115.80183) 穆兰
Nampa (43.54072, -116.56346) 南帕
Nezperce (46.23489, -116.2407) 内兹珀斯
Notus (43.72544, -116.80126) 诺图斯
Orofino (46.47935, -116.25514) 奥罗菲诺
Osburn (47.50604, -115.99933) 奥斯本
Paul (42.60796, -113.78335) 保罗
Payette (44.07822, -116.93377) 佩耶特
Plummer (47.33518, -116.88851) 普卢默
Pocatello (42.8713, -112.44553) 波卡特洛
Ponderay (48.30548, -116.5338) 庞德雷
Post Falls (47.71796, -116.95159) 波斯特瀑布
Potlatch (46.92156, -116.89822) 波特拉奇
Priest River (48.18097, -116.91157) 普里斯特河
Rexburg (43.82602, -111.78969) 雷克斯堡
Rigby (43.67241, -111.91497) 里格比
Ririe (43.63186, -111.77357) 里里
Saint Maries (47.31435, -116.56267) 圣玛丽斯
Salmon (45.17575, -113.8959) 萨蒙
Sandpoint (48.27659, -116.55325) 桑德波因特
Shoshone (42.93602, -114.40588) 肖松尼
Smelterville (47.5427, -116.18156) 斯梅尔特维尔
Soda Springs (42.65437, -111.60467) 苏打泉
Sugar City (43.87297, -111.7483) 糖城
Teton (43.88658, -111.67774) 提顿
Twin Falls (42.56297, -114.46087) 双瀑布
Tyhee (42.95158, -112.46637) 泰希
Ucon (43.5963, -111.96386) 尤康
Weiser (44.251, -116.96933) 韦瑟
Absarokee (45.5205, -109.44294) 阿布萨罗基
Anaconda (46.12854, -112.94226) 阿纳康达
Arlee (47.16187, -114.08511) 阿利
Belt (47.38608, -110.92551) 贝尔特
Big Sky (45.28465, -111.36829) 大天空
Big Timber (45.83494, -109.95546) 大木材
