Payariq Shahri (39.99249, 66.85012) 派亚里克市
Muborak (39.25528, 65.15278) 穆博拉克
Yangi Mirishkor (38.85143, 65.27789) 扬吉米里什科尔
Loyish Shaharchasi (39.87904, 66.75055) 洛伊什镇
Kitob (39.12158, 66.88605) 基托布
Kattaqo'rg'on Shahri (39.90546, 66.26556) 卡塔科尔贡市
Qorovulbozor (39.50056, 64.79361) 科罗乌尔博佐尔
Karakul' (39.53333, 63.83333) 卡拉库尔
Qorako`l Shahri (39.50699, 63.84884) 科拉科尔市
Kogon Shahri (39.72746, 64.55466) 科贡市
Ishtixon Shahri (39.96639, 66.48611) 伊什提洪市
G`uzor (38.6213, 66.25152) 古佐尔
Galaosiyo Shahri (39.85721, 64.44641) 加拉奥西约市
Juma Shahri (39.71611, 66.66417) 朱马市
Jomboy Shahri (39.69889, 67.09333) 琼博伊市
Denov (38.26746, 67.89886) 德诺夫
Dahbed (39.7644, 66.91626) 达赫贝德
Chiroqchi (39.03361, 66.57222) 奇罗克奇
Chelak (39.92002, 66.86228) 切拉克
Charxin (39.69413, 66.827) 查尔欣
Bulung'ur Shahri (39.76003, 67.27441) 布伦古尔市
Bukhara (39.77472, 64.42861) 布哈拉
Boysun (38.20835, 67.20664) 博伊松
Olot Shahri (39.415, 63.80333) 奥洛特市
Oqtosh Shahri (39.92675, 65.92953) 奥克托什市
Oqtosh (39.92139, 65.92528) 奥克托什
Qorovulbozor Shahri (39.50308, 64.81142) 科罗乌尔博佐尔市
Qorashina (38.34185, 66.56342) 科拉希纳
Shahrisabz Shahri (39.05206, 66.82083) 沙赫里萨布兹市
Koson Shahri (39.04472, 65.59082) 科松市
Kitob Shahri (39.12251, 66.8757) 基托布市
Muborak Shahri (39.25778, 65.15674) 穆博拉克市
Beshkent Shahri (38.81107, 65.64246) 贝什肯特市
G`uzor Shahri (38.62596, 66.24515) 古佐尔市
Qamashi Shahri (38.81998, 66.46441) 卡马希市
Chiroqchi Shahri (39.02727, 66.58083) 奇罗克奇市
Yakkabog` Shahri (38.97664, 66.68867) 亚卡博格市
YangiNishon Shahri (38.64501, 65.68952) 扬吉尼尚市
Ravon (39.97724, 71.13467) 拉冯
Ziyodin Shaharchasi (40.03106, 65.66619) 齐约丁镇
Zarbdor Shaharchasi (40.08083, 68.16454) 扎尔布多尔镇
Zafar (40.98333, 68.9) 扎法尔
G'oliblar Qishlog'i (40.49528, 67.87594) 戈利布拉尔村
Yozyovon (40.66139, 71.74361) 约兹约万
Yaypan (40.37583, 70.81556) 亚伊潘
Yangiyul (41.11202, 69.0471) 扬吉尤尔
Yangiyer (40.275, 68.8225) 扬吉耶尔
Yangirabot (40.02539, 65.96095) 扬吉拉博特
Yangiqo`rg`on (41.19474, 71.72385) 扬吉科尔贡
Ibrat (40.55389, 71.14667) 伊布拉特
Bog'don (40.41517, 67.17946) 博格东
Yangibozor (41.71157, 60.53394) 扬吉博佐尔
Yangibozor Qishlog'i (40.03839, 64.38587) 扬吉博佐尔村
Yangiariq (41.36583, 60.60438) 扬吉阿里克
Yangiobod (41.11919, 70.09406) 扬吉奥博德
Vodil (40.17424, 71.73013) 沃迪尔
Vobkent Shahri (40.00033, 64.50213) 沃布肯特市
Uychi (41.08073, 71.92331) 乌伊奇
Urtaowul (41.18667, 69.14528) 乌尔塔奥乌尔
Urganch (41.55339, 60.62057) 乌尔根奇
Dashtobod (40.12694, 68.49444) 达什托博德
Uchtepa Qishlog'i (40.20447, 67.90396) 乌奇特帕村
Uchqurghon Shahri (41.11371, 72.07915) 乌奇库尔贡市
Uchko`prik (40.54222, 71.06083) 乌奇科普里克
Uchkuduk (41.05, 62.78333) 乌奇库杜克
Tuytepa (41.0321, 69.36253) 图伊特帕
To'rqao'rg'on (40.99984, 71.51162) 托尔卡奥尔贡
Toshloq (40.47722, 71.76778) 托什洛克
Tashkent (41.26465, 69.21627) 塔什干
Toshbuloq (40.91617, 71.57819) 托什布洛克
Tomdibuloq (41.7508, 64.61711) 托姆迪布洛克
Taxtako`pir (43.01171, 60.30111) 塔赫塔科皮尔
Suqoq (41.24861, 69.79667) 苏科克
Sirdaryo (40.84361, 68.66167) 锡尔达里亚
Shovot (41.65817, 60.29451) 肖沃特
Sho'rsuv (40.28431, 70.79972) 肖尔苏夫
Shahrixon (40.71331, 72.05706) 沙赫里洪
Shofirkon Shahri (40.12, 64.50139) 肖菲尔康市
Salor (41.37222, 69.38167) 萨洛尔
Qo'shko'pir (41.53275, 60.34698) 科什科皮尔
Qo'qon (40.52861, 70.9425) 科坤
Piskent (40.89722, 69.35056) 皮斯肯特
Poytug` (40.8977, 72.2449) 波伊图格
Payshamba Shahri (40.01136, 66.23113) 派尚巴市
Parkent (41.29444, 69.67639) 帕尔肯特
Pop (40.87361, 71.10889) 波普
Paxtakor Shahri (40.31181, 67.95667) 帕赫塔科尔市
Paxtaobod (40.92936, 72.49687) 帕赫塔奥博德
Olmaliq (40.84472, 69.59833) 奥尔马利克
Ohangaron (40.90639, 69.63833) 奥汉加龙
Nurota (40.56139, 65.68861) 努罗塔
Novyy Turtkul' (41.55, 61.01667) 新图尔特库尔
Navoiy (40.08444, 65.37917) 纳沃伊
Navbahor (40.48104, 70.77093) 纳夫巴霍尔
Namangan (40.9983, 71.67257) 纳曼干
Marhamat (40.48048, 72.31388) 马尔哈马特
Marg'ilon (40.47237, 71.72463) 马尔吉兰
Manghit (42.11556, 60.05972) 曼吉特
Qiziltepa (40.03306, 64.85) 齐兹尔特帕
Kuyganyor (40.85444, 72.30734) 库伊加尼奥尔
