Mapire (7.74085, -64.71047) 马皮雷
Mamporal (10.36556, -66.13391) 曼波拉尔
Maiquetia (10.5945, -66.95624) 迈克蒂亚
Macuto (10.60508, -66.89745) 马库托
Machiques (10.06077, -72.55212) 马奇克斯
Los Teques (10.34447, -67.04325) 洛斯特克斯
Los Rastrojos (10.02588, -69.24166) 洛斯拉斯特罗霍斯
Los Guayos (10.18932, -67.93828) 洛斯瓜约斯
Los Dos Caminos (10.49389, -66.82863) 洛斯多斯卡米诺斯
Lobatera (7.93005, -72.24679) 洛巴特拉
Canagua (8.12489, -71.46041) 卡纳瓜
Capacho Viejo (7.82893, -72.31942) 卡帕乔维耶霍
La Yuca (8.73109, -70.18072) 拉尤卡
La Vela de Coro (11.46077, -69.5657) 拉韦拉德科罗
Veguitas (8.82391, -69.99581) 维吉塔斯
Las Tejerias (10.25416, -67.17333) 拉斯特赫里亚斯
La Paragua (6.83333, -63.33333) 拉帕拉瓜
La Guaira (10.60156, -66.93293) 拉瓜伊拉
La Cruz de Taratara (11.06302, -69.71287) 拉克鲁斯德塔拉塔拉
Chameta (8.10023, -70.90671) 查梅塔
Caramuca (8.59708, -70.32056) 卡拉穆卡
La Azulita (8.71364, -71.44421) 拉阿苏利塔
Kanavayen (5.63333, -61.8) 卡纳瓦延
Judibana (11.75908, -70.18418) 胡迪巴纳
Juan Griego (11.08172, -63.96549) 胡安格里戈
Jacura (11.07446, -68.85583) 哈库拉
Irapa (10.57006, -62.58204) 伊拉帕
Higuerote (10.48287, -66.10096) 伊格罗特
Gueiria (10.57721, -62.29841) 盖里亚
Gueiguee (10.08344, -67.77799) 盖伊格
Guatire (10.474, -66.54241) 瓜蒂雷
Guasipati (7.47702, -61.89666) 瓜西帕蒂
Guarenas (10.47027, -66.61934) 瓜雷纳斯
Guaraque (8.15405, -71.73562) 瓜拉克
Guanta (10.23453, -64.59708) 瓜塔
Guanarito (8.69625, -69.20832) 瓜纳里托
Guanare (9.04183, -69.74206) 瓜纳雷
Guama (10.26638, -68.81986) 瓜马
Guacara (10.22609, -67.877) 瓜卡拉
Farriar (10.47016, -68.55885) 法里亚尔
Escuque (9.29687, -70.67189) 埃斯库克
Encontrados (9.05983, -72.2346) 恩孔特拉多斯
El Tocuyo (9.78709, -69.79294) 埃尔托库约
El Sombrero (9.3863, -67.05818) 埃尔索姆布雷罗
Los Roques (11.94836, -66.67835) 洛斯罗克斯
El Regalo (8.43455, -69.1767) 埃尔雷加洛
San Rafael del Pinal (7.52987, -71.95922) 圣拉斐尔德皮纳尔
El Paradero (9.77278, -70.61541) 埃尔帕拉德罗
El Pao (9.63926, -68.12917) 埃尔帕奥
El Palmer (8.03333, -61.88333) 埃尔帕尔梅尔
Elorza (7.06088, -69.49765) 埃洛尔萨
Lecherias (10.19167, -64.69207) 莱切里亚斯
El Hatillo (10.42411, -66.82581) 埃尔阿蒂略
El Dividive (9.4751, -70.73493) 埃尔迪维迪维
El Corozo (10.12061, -71.04422) 埃尔科罗索
El Consejo (10.23777, -67.27008) 埃尔孔塞霍
El Callao (7.34706, -61.82684) 埃尔卡亚奥
El Baul (8.96225, -68.29511) 埃尔鲍尔
Ejido (8.54665, -71.24087) 埃希多
Duaca (10.28554, -69.16244) 杜阿卡
Dabajuro (11.02273, -70.67769) 达巴胡罗
Curiapo (8.58057, -60.99778) 库里亚波
Curbati (8.45443, -70.55441) 库尔巴蒂
Cumanacoa (10.25056, -63.91938) 库马纳科阿
Cumana (10.4639, -64.17859) 库马纳
Coro (11.4045, -69.67344) 科罗
Cojedes (9.62232, -68.91805) 科赫德斯
Cocorote (10.31954, -68.78298) 科科罗特
Clarines (9.93991, -65.16517) 克拉里内斯
Ciudad Piar (7.45209, -63.31992) 皮亚尔城
Ciudad Ojeda (10.20161, -71.3148) 奥赫达城
Ciudad Guayana (8.35122, -62.64102) 瓜亚纳城
Ciudad De Nutrias (8.09535, -69.30798) 努特里亚斯城
Ciudad Bolivia (8.35304, -70.57121) 玻利维亚城
Churuguara (10.81231, -69.53734) 丘鲁瓜拉
Chivacoa (10.15951, -68.89453) 奇瓦科阿
Chichiriviche (10.92872, -68.27283) 奇奇里维切
Chejende (9.6186, -70.35682) 切亨德
Charallave (10.24247, -66.85723) 查拉亚韦
Chaguaramas (9.33754, -66.25282) 查瓜拉马斯
Chacao (10.49581, -66.85367) 查卡奥
Tacarigua (10.08621, -67.91982) 塔卡里瓜
Caucagueito (10.48666, -66.73799) 考卡盖伊托
Caucagua (10.2831, -66.37591) 考卡瓜
Catia La Mar (10.60545, -67.03238) 卡蒂亚拉马尔
Casigua El Cubo (8.74602, -72.51889) 卡西瓜埃尔库博
Casanay (10.5042, -63.41729) 卡萨奈
Carupano (10.66516, -63.25387) 卡鲁帕诺
Carora (10.17283, -70.081) 卡罗拉
Caripito (10.11135, -63.09985) 卡里皮托
Caripe (10.17335, -63.50048) 卡里佩
Cariaco (10.49682, -63.55286) 卡里亚科
Carache (9.62857, -70.22864) 卡拉切
Caracas (10.48801, -66.87919) 加拉加斯
Caraballeda (10.61216, -66.85192) 卡拉瓦耶达
Canape Capatarida (11.1755, -70.62072) 卡纳佩卡帕塔里达
Cantaura (9.30571, -64.35841) 坎陶拉
Campo Elias (9.39458, -70.05872) 埃利亚斯营地
Camatagua (9.78762, -66.90619) 卡马塔瓜
Camaguan (8.10732, -67.60738) 卡马瓜恩
