Elandsbaai (-32.31401, 18.34413) 埃兰兹湾
Eendekuil (-32.68709, 18.88363) 恩德奎尔
Ebenhaeser (-31.58239, 18.22527) 埃本哈泽尔
Doringbaai (-31.8171, 18.23659) 多林湾
De Doorns (-33.47709, 19.66625) 德多恩斯
Darling (-33.37817, 18.37938) 达令
Clanwilliam (-32.18173, 18.89217) 克兰威廉
Citrusdal (-32.59215, 19.01516) 柑橘谷
Cape Town (-33.92584, 18.42322) 开普敦
Calvinia (-31.47069, 19.77601) 卡尔维尼亚
Botrivier (-34.22568, 19.20313) 博特河
Betty's Bay (-34.3535, 18.91268) 贝蒂湾
Bergvliet (-34.04746, 18.4525) 贝格弗利特
Alexander Bay (-28.59608, 16.48535) 亚历山大湾
Somerset West (-34.08401, 18.82113) 索美塞特西
Marloth Park (-25.36512, 31.78465) 马洛斯公园
Eden Glen (-26.1323, 28.16859) 伊甸园
Rondebosch (-33.96333, 18.47639) 朗德博斯
Herolds Bay (-34.04832, 22.39709) 赫罗尔兹湾
BelaBela (-24.885, 28.29417) 贝拉贝拉
Lephalale (-23.66607, 27.74477) 莱法拉莱
Musina (-22.34881, 30.04074) 穆西纳
Midstream (-25.91849, 28.19881) 中流
Mandeni (-29.14691, 31.41403) 曼德尼
St Francis Bay (-34.16026, 24.82618) 圣弗朗西斯湾
Klapmuts (-33.8111, 18.86421) 克拉普穆茨
Retreat (-34.05515, 18.47617) 里特里特
HartbeestfonteinA (-25.44141, 27.51114) 哈特比斯特方丹A
Marapong (-23.65506, 27.62495) 马拉蓬
Diepsloot (-25.93312, 28.01213) 迪普斯鲁特
Tjakastad (-25.989, 30.823) 查卡斯塔德
LeeuwfonteinC (-25.17046, 28.90361) 利乌方丹C
Etwatwa (-26.12516, 28.45472) 埃特瓦特瓦
Marikana (-25.699, 27.47475) 马里卡纳
GaMalakhe (-30.8063, 30.33484) 加马拉赫
Ivory Park (-25.9957, 28.1971) 象牙公园
Lukwatini (-26.05501, 30.82292) 卢夸蒂尼
Mankweng (-23.88384, 29.70557) 曼克文
Phatsima (-25.3946, 27.0149) 帕齐玛
Mkhuhlu (-24.98776, 31.2385) 姆库胡鲁
Trust Feed (-29.39967, 30.54276) 特拉斯特菲德
Kamaqhekeza (-25.67031, 31.86288) 卡马克赫扎
Phola (-26.002, 29.034) 波拉
Ntuzuma (-29.739, 30.949) 恩图祖马
Ncotshane (-27.342, 31.58) 恩科特沙内
Lehurutshe (-25.4812, 25.96508) 勒胡鲁切
Malamulele (-22.97111, 30.67361) 马拉穆莱莱
Maluti (-30.26207, 28.79242) 马卢蒂
Tukakgomo (-24.74334, 30.10764) 图卡克戈莫
Poortje (-26.45951, 27.76726) 波尔特耶
Folweni (-29.99569, 30.80724) 福尔韦尼
Eden Glen Ext 60 (-26.12593, 28.165) 伊甸园扩展60
Tongaat Beach (-29.61376, 31.15281) 通加特海滩
Lebohang (-26.37945, 28.92112) 勒博杭
Cool Air (-29.36365, 30.63398) 凉风
Mathibela (-24.31249, 29.31245) 马西贝拉
Khaya Mnandi (-33.82628, 25.45378) 卡亚姆南迪
Gariep Dam (-30.60093, 25.49501) 加里普坝
Santombe (-30.81595, 29.36159) 桑托姆贝
Mkukwini (-31.97144, 27.43361) 姆库克维尼
Msobomvu (-32.69854, 26.85864) 姆索博姆武
Clarendon Marine (-34.01235, 25.36577) 克拉伦登海洋
Ngabangu (-32.62924, 27.39823) 恩加班古
Loerieheuwel (-33.87596, 25.02064) 洛里赫维尔
Ducats (-32.92795, 27.90373) 杜卡茨
Phakamisa (-32.93328, 27.4571) 帕卡米萨
Ilitha (-32.89243, 27.5305) 伊利塔
Nomathamasanqa (-33.52276, 25.71044) 诺马塔马桑卡
Ndevana (-32.90769, 27.50973) 恩德瓦纳
Ikgomotseng (-28.73477, 26.10788) 伊科莫森
Tshiame (-28.33057, 28.99087) 奇亚梅
Phomolong (-28.01274, 27.08234) 波莫隆
Mamello (-26.87212, 28.2534) 马梅洛
Kameelkraal (-25.9009, 28.53333) 卡梅尔克拉尔
Orient Hills (-26.03137, 27.60266) 东方山
Leeudoorn Mine (-26.44244, 27.57278) 利乌多恩矿
Randvaal (-26.43358, 28.09267) 兰德瓦尔
Seberuberung (-26.41447, 27.6991) 塞贝鲁贝伦
Elsburg Gold Mine (-26.40967, 27.68114) 埃尔斯堡金矿
Thembisile (-25.60362, 28.88795) 特姆比西莱
Rethabiseng (-25.72286, 28.71689) 雷塔比森
Bagale (-26.06566, 27.64765) 巴加勒
Hlalanathi (-27.49124, 32.18304) 哈拉纳提
Loss (-28.10478, 30.82101) 洛斯
Ocean DriveIn (-29.58971, 31.14713) 海洋驾入
Thembalethu (-27.61748, 32.02791) 特姆巴莱图
Hambanathi (-29.55416, 31.10513) 汉巴纳提
Drummond (-29.75575, 30.68977) 德拉蒙德
Randgate (-28.39885, 32.21782) 兰德盖特
Glen Mill (-29.29371, 31.1397) 格伦磨坊
Mpungamhlophe (-28.26748, 31.25298) 姆普加姆洛普
Cibelichle (-29.63451, 29.78891) 西贝利克勒
Emona (-29.55376, 31.09656) 埃莫纳
Greylands (-29.52848, 31.15385) 格雷兰兹
Emaqeleni (-28.92643, 31.70659) 埃马奎莱尼
Ezibomvu (-28.09016, 30.77948) 埃齐博姆武
Nkongolwane (-27.68858, 31.03867) 恩孔戈尔瓦内
Ibisikululwa (-30.41119, 29.89194) 伊比西库卢尔瓦
Kgwaripe (-28.37007, 32.34879) 克瓦里佩
Frischgewaagd (-27.38985, 30.95469) 弗里施格瓦赫德
