Wimmis (46.67587, 7.63972) 温米斯
Willisau (47.12183, 7.99418) 维利绍
Wiler (46.40315, 7.78161) 维勒
Wildhaus (47.20583, 9.35402) 维尔德豪斯
Wilderswil (46.66369, 7.86175) 维尔德斯维尔
Wilchingen (47.66745, 8.46774) 维尔兴根
Wila (47.41928, 8.84524) 维拉
Wil (47.46152, 9.04552) 维尔
Wikon (47.26339, 7.96801) 维孔
Wigoltingen (47.5977, 9.03141) 维戈尔廷根
Wiedlisbach (47.25194, 7.6461) 维德利斯巴赫
Wetzikon (47.3264, 8.79779) 韦齐孔
Wettingen (47.46606, 8.32663) 韦廷根
Werthenstein (47.05578, 8.10182) 韦尔滕施泰因
Wernetshausen (47.29914, 8.86462) 韦尔内特斯豪森
Wengi (47.08386, 7.39926) 文吉
Welschenrohr (47.28052, 7.52664) 韦尔申罗尔
Weisslingen (47.43063, 8.76787) 维斯林根
Weiningen (47.42022, 8.43644) 维宁根
Weinfelden (47.56667, 9.1) 维因费尔登
Weggis (47.03208, 8.43219) 韦吉斯
Wegenstetten (47.49797, 7.93141) 韦根施泰滕
Weesen (47.13447, 9.09644) 韦森
Wauwil (47.18457, 8.021) 瓦维尔
Wattwil (47.29955, 9.08657) 瓦特维尔
Wattenwil (46.76973, 7.50835) 瓦滕维尔
Wasterkingen (47.58956, 8.47121) 瓦斯特金根
Wangi (47.49654, 8.95325) 瓦吉
Wangen an der Aare (47.23208, 7.65253) 瓦根安德阿勒
Wangen (47.6895, 9.83247) 瓦根
Walzenhausen (47.44867, 9.60495) 瓦尔岑豪森
Walterswil (47.1122, 7.77798) 瓦尔特斯维尔
Waltenschwil (47.33339, 8.29791) 瓦尔滕施维尔
Wallisellen (47.41499, 8.59672) 瓦利塞伦
Walenstadt (47.12411, 9.31194) 瓦伦施塔特
Walkringen (46.94856, 7.6204) 瓦尔克林根
Waldstatt (47.35627, 9.28345) 瓦尔德施塔特
Waldkirch (48.09585, 7.96371) 瓦尔德基希
Waldi (47.63421, 9.09504) 瓦尔迪
Waldenburg (50.87653, 12.59919) 瓦尔登堡
Walchwil (47.10169, 8.51693) 瓦尔希维尔
Wahlen (47.40226, 7.51511) 瓦伦
Wagenhausen (47.66003, 8.84782) 瓦根豪森
Waedenswil (47.22683, 8.6687) 韦登斯维尔
Vuadens (46.61545, 7.01732) 武阿登
Vouvry (46.33746, 6.8895) 武夫里
Vorderthal (47.12172, 8.90225) 福尔德塔尔
Vordemwald (47.27585, 7.90114) 福尔德姆瓦尔德
Vitznau (47.01014, 8.4842) 维茨瑙
Visperterminen (46.25899, 7.90192) 维斯珀特米嫩
Visp (46.2937, 7.88149) 维斯普
Vira (46.14327, 8.84202) 维拉
Vionnaz (46.31101, 6.90062) 维奥纳
Villnachern (47.47098, 8.15975) 维尔纳赫恩
Villmergen (47.35009, 8.24762) 维尔梅尔根
Villigen (47.52682, 8.21486) 维利根
Villeret (47.15838, 7.01889) 维勒雷
Villeneuve (46.39869, 6.92654) 维勒讷夫
VillazSaint-Pierre (46.72074, 6.95638) 维拉圣皮埃尔
Villarssur-Ollon (46.29832, 7.05631) 维拉苏尔-奥隆
Villarssur-Glane (46.79054, 7.11717) 维拉苏尔-格拉讷
Viganello (46.01342, 8.96879) 维加内洛
Vicques (47.35, 7.41342) 维克
Veytaux (46.42129, 6.93048) 维托
Veyrier (46.16699, 6.18436) 维里耶
Vex (46.21239, 7.39826) 韦克斯
Vevey (46.46299, 6.84345) 沃韦
Vetroz (46.22171, 7.27858) 韦特罗
Versoix (46.28382, 6.16214) 韦尔索瓦
Verscio (46.18482, 8.73224) 韦尔西奥
Vernier (46.21702, 6.08497) 韦尔涅
Vernayaz (46.13667, 7.03906) 韦尔纳亚
Verbier (46.1002, 7.22651) 韦尔比耶
Vendlincourt (47.4526, 7.15128) 旺德兰库尔
Veltheim (47.51419, 8.717) 费尔特海姆
Vechigen (46.94616, 7.56065) 费希根
Vaulruz (46.62164, 6.9882) 沃尔吕
Varen (46.3186, 7.60743) 瓦伦
Vandoeuvres (46.22179, 6.20285) 万德夫尔
Vals Platz (46.61647, 9.18025) 瓦尔斯普拉茨
Vallorbe (46.71256, 6.37894) 瓦洛尔布
Uzwil (47.43653, 9.13422) 乌茨维尔
Uznach (47.22421, 8.98263) 乌兹纳赫
Utzenstorf (47.13248, 7.55355) 乌岑施托夫
Uttwil (47.5844, 9.34101) 乌特维尔
Uttigen (46.79435, 7.57789) 乌蒂根
Uster (47.34713, 8.72091) 乌斯特
Urtenen (47.02667, 7.50081) 乌尔特嫩
Ursenbach (47.13696, 7.77193) 乌尔森巴赫
Urnasch (47.31669, 9.2795) 乌尔纳施
Unterwasser (47.197, 9.30856) 温特瓦瑟
Untervaz (46.9275, 9.53422) 温特瓦茨
Unterstammheim (47.63921, 8.79064) 温特施塔姆海姆
Untersiggenthal (47.50213, 8.25554) 温特西根塔尔
Unterseen (46.6853, 7.84722) 温特塞恩
Unterschachen (46.86281, 8.76923) 温特沙亨
Unterlunkhofen (47.3212, 8.38102) 温特伦克霍芬
Unterkulm (47.30998, 8.11371) 温特库尔姆
Illnau / UnterIllnau (47.40787, 8.72607) 伊尔瑙 / 温特伊尔瑙
Unteriberg (47.06258, 8.8052) 温特伊贝格
