Lommis (47.51729, 8.99669) 洛米斯
Lohn (47.75508, 8.66847) 洛恩
Lodrino (45.71969, 10.27767) 洛德里诺
Locarno (46.17086, 8.79953) 洛迦诺
Littau (47.05, 8.26274) 利陶
Linthal (46.92127, 8.99799) 林塔尔
Lindau (47.54612, 9.68431) 林道
Ligornetto (45.86161, 8.95166) 利戈尔内托
Lignieres (46.75152, 2.17381) 利涅尔
Ligerz (47.08368, 7.13476) 利格尔茨
Liestal (47.48455, 7.73446) 利斯塔尔
Liesberg (47.40398, 7.42787) 利斯贝格
Liebistorf (46.90881, 7.19636) 利比斯多夫
Liddes (45.99249, 7.18729) 利德斯
Lichtensteig (47.32381, 9.08758) 利希滕施泰格
Leytron (46.1866, 7.2078) 莱特龙
Leysin (46.34183, 7.01151) 莱森
Le Vaud (46.47753, 6.23603) 勒沃
Leuzigen (47.17458, 7.45775) 勒齐根
Leutwil (47.30969, 8.17309) 勒特维尔
Leukerbad (46.37943, 7.62687) 洛伊克巴德
Leuk (46.31736, 7.63412) 洛伊克
Les Verrieres (46.90413, 6.48039) 莱韦里耶
Les Pontsde-Martel (46.99735, 6.73059) 莱蓬德马特尔
Les Breuleux (47.21099, 7.00792) 莱布勒勒
Les Brenets (47.06774, 6.70478) 莱布雷内
Les Bois (47.17715, 6.90498) 莱博伊
Lenzerheide (46.72215, 9.55905) 伦策海德
Lenzburg (47.38853, 8.17503) 伦茨堡
Le Noirmont (47.22464, 6.95784) 勒努瓦尔蒙
Lenk (46.45826, 7.44298) 伦克
Lengnau (47.18155, 7.36814) 伦瑙
Le Montsur-Lausanne (46.55815, 6.63145) 勒蒙苏尔洛桑
Le Locle (47.05619, 6.74913) 勒洛克尔
Le Landeron (47.05702, 7.07052) 勒朗德龙
Leissigen (46.6546, 7.77548) 莱西根
Leibstadt (47.5879, 8.17611) 莱布施塔特
Le Chenit (46.60688, 6.23062) 勒舍尼
Lechelles (46.82896, 7.01621) 勒谢勒
Lavertezzo (46.25893, 8.83756) 拉韦尔泰佐
Lauterbrunnen (46.59307, 7.90938) 劳特布龙嫩
Lausen (47.47139, 7.7603) 劳森
Lausanne (46.516, 6.63282) 洛桑
Lauperswil (46.96564, 7.74214) 劳佩尔斯维尔
Laupersdorf (47.3126, 7.65465) 劳佩尔斯多夫
Laupen (46.90214, 7.23973) 劳彭
Laufenburg (47.56512, 8.06045) 劳芬堡
Laufen (47.93568, 12.92856) 劳芬
Laufelfingen (47.39457, 7.85578) 劳费尔芬根
Lauerz (47.03327, 8.58339) 劳尔茨
La Tourde-Treme (46.61061, 7.06496) 拉图尔德特雷姆
La Tourde-Peilz (46.45312, 6.85856) 拉图尔德佩尔
La Sarraz (46.65863, 6.51077) 拉萨拉
La Sagne (47.04591, 6.80946) 拉萨涅
La Roche (46.6962, 7.13721) 拉罗什
Langrickenbach (47.59353, 9.24727) 朗里肯巴赫
Langnau (46.93936, 7.78738) 朗瑙
Langenthal (47.21526, 7.79607) 朗根塔尔
Langenbruck (47.34917, 7.76802) 朗根布鲁克
La Neuveville (47.06592, 7.09717) 拉讷夫维尔
Landquart (46.95, 9.56667) 兰德夸特
Landiswil (46.95802, 7.67952) 兰迪斯维尔
Lamboing (47.11682, 7.13476) 朗博因
Lalden (46.29951, 7.90235) 拉尔登
Lajoux (47.27893, 7.13726) 拉茹
La Coteaux-Fees (46.86744, 6.49043) 拉科托费
StLegier-La Chiesaz (46.47227, 6.87366) 圣莱热-拉谢萨
Lachen (47.19224, 8.85324) 拉亨
La Chauxde-Fonds (47.09993, 6.82586) 拉绍德封
La Brevine (46.98055, 6.60639) 拉布雷维纳
L'Abbaye (46.64966, 6.31907) 拉巴耶
Laax (46.80452, 9.25787) 拉克斯
Kuttigen (47.41484, 8.04979) 库蒂根
Kussnacht (47.08557, 8.44206) 库斯纳赫特
Kuesnacht (47.31805, 8.58401) 库斯纳赫特
Kunten (47.38887, 8.33045) 昆滕
Kueblis (46.91446, 9.77929) 库布利斯
Krummenau (47.24755, 9.17064) 克鲁门瑙
Kriens (47.0311, 8.28547) 克里恩斯
Kriegstetten (47.17449, 7.59799) 克里格施泰滕
Kreuzlingen (47.65051, 9.17504) 克罗伊茨林根
Krauchthal (47.00964, 7.5664) 克劳赫塔尔
Krattigen (46.66139, 7.72777) 克拉特根
Koppigen (47.13125, 7.60525) 科皮根
Konolfingen (46.87909, 7.62013) 科诺尔芬根
Koeniz (46.92436, 7.41457) 克尼茨
Kolliken (47.33337, 8.02237) 科利肯
Kollbrunn (47.45793, 8.78295) 科尔布伦
Koblenz (50.35357, 7.57883) 科布伦茨
Knutwil (47.19953, 8.07315) 克努特维尔
Knonau (47.2235, 8.46197) 克诺瑙
Kloten (47.45152, 8.58491) 克洛滕
Klosters Serneus (46.88918, 9.83826) 克洛斯特斯塞尔瑙斯
Klingnau (47.58361, 8.2488) 克林瑙
Kleinlutzel (47.42518, 7.41607) 克莱因吕策尔
Kleindietwil (47.14571, 7.78965) 克莱因迪特维尔
Kirchlindach (46.99965, 7.41735) 基尔希林达赫
Kirchberg (49.62389, 6.14944) 基尔希贝格
Killwangen (47.43223, 8.35097) 基尔旺根
Kilchberg (47.32438, 8.54548) 基尔希贝格
