Zabanandougou (8.27009, -8.16712) 扎巴南杜古
Zaakro (6.59968, -5.07086) 扎阿克罗
Zaadi (6.33317, -5.73659) 扎阿迪
Za (6.71535, -6.4345) 扎
Yuala (7.56667, -6.51667) 尤阿拉
Yoya (6.58013, -8.04296) 尤亚
Youoredoula (7.31758, -6.71288) 尤奥雷杜拉
Youkou (5.27423, -7.31232) 尤库
Yogonon (7.67433, -6.43261) 尤戈农
Yaouda (6.49151, -5.55185) 亚乌达
Dempleu (7.22665, -8.19497) 德姆普勒
Yotta (7.15118, -8.18498) 尤塔
Yotenere (9.54522, -3.3252) 尤特内雷
Yopohua (6.39596, -5.82952) 尤波胡阿
Yonango (7.44031, -3.0641) 尤南戈
Yomya (7.81667, -2.93333) 尤米亚
Yomian Kouadiokro (7.83302, -5.165) 尤米安夸迪奥克罗
Yomakrou (7.51627, -3.51582) 尤马克鲁
Yoman Kouahipla (7.92166, -5.77963) 尤曼夸希普拉
Yokorea II (6.7029, -6.64593) 尤科雷亚二世
Yokoboue (5.26933, -5.10658) 尤科布埃
Yodolo (8.90354, -4.23518) 尤多洛
Yezimala (8.20664, -2.94812) 叶齐马拉
Yeyaradougou (8.0396, -4.211) 叶亚拉杜古
Yerekayekoko (8.14265, -3.25499) 叶雷卡耶科科
Yorobodi (8.11913, -3.68191) 约罗博迪
Yerebaye (8.34553, -2.81344) 叶雷巴耶
Yepleu (7.7191, -7.82147) 叶普勒
Yeouli (4.52293, -7.5577) 叶乌利
Yeleu (6.97093, -8.05105) 叶勒乌
Yele (9.9598, -6.21842) 叶勒
Yekolo (8.17855, -4.91446) 叶科洛
Yegole (7.7487, -7.70508) 叶戈勒
Yedandiekaha (9.32717, -4.94156) 叶丹迪耶卡哈
Yoboue Ndolikro (7.22582, -4.66874) 约布埃恩多利克罗
Yebouebo (6.89938, -5.006) 叶布埃博
Yebouekro (7.85111, -5.05861) 叶布埃克罗
Yeboueblessou (7.4566, -4.7821) 叶布埃布莱苏
Yobouekro (6.52067, -5.1111) 约布埃克罗
Yeale (7.52786, -8.42216) 叶阿勒
Yazermi (6.45867, -6.01341) 亚泽尔米
Yassuikro (6.99155, -4.69389) 亚苏伊克罗
Yapokpa (5.80595, -4.14354) 亚波克帕
Yapo Kouakoukro (7.73286, -4.89581) 亚波夸库克罗
Yapleu (7.09056, -7.71028) 亚普勒
Yaoude (6.5588, -7.44612) 亚乌德
Yaou (5.79773, -3.13823) 亚乌
Yaotroukro (7.65806, -3.6975) 亚奥特鲁克罗
Yaossedougou (8.25, -4.25) 亚奥塞杜古
Yaokro (7.2978, -3.21938) 亚奥克罗
Yao Kouadiokro (6.47656, -5.0632) 亚奥夸迪奥克罗
Yaokimkroum (7.60096, -3.00403) 亚奥金克鲁姆
Yaogotouo (6.84729, -8.28465) 亚奥戈图奥
Yaoglogleu (6.84278, -8.3037) 亚奥格洛格勒
Yaobilikouro (7.59419, -3.51394) 亚奥比利库罗
Yao Bango (7.8067, -3.37626) 亚奥班戈
Yaobou (5.7115, -4.41274) 亚奥布
Yanvo (7.76292, -3.11434) 亚恩沃
Yanguileu (7.6785, -8.10992) 亚恩圭勒
Yenguebo (7.60414, -4.72369) 亚恩圭博
Yango (7.70964, -2.99308) 亚恩戈
Yanantifla (6.59286, -6.04458) 亚南提弗拉
Yamoussoukro (6.82055, -5.27674) 亚穆苏克罗
Yamatoulo (7.96837, -7.64129) 亚马图洛
Yama (9.59863, -6.30971) 亚马
Yala (6.53995, 101.28128) 亚拉
Yakokoroko (8.07117, -3.08349) 亚科科罗科
Yakbedougou (8.97402, -7.57735) 亚克贝杜古
Yakasseme (5.81052, -3.9511) 亚卡塞梅
Yakasse (7.77923, -3.50834) 亚卡塞
YakasseFeyasse (6.9557, -3.4126) 亚卡塞费亚塞
YakasseAttobrou (6.18174, -3.65111) 亚卡塞阿托布鲁
Yakouakoukro (7.34456, -5.40293) 亚库阿库克罗
YafiKouamekro (7.0499, -4.29621) 亚菲夸梅克罗
Yaego (8.35601, -2.95615) 亚埃戈
Yadio (6.07276, -4.07399) 亚迪奥
Yadibikro (7.10427, -5.35893) 亚迪比克罗
Yacoeoua (5.97747, -6.48762) 亚科乌阿
Yabrasso (7.44379, -3.46982) 亚布拉索
Yaplassou (7.48317, -5.26986) 亚普拉苏
Yabayo (5.93876, -6.59826) 亚巴约
Worosantyakaha (9.70657, -5.08761) 沃罗桑蒂亚卡哈
Worofla (8.27335, -6.90555) 沃罗弗拉
Wora (10.08407, -6.32683) 沃拉
Wonge (8.32675, -6.57449) 沃恩格
Womon (10.13068, -6.37496) 沃蒙
Wombolo (9.37156, -5.96758) 沃姆博洛
Wodoro (9.63079, -5.75742) 沃多罗
Wendene (8.57303, -4.09027) 温德内
Werebo (8.40359, -5.95013) 韦雷博
Weoulo (4.66639, -7.08061) 韦乌洛
Ouamelhoro (10.33226, -5.62113) 瓦梅尔霍罗
Welelokaha (8.84357, -5.79493) 韦勒洛卡哈
Ouelle (7.29611, -4.01364) 韦勒
Webaso (8.25167, -7.16028) 韦巴索
Ouazomon (9.40777, -6.50159) 瓦佐蒙
Ouahiere (8.97139, -6.45556) 瓦希埃雷
Wayeri (9.40538, -5.96356) 瓦耶里
Wataradougou (8.67176, -5.81538) 瓦塔拉杜古
Wassegbono (8.50195, -4.49723) 瓦塞博诺
