Poukoube (8.4035, -2.69029) - 波库贝
Pougouvagne (8.08597, -2.96493) - 波古瓦涅
Kpekekro (7.74204, -4.7842) - 克佩克罗
Pouebo (7.28889, -4.71889) - 波埃博
Pouezra (7.43398, -6.22133) - 波埃兹拉
Potossou (7.28856, -4.41823) - 波托苏
Pourou (10.40176, -6.30331) - 波鲁
Poro (10.6292, 124.4087) - 波罗
Porabenefla (6.55904, -5.79144) - 波拉贝内弗拉
Popogo (4.78006, -6.50945) - 波波戈
Popo (10.31397, -6.31962) - 波波
Ponondougou (9.51892, -6.3236) - 波农杜古
Ponon (8.45816, -4.76161) - 波农
Pongokofikro (7.78333, -4.43333) - 波戈科菲克罗
Pongafre (9.84807, -6.15925) - 波加弗雷
Ponan (5.90336, -7.47722) - 波南
Pona (6.41062, -7.54753) - 波纳
Pokoutou (8.17182, -5.81329) - 波库图
Pokoundougou (8.28016, -5.86643) - 波昆杜古
Pokaha (9.40853, -5.46385) - 波卡哈
Pohizra (7.64475, -5.91627) - 波希兹拉
Poho (8.29805, -8.08617) - 波霍
Pohan (6.58803, -8.09317) - 波汉
Poguie (6.06121, -4.09003) - 波圭
Pogo (10.43669, -5.63062) - 波戈
Podoue (4.8229, -7.55142) - 波杜埃
Podio (4.87626, -6.4963) - 波迪奥
Podiagouine (7.14984, -7.74593) - 波迪亚古因
Plioua (6.84315, -4.47574) - 普里乌阿
Plibo (7.97728, -5.40529) - 普里博
Pleuro (8.97305, -5.77152) - 普勒罗
Pouzigui (7.1607, -7.89587) - 波兹吉
Pinyon (9.44621, -5.77553) - 皮尼翁
Pinvoro (9.85274, -6.25002) - 平沃罗
Pinsolodougou (8.43879, -4.57713) - 平索洛杜古
Pinda (7.89855, -2.835) - 平达
Pietipssi (7.63858, -5.14791) - 皮耶蒂普西
Phing (6.96943, -7.82646) - 平
Pezoan (6.45925, -6.57062) - 佩佐安
Peyetonkaya (8.92729, -5.65945) - 佩耶通卡亚
Petyonara (8.43064, -5.11429) - 佩蒂奥纳拉
Petronou (7.7875, -3.69306) - 佩特罗努
Petonkaha (8.8081, -5.39358) - 佩通卡哈
Petit Yapo (5.79486, -4.13626) - 小亚波
PetitPedro (4.77349, -6.55203) - 小佩德罗
Petit Grabo (5.26902, -7.31421) - 小格拉博
Petit Badien (5.2567, -4.63988) - 小巴迪恩
Petitgoa I (6.12024, -6.71253) - 小戈阿 I
Peteye (8.39416, -3.09348) - 佩特耶
Petessou (7.55602, -5.06771) - 佩特苏
Petenou (7.84199, -5.41376) - 佩特努
Petebonou (7.46982, -5.34546) - 佩特博努
Pessondougou (8.47531, -4.6236) - 佩松杜古
Pere (7.73333, -3.93333) - 佩雷
Pepleu II (6.85426, -8.19801) - 佩普勒 II
Pengakro (7.33, -3.26139) - 彭加克罗
Pelouo (10.03548, -5.28369) - 佩卢奥
Pelezi (7.28174, -6.81449) - 佩莱齐
Pelegodi (8.30413, -2.72706) - 佩莱戈迪
Pekaha (8.58268, -5.30283) - 佩卡哈
Pehiri (5.78105, -6.62135) - 佩希里
Pehe Kanhouebli (6.47505, -8.47385) - 佩赫 卡努埃布利
Pehe (6.56334, -8.30405) - 佩赫
PauliBrousse (4.96289, -6.18983) - 保利布鲁斯
Pauleoula (5.82056, -7.40143) - 保勒乌拉
Pato (7.33082, -5.33671) - 帕托
Patizia (6.97394, -5.53636) - 帕蒂齐亚
Patarakaha (9.40341, -5.6274) - 帕塔拉卡哈
Pataparidougou (8.14455, -4.29288) - 帕塔帕里杜古
Patanou (7.43064, -5.30336) - 帕塔努
Pata (48.27746, 17.82298) - 帕塔
Parhadi (8.45955, -3.53665) - 帕哈迪
Parawalakaha (9.58863, -5.16242) - 帕拉瓦拉卡哈
Paraladougou (8.40858, -4.71057) - 帕拉拉杜古
Paraka (9.31525, -4.61547) - 帕拉卡
Para (5.51956, -7.32755) - 帕拉
Pahoufla (7.52977, -5.9741) - 帕胡弗拉
Panzarai (9.42291, -3.10454) - 潘扎赖
Pantrokin (6.55627, -8.33563) - 潘特罗金
Paniko (8.5199, -5.97987) - 帕尼科
Pangbabo (7.7811, -5.07862) - 庞巴博
Pane (7.29404, -7.46447) - 帕内
Pandah (5.27883, -4.53029) - 潘达
Panayo (8.25211, -3.26055) - 帕纳约
Panangana (8.51067, -4.40128) - 帕南加纳
Panakalo (8.19875, -4.34145) - 帕纳卡洛
Pana (39.38893, -89.08008) - 帕纳
Pambassou (7.52264, -5.48189) - 潘巴苏
Pambasso (7.61249, -3.13723) - 潘巴索
Pambariba (7.40166, -3.28622) - 潘巴里巴
Pala (9.3646, 14.90725) - 帕拉
Kpakpanou (7.78211, -4.45951) - 克帕克帕努
Pakouabo (7.15724, -5.7925) - 帕库阿博
Pacobo (6.16742, -4.93723) - 帕科博
Payopa (6.19473, -5.75723) - 帕约帕
Pahoubigrofla (7.53829, -5.96845) - 帕胡比格罗弗拉
Papara (10.62433, -6.25347) - 帕帕拉
Padiegnan (6.97847, -3.42304) - 帕迪耶南
Paatogo (9.09343, -6.59482) - 帕阿托戈
Ouyatouo (6.88997, -8.12535) - 乌亚图奥
