Ouyabli (7.32723, -7.20838) 欧亚布利
Ouassangalasso (10.17377, -6.62785) 瓦桑加拉索
Oussougoula (8.02683, -6.18166) 乌苏古拉
Oussou (6.96527, -5.79729) 乌苏
Ouroutara (7.83529, -3.52037) 乌鲁塔拉
Ourouta (7.14219, -6.3143) 乌鲁塔
Ourone (7.58016, -7.43025) 乌罗内
Oureyo (6.01972, -6.59778) 乌雷约
Oureitafla (7.51223, -5.82772) 乌雷塔夫拉
Oupoyo (5.56054, -6.58997) 乌波约
Ouompleupleu (7.27538, -8.2842) 乌翁普勒普勒
Ouokoukro (7.50869, -4.37589) 乌奥库克罗
Oundjibipa (6.32575, -5.97034) 乌恩吉比帕
Oume (6.38309, -5.41759) 乌梅
Oulenzoue (6.14405, -4.26931) 乌伦佐埃
Oulaikpabli (6.58499, -8.10527) 乌莱克帕布利
Oufouediekro (6.94129, -5.12261) 乌福埃迪耶克罗
Ouragahio (6.31058, -5.93473) 乌拉加希奥
Ouereniagbere (7.92055, -4.42642) 乌雷尼亚格贝雷
Oueproye (7.5025, -5.84694) 乌埃普罗耶
Ouenefla (7.46586, -6.25143) 乌埃内夫拉
Oueleu (7.06262, -8.08007) 乌埃勒
Ouati (7.62046, -3.92538) 瓦蒂
Ouate (7.63409, -3.37215) 瓦特
Ouassou (7.56392, -5.15179) 瓦苏
Ouossezue (7.65096, -5.22031) 瓦塞祖埃
Ouassadougou (7.70483, -4.23188) 瓦萨杜古
Ouarhama (7.83333, -6.7) 瓦尔哈马
Ouaouassi (7.71318, -5.55173) 瓦瓦西
Ouaouakro (6.51701, -5.06745) 瓦瓦克罗
Ouanzanou (6.99609, -5.65126) 瓦恩扎努
Ouangui (7.37539, -3.29373) 瓦恩吉
Ouangolodougou (9.96837, -5.14882) 瓦恩戈洛杜古
Ouandia (6.52849, -6.57095) 瓦恩迪亚
Ouandegue (9.14216, -6.76933) 瓦恩德格
Ouahi (7.82305, -6.64983) 瓦希
Ouagalilie (6.03139, -5.7781) 瓦加利利
Oua (7.44692, -8.16526) 瓦
Oteoa I (6.25681, -6.36127) 奥特奥阿 I
Orosaniso (8.81597, -7.7292) 奥罗萨尼索
OressKrobou (5.7324, -4.3947) 奥雷斯克罗布
Orbaff (5.40157, -4.41398) 奥尔巴夫
OnyTabre (6.18026, -5.95943) 奥尼塔布雷
OnyBabre (6.17255, -5.95893) 奥尼巴布雷
Ongourakro (8.03333, -5.31667) 翁古拉克罗
Olodio (4.71589, -7.46696) 奥洛迪奥
Okrouyo (5.76443, -6.40785) 奥克鲁约
Okromodou (5.35123, -5.67593) 奥克罗莫杜
Okoudougou (8.32852, -5.71506) 奥库杜古
Fari Oko (7.76105, -4.95992) 法里奥科
Okabonou (7.36222, -4.985) 奥卡博努
Offumpo (5.95186, -4.45667) 奥富姆波
Offa (8.14911, 4.72074) 奥法
Odogui (5.62682, -4.20298) 奥多圭
Odienne (9.50511, -7.56433) 奥迪耶内
Odia (9.37361, -6.16889) 奥迪亚
Obie (5.91733, -5.21736) 奥比耶
Nzue Foufoue (7.72329, -3.85227) 恩祖埃福福埃
NziNzi-Blekro (7.37864, -4.00013) 恩济恩济-布莱克罗
NziAlakro (7.26349, -4.02875) 恩济阿拉克罗
Nzere (6.93817, -5.17179) 恩泽雷
Youampleu (6.79954, -8.28196) 尤安普勒
Nyoroninge (9.98227, -5.22131) 尼奥罗宁格
Nyondjye (8.84556, -6.48397) 尼永杰
Niokosso (8.68795, -7.67069) 尼奥科索
Nime (6.76015, -6.89336) 尼梅
Gnienesso (9.36017, -7.61382) 格涅内索
Niediekaha (8.9337, -5.17636) 尼埃迪耶卡哈
Nyatibo (8.21162, -5.73784) 尼亚蒂博
Nyanzongo (9.26136, -7.0797) 尼扬宗戈
Nyangourala (8.13664, -5.72554) 尼扬古拉拉
Nyangbo (8.80612, -5.16358) 尼扬博
Nyangbagala (8.26667, -5.81667) 尼扬巴加拉
Nyampleu (7.13954, -8.13745) 尼安普勒
Nyamantougoula (9.28347, -7.73683) 尼亚曼图古拉
Nyakouoboue (5.90844, -5.77885) 尼亚库奥布埃
Nuanangonfla (7.12419, -6.31384) 努阿南贡夫拉
Toumoukro (10.3855, -5.75062) 图穆克罗
Ntopadrikro (6.8332, -4.43139) 恩托帕德里克罗
Nounoubaye (6.46008, -7.56028) 努努巴耶
Noumouzou (5.14683, -4.91331) 努穆祖
Noumousseria I (6.70982, -6.66308) 努穆塞里亚 I
Nouhounie (4.55199, -7.21975) 努胡尼耶
Nougoua (5.34177, -2.77659) 努古阿
Noufre (9.16794, -5.77993) 努弗雷
Nouamou (5.18059, -2.89751) 努阿穆
Nontou (9.02569, -6.87003) 农图
Nongotyenekaha (9.51729, -5.39509) 农戈蒂耶内卡哈
Nongon (10.15739, -5.83653) 农贡
Nondara (9.53333, -6.52806) 农达拉
Nomonkataha (9.18333, -5.83333) 诺蒙卡塔哈
Nokoudougou (8.36063, -5.95147) 诺库杜古
Noufou (6.83407, -4.705) 努富
Noe (5.29388, -2.78478) 诺埃
Nodioni (8.70912, -6.24903) 诺迪奥尼
Noa (7.79361, -3.02778) 诺阿
Nkoupe (6.0729, -3.93534) 恩库佩
Nitiadougou (9.5352, -6.2353) 尼蒂亚杜古
Niro (4.63658, -7.45214) 尼罗
Nioumassi (7.5392, -2.96668) 尼乌马西
