Dyakobou (8.21935, -5.80576) 迪亚科布
Dyakala (7.89108, -6.53499) 迪亚卡拉
Diafla (7.42124, -6.86751) 迪亚夫拉
Dawara (8.28325, -6.07373) 达瓦拉
Dualla (8.12398, -6.54099) 杜阿拉
Duonfla (6.843, -5.49915) 杜翁夫拉
Duonefla (7.51523, -6.19722) 杜奥内夫拉
Duokro (6.65903, -5.23498) 杜奥克罗
Duferebo (7.08976, -3.44624) 杜费雷博
Duekoue (6.74202, -7.34918) 杜埃库埃
Dubaso (7.59997, -6.30358) 杜巴索
Duanoufla (7.55883, -6.08201) 杜阿诺夫拉
Ndouakro (7.79599, -5.28337) 恩杜阿克罗
Duagbo (6.46494, -5.72467) 杜阿博
Dropleu (7.24132, -7.99556) 德罗普勒
Drongouine (7.20085, -8.08631) 德龙古因
Drodougou (8.2788, -8.13065) 德罗杜古
Drembo (7.71539, -5.39453) 德伦博
Drayo (6.25898, -6.04026) 德拉约
Doyagouen (7.42898, -7.43444) 多亚古恩
Dohouan (6.55389, -6.58524) 多胡安
Dousoulekana (8.90745, -5.13725) 多苏莱卡纳
Dourougbe (8.43871, -6.96766) 多鲁格贝
Douongopleu (7.63834, -8.02984) 多翁戈普勒
Douna (8.09477, -6.54497) 多纳
Doumbaro (5.75811, -5.42044) 多姆巴罗
Douleu (7.17583, -7.80444) 多勒乌
Doulayeko (4.81405, -6.42692) 多拉耶科
Doukouyo (5.84233, -5.97134) 多库约
Doukouya (6.42623, -5.55925) 多库亚
Douhozon (6.53155, -8.3344) 多霍宗
Dougoutiguidougou (7.98257, -3.39731) 多古提吉杜古
Dougoueleu (7.30644, -8.15762) 多古埃勒
Dougbe (8.89148, -7.78633) 多格贝
Dougbafra (6.34539, -5.40101) 多格巴夫拉
Dougba (10.2725, -6.40889) 多格巴
Doufla (7.45659, -6.74097) 多夫拉
Doueleu (6.96005, -8.3062) 多埃勒
Douele (7.21199, -7.58013) 多埃勒
Doue (7.81227, -7.64852) 多埃
Doubo (6.02868, -5.33962) 多博
Doubasso (10.69417, -6.25111) 多巴索
Douatouo (7.16462, -8.25947) 多阿托
Douasso (10.08881, -6.6639) 多阿索
Douapleu (7.48904, -8.06097) 多阿普勒
Douanzra (7.40259, -6.21903) 多安兹拉
Douandrou (6.53436, -7.91502) 多安德鲁
Doualeu (7.33973, -8.36928) 多阿勒
Doualeba (7.81648, -7.55808) 多阿勒巴
Douague (7.47944, -7.13336) 多阿格
Douagere (7.68833, -7.32139) 多阿格雷
Douadori (8.18333, -4.1) 多阿多里
Dotou (4.82591, -6.9252) 多图
Donsohouo (6.44981, -5.6963) 东索胡奥
Doropo (9.80955, -3.34577) 多罗波
Dorodioro (7.89541, -3.71761) 多罗迪奥罗
Dori Sakassou (7.70134, -5.56133) 多里萨卡苏
Dorifla (7.52528, -5.88806) 多里夫拉
Dopleu I (7.09651, -8.2057) 多普勒 I
Dopleu (6.82353, -8.31382) 多普勒
Donvagne (8.20222, -3.23931) 东瓦涅
Donguikro (7.52726, -4.0025) 东圭克罗
Dengbe (5.70761, -4.28986) 邓贝
Dondi (20.48809, 81.08708) 东迪
Donakakaha (9.63206, -5.46919) 多纳卡卡哈
Dompleu (7.34809, -7.5382) 多姆普勒
Dohoupleu (6.64748, -8.34718) 多胡普勒
Domobly (6.5321, -7.57411) 多莫布利
Doke (6.59281, -8.11205) 多克
Dokanou (7.58334, -3.30512) 多卡努
Dohouba (6.79984, -8.32471) 多胡巴
Dogozo (5.69303, -5.05171) 多戈佐
Dodianyoa (6.03326, -5.97138) 多迪安约阿
Dobrepa (6.2092, -5.88125) 多布雷帕
Doboua (6.86253, -6.53228) 多布阿
Dobia (6.50135, -6.66803) 多比亚
Dobadougou (8.06704, -6.15832) 多巴杜古
Do (8.19167, -7.27) 多
Djoutou (4.4172, -7.50873) 朱图
Djiroutou (5.36758, -7.28412) 吉鲁图
Djinbala (9.4963, -4.96872) 金巴拉
Djegbe (9.20962, -6.39037) 杰格贝
Djidoubaye (6.08567, -7.48642) 吉杜巴耶
Djeteoa (6.19352, -6.26949) 杰特奥阿
Djembe (9.08333, -6.38333) 杰姆贝
Djeleboue (5.86582, -5.73431) 杰勒布埃
Djebonoua (7.51573, -5.0735) 杰博努阿
Djagnadou (5.5, -6.03333) 贾格纳杜
Divo (5.83739, -5.35723) 迪沃
Ditroudra Beoue (6.36467, -7.52826) 迪特鲁德拉贝乌埃
Diourouzon (6.88922, -7.51952) 迪乌鲁宗
Dioulatiedougou (8.97225, -7.2323) 迪乌拉提杜古
Yorodougou (7.78356, -7.88024) 约罗杜古
Dionkro (7.78614, -3.98623) 迪翁克罗
Diongonoua (7.55324, -5.25263) 迪翁戈努阿
Dioungonou (7.78067, -4.9087) 迪翁戈努
Dioman (8.13276, -7.54529) 迪奥曼
Diolala (10.19776, -7.34259) 迪奥拉拉
Diogo (9.42972, -6.68083) 迪奥戈
Dio (7.78107, -7.57678) 迪奥
