Bandiay (7.2, -6.18333) 班迪亚
Banle (7.16775, -7.55263) 班勒
BandakagniTomora (8.00659, -3.30313) 班达卡尼托莫拉
BandakanyiSokoura (8.11118, -3.62799) 班达卡尼索库拉
Bamela (7.83221, -5.32131) 巴梅拉
Banankoro (8.42698, -6.22803) 巴南科罗
Banandje (8.81943, -6.74527) 巴南杰
Banabo (6.70218, -4.29038) 巴纳博
Bana (5.14655, 10.27545) 巴纳
Bampleu (7.40187, -8.3051) 班普勒
Bamoro (7.83608, -5.04218) 巴莫罗
Gbambeledougou (8.08187, -4.4594) 格班贝勒杜古
Bambalouma (7.85106, -6.00107) 班巴卢马
Bambadougou (8.76847, -7.60612) 班巴杜古
Baluzon (6.89654, -6.42248) 巴卢宗
Gbaleu (7.19278, -8.265) 格巴勒
Baleko (5.4339, -6.02594) 巴莱科
Balia (6.74631, -6.65214) 巴利亚
Balayo (6.44012, -6.01255) 巴拉约
Balahio (6.31448, -6.42587) 巴拉希奥
Balala (9.44277, -7.98458) 巴拉拉
Balakouya (5.20771, -6.35163) 巴拉库亚
Bakroukro (6.68936, -5.0599) 巴克鲁克罗
Bakro Sakassou (7.05194, -5.09544) 巴克罗萨卡苏
Bakoundougou (8.37181, -5.90939) 巴昆杜古
Bakpani (6.60291, -8.39964) 巴克帕尼
Bakoubli (6.4625, -8.40298) 巴库布利
BakoroSobara (8.38953, -4.72695) 巴科罗索巴拉
Bacon (6.35602, -3.91017) 培根
Bako (5.78333, 36.56667) 巴科
Bakayo (5.53272, -6.04418) 巴卡约
Bacanda (5.63331, -4.87758) 巴坎达
Bakadou I (5.39787, -6.02241) 巴卡杜一世
Baibli (7.17618, -7.29729) 拜布利
BaheBlaon (6.67073, -7.34265) 巴赫布拉翁
Bagouri (7.12992, -6.81457) 巴古里
Bagolieoua (6.16794, -6.53318) 巴戈利欧阿
Bagohouo (6.89011, -7.19282) 巴戈胡奥
Bago (17.33521, 96.48135) 勃固
Bagatogo (8.75546, -6.7023) 巴加托戈
Bagassehoa (6.19053, -6.36254) 巴加塞霍阿
Bagao (8.17265, -5.70502) 巴加奥
Bafretou (8.79161, -6.5986) 巴弗雷图
Bafime (9.46361, -5.56401) 巴菲梅
Baffia (5.53891, -2.99023) 巴菲亚
Badyokaha (8.81993, -5.19838) 巴迪约卡哈
Badouboua (6.68742, -6.4322) 巴杜布阿
Badon (9.45035, -6.06804) 巴东
Bodokro (7.86144, -5.47745) 博多克罗
Badio Kouamikro (7.68421, -4.84786) 巴迪奥夸米克罗
Badikaha (9.19166, -5.16499) 巴迪卡哈
Badiepa (6.26602, -5.82291) 巴迪耶帕
Badiefla (7.59432, -5.96015) 巴迪耶夫拉
Badieboue (5.32211, -5.92179) 巴迪耶布埃
Badie (6.18875, -5.64763) 巴迪耶
Badayo I (5.86289, -6.63572) 巴达约一世
Bada (51.391, 109.86145) 巴达
BabokoonAppolo (5.54378, -5.33148) 巴博孔阿波罗
Bably (7.02553, -7.87339) 巴布利
Babien (7.95339, -6.87053) 巴比恩
Babango (7.73875, -3.24889) 巴班戈
Babakro (7.76951, -3.97942) 巴巴克罗
Babadougou (8.26667, -4.33333) 巴巴杜古
Baazra (7.45779, -6.09209) 巴兹拉
Baadala (8.10403, -7.26654) 巴达拉
Azuretti (5.20498, -3.77778) 阿祖雷蒂
Azaguie Blida (5.52561, -4.0908) 阿扎圭布利达
Azaguie (5.62984, -4.08204) 阿扎圭
AyzanKouamikro (7.47808, -3.91771) 阿伊赞夸米克罗
Ayenoua (5.36681, -3.31774) 阿耶努阿
Aya Prikro (7.28037, -5.23209) 阿亚普里克罗
Ayame (5.6052, -3.15709) 阿亚梅
Awahikro (8.30037, -3.95188) 阿瓦希克罗
Avagou (5.21132, -4.32612) 阿瓦古
Ahoutoue (5.47429, -3.80419) 阿胡图埃
Auenou (7.15998, -3.2246) 阿韦努
Audoin Sante (5.28995, -4.13712) 奥杜安桑特
Attoutou (5.22099, -4.57236) 阿图图
Attobro (7.04005, -3.38141) 阿托布罗
Attinguie (6.06445, -4.5485) 阿廷吉耶
Akimouyaokro (6.91643, -5.10682) 阿基穆亚奥克罗
Attiegouakro (6.77402, -5.11411) 阿蒂耶古阿克罗
Odogue (5.64906, -4.25904) 奥多古
Atrokro (7.58802, -4.81566) 阿特罗克罗
Atrobou (6.09021, -4.0589) 阿特罗布
Atoukoukouakoukro (6.80858, -4.43515) 阿图库库阿库克罗
Atokro (7.83254, -4.34769) 阿托克罗
Atokoum (7.49691, -2.94293) 阿托库姆
Atokouadiokro (7.37739, -3.0987) 阿托库阿迪奥克罗
Atitiasso (7.55487, -2.99134) 阿蒂蒂亚索
Atissa (8.31111, -4.44238) 阿蒂萨
Atimabo (7.74449, -3.84079) 阿蒂马博
Attien Kouassikro (7.09887, -4.87179) 阿蒂恩夸西克罗
Attiekoi (5.53616, -3.96866) 阿蒂耶科伊
Atchegouakro (7.35314, -4.74274) 阿切古阿克罗
Ataram (7.93677, -3.00728) 阿塔拉姆
Attanou (6.96778, -4.30361) 阿塔努
Atakrou (7.2162, -3.08411) 阿塔克罗
Akakro (5.48241, -4.5159) 阿卡克罗
Assuetya (7.6, -3) 阿苏埃蒂亚
