Vetouo (6.96299, -8.11634) 维托奥
Kassiogouine (7.16678, -7.61844) 卡西奥古因
Ahoue (5.4975, -3.94574) 阿胡埃
Bebakoua (5.45775, -3.92232) 贝巴库阿
Akoyate (5.38625, -3.84733) 阿科亚特
Abata (5.3233, -3.91434) 阿巴塔
Anna (51.48993, 40.4192) 安娜
Marcory (5.31198, -3.99363) 马科里
Kouadiokrou (7.095, -3.03528) 库阿迪奥克鲁
Gourene (7.67165, -7.38576) 古雷内
Niakio (6.53175, -6.31622) 尼亚基奥
Tezie (6.3875, -6.3025) 特齐耶
Alongo (6.37946, -4.46852) 阿隆戈
Guiguia (5.97732, -5.92709) 圭圭亚
Bouzoupalegnoa (5.9014, -5.90702) 布祖帕莱尼奥阿
Sinderessou (5.97997, -4.87839) 辛德雷苏
Kaganieze (5.93098, -4.79223) 卡加涅泽
Abeve (5.91111, -4.74439) 阿贝韦
Niamanzra (5.88519, -4.62386) 尼亚曼兹拉
Boussoukro (5.88398, -4.69507) 布苏克罗
Oligbe (5.56463, -5.24677) 奥利格贝
Akoungou (5.66988, -4.78576) 阿孔古
Sahuye (5.73253, -4.52683) 萨胡耶
Brafoueby (5.65002, -4.56434) 布拉福埃比
Badasso (5.68172, -4.52113) 巴达索
Katadji (5.66771, -4.54136) 卡塔吉
Bakanou A (5.59411, -4.63455) 巴卡努 A
Youhoulil (5.4234, -4.48806) 尤胡利尔
Offoriguie (5.88089, -4.26199) 奥福里圭
Gbesse (5.8394, -4.29264) 格贝塞
Mantongouine (7.28782, -8.03824) 曼通古因
Seguela (7.96111, -6.67306) 塞盖拉
Soubre (5.78377, -6.59388) 苏布雷
Agouahin (5.97646, -4.13091) 阿古阿欣
Mbattra (5.96526, -4.1324) 姆巴特拉
Mafou (5.99133, -4.0466) 马福
Grand Motcho (5.95635, -4.18615) 大莫乔
Lapo (5.93333, -4.10465) 拉波
EryMakouguie II (5.90458, -4.17084) 埃里马库圭 II
Oueguie (5.82286, -4.22469) 韦圭
Agou (5.98289, -3.94393) 阿古
Assikoa (5.99326, -3.80923) 阿西科阿
Appouasso (5.96305, -3.17605) 阿普瓦索
Sanhoukro (5.78499, -3.12968) 桑胡克罗
Mborou (5.59474, -4.36334) 姆博鲁
Mbonouan (5.55185, -4.22948) 姆博努安
M'Brago I (5.53338, -4.21935) 姆布拉戈 I
Adakie (5.54557, -4.16695) 阿达基
Nzodji (5.59375, -3.85083) 恩佐吉
Koutoukro (5.61683, -3.58292) 库图克罗
N'Doumikro (5.46814, -4.50195) 恩杜米克罗
Nonkouagnon (5.46305, -4.26817) 农夸尼翁
Andou Mbatto (5.40489, -3.657) 安杜姆巴托
Tchintchebe (5.31097, -3.5572) 欣切贝
Adosso (5.35495, -3.52474) 阿多索
Assouba (5.45956, -3.25653) 阿苏巴
Ayebo (5.44242, -3.26408) 阿耶博
Diatokro (5.39545, -3.34407) 迪亚托克罗
Eplemlan (5.29802, -3.26531) 埃普勒姆兰
Sahhouman (5.39816, -3.1407) 萨胡曼
Epienou (5.38757, -3.17083) 埃皮埃努
Melekoukro (5.20073, -3.31854) 梅勒库克罗
EbouadoUn (5.16985, -3.25987) 埃布阿多恩
Akounougbe (5.18278, -3.17836) 阿库努格贝
Angboudjou (5.15408, -3.20718) 昂布久
Nguieme (5.14576, -3.04965) 恩圭埃梅
Tiapoum (5.13622, -3.02308) 蒂亚普姆
Assue Un (5.13134, -3.00332) 阿苏恩
Bessedi Anon (5.92585, -3.99411) 贝塞迪阿农
Ndola (-12.95867, 28.63659) 恩多拉
Fafala (10.24343, -6.87809) 法法拉
Seme (15.19422, -12.94482) 塞梅
Zelesso (10.50427, -6.50188) 泽莱索
Febiasso (10.30945, -6.53819) 费比亚索
Tokala (10.23826, -6.63511) 托卡拉
Iribasso (10.60778, -6.33917) 伊里巴索
Dariniani (10.43778, -6.38111) 达里尼亚尼
Kotou (10.4125, -6.35389) 科图
Tiebi (10.34391, -6.4023) 蒂埃比
Ndiekan (10.06996, -6.10851) 恩迪埃坎
Bodou (9.03521, -6.04261) 博杜
Nagbelekaha (9.2284, -6.10225) 纳格贝莱卡哈
Nafoungolo (10.31364, -5.44754) 纳丰戈洛
Kadarvogo (10.29083, -5.15972) 卡达尔沃戈
Mahandougou (10.14302, -5.18369) 马汉杜古
Betema (8.09638, -7.17773) 贝特马
Katogbo (8.47169, -6.67102) 卡托格博
Kouego (8.0425, -6.74222) 库埃戈
BorotouKoro (8.49111, -7.17861) 博罗图科罗
Bieloucarrefour (8.54139, -6.20056) 比耶卢卡尔福
Tomikro (8.77167, -6.25694) 托米克罗
Toutey (8.83944, -6.27167) 图特伊
Atrenou (6.9913, -5.39828) 阿特雷努
Apangokro (6.93212, -5.01527) 阿潘戈克罗
Akayaokro (6.76757, -5.00204) 阿卡亚奥克罗
Gbagompleu (7.74388, -7.94635) 格巴贡普勒
Bafingdala (7.84893, -7.66905) 巴芬达拉
Zouzousso II (7.82027, -7.65165) 祖祖索 II
Bakandesso (7.88545, -7.67258) 巴坎德索
Tahably Glode (6.74399, -7.24159) 塔哈布利格洛德
