Wonsealy (6.17149, -7.03729) 翻译为中文: 翁西利
Trawaininkro (6.06286, -6.88054) 翻译为中文: 特拉瓦因克罗
Kodaya (5.99517, -6.97259) 翻译为中文: 科达亚
Moussayo (5.98952, -6.43714) 翻译为中文: 穆萨约
Kpada (5.77996, -6.48509) 翻译为中文: 克帕达
Gnago (5.24032, -5.79516) 翻译为中文: 格纳戈
Kpote (4.87116, -6.53403) 翻译为中文: 克波特
Sagboya (5.96571, -6.91331) 翻译为中文: 萨格博亚
Gnagboya (6.07877, -6.93104) 翻译为中文: 格纳博亚
Takoreagui (5.75692, -6.79092) 翻译为中文: 塔科雷阿圭
Djigbagui (5.61444, -6.87374) 翻译为中文: 吉格巴圭
Blahou (4.93107, -6.55781) 翻译为中文: 布拉胡
Ipouagui (5.51902, -6.83564) 翻译为中文: 伊普阿圭
Gbletia (5.6337, -6.62994) 翻译为中文: 格布莱蒂亚
Johin (5.80465, -6.78437) 翻译为中文: 约因
Sarakagui (5.81904, -6.80444) 翻译为中文: 萨拉卡圭
Tchetaly (6.17923, -7.07116) 翻译为中文: 切塔利
Lessiri (5.90971, -6.48897) 翻译为中文: 莱西里
Goh (5.2323, -6.63627) 翻译为中文: 戈
Gbliglo (6.13533, -7.02576) 翻译为中文: 格布利格洛
Lobogba (5.98014, -6.73576) 翻译为中文: 洛博格巴
Adjamene (4.76645, -6.84326) 翻译为中文: 阿贾梅内
Walebo (5.58377, -6.83339) 翻译为中文: 瓦莱博
Gnepasso (4.98218, -7.06024) 翻译为中文: 格内帕索
Gagny (48.88333, 2.53333) 翻译为中文: 加尼
Adanekro (7.17567, -3.35854) 翻译为中文: 阿达内克罗
YereYere (6.23449, -3.44363) 翻译为中文: 耶雷耶雷
Epononkro (7.21822, -3.35877) 翻译为中文: 埃波农克罗
Adamakro (6.30059, -3.25696) 翻译为中文: 阿达马克罗
Issoufkro (6.21188, -3.27316) 翻译为中文: 伊苏夫克罗
Elokobabo (5.17638, -2.92468) 翻译为中文: 埃洛科巴博
Essankro (5.18077, -3.33724) 翻译为中文: 埃桑克罗
N'Zorekro (7.10804, -3.20808) 翻译为中文: 恩佐雷克罗
Yere Yere (6.23771, -3.417) 翻译为中文: 耶雷 耶雷
Gnamiendissou (5.27311, -3.31019) 翻译为中文: 格纳米恩迪苏
N'Djorekro (7.17463, -3.60081) 翻译为中文: 恩乔雷克罗
Ahinikro (6.52642, -3.60543) 翻译为中文: 阿希尼克罗
KadjaGnanzoukro (5.16555, -2.74643) 翻译为中文: 卡贾格南祖克罗
AdjoumaniKouassikro (6.65212, -3.32857) 翻译为中文: 阿久马尼夸西克罗
EhanianTanoe (5.24215, -2.76644) 翻译为中文: 埃哈尼安塔诺
Adahama (7.27133, -3.54335) 翻译为中文: 阿达哈马
Dramanekro (6.7112, -3.61916) 翻译为中文: 德拉马内克罗
Emanzoukro (6.8846, -3.26764) 翻译为中文: 埃曼祖克罗
Kabrankro (6.71393, -3.75982) 翻译为中文: 卡布兰克罗
Ehian (5.38573, -3.17843) 翻译为中文: 埃希安
Prakro (6.50709, -3.40634) 翻译为中文: 普拉克罗
Ceceluibo (7.19556, -3.54522) 翻译为中文: 塞塞鲁伊博
Agninikro (7.26413, -3.4165) 翻译为中文: 阿格尼尼克罗
Sinikosson (6.89067, -3.20754) 翻译为中文: 西尼科松
Bleoulekro (5.17531, -2.94004) 翻译为中文: 布勒乌勒克罗
