Korokopla (7.88168, -5.96623) 科罗科普拉
BereniDialla (8.00364, -6.86094) 贝雷尼迪亚拉
Gbimanan (8.23371, -6.79954) 格比马南
BobossoTienigbe (8.45183, -5.78737) 博博索蒂尼格贝
SagouraDougoula (7.82719, -7.02085) 萨古拉杜古拉
Brahima (8.15157, -6.15965) 布拉希马
Fassou (7.00723, -5.30151) 法苏
Bezro (6.82206, -5.19305) 贝兹罗
N'GbodoN'Guessankro (6.94105, -5.12222) 恩格博多恩格桑克罗
N'Da (6.76134, -5.22292) 恩达
AllaiYaokro (6.97742, -5.49517) 阿莱亚奥克罗
Aboukro (6.75904, -5.32598) 阿布克罗
Koriakro (7.02935, -5.21719) 科里亚克罗
Dougounoukouadiokro (6.83378, -5.34593) 杜古努库阿迪奥克罗
MahounouNanafoue (6.81091, -5.13775) 马胡努纳纳福埃
MahounouAkoue (6.95567, -5.37717) 马胡努阿库埃
Seman (6.89358, -5.29709) 塞曼
Assoum (9.19042, -3.09302) 阿苏姆
Mantoukoua (7.72184, -2.89892) 曼图库阿
Gbadjoudouo (9.19572, -2.82497) 格巴久杜奥
Djobri (8.18957, -3.09396) 乔布里
Hereouedouo (9.74244, -3.18007) 赫雷乌埃杜奥
MalagaLolohui (8.0054, -2.9405) 马拉加洛洛惠
Kouloumitan (9.61862, -4.20792) 库卢米坦
Korokobango (7.66631, -3.13371) 科罗科班戈
Kouffouo (8.02472, -2.95211) 库夫奥
Djandoubango (7.88373, -3.21281) 贾恩杜班戈
SaotaSokoro (9.67701, -4.14318) 萨奥塔索科罗
Banie (53.10031, 14.66228) 巴涅
Bromankote (9.32435, -3.03293) 布罗曼科特
Sogovagne (8.03606, -3.16807) 索戈瓦涅
Adjoumanibango (7.77045, -3.32051) 阿久马尼班戈
DadiasseAbrikokro (7.43533, -2.96277) 达迪亚塞阿布里科克罗
Sanganame (9.6865, -3.57321) 桑加纳梅
Kokoyakro (7.68735, -3.49463) 科科亚克罗
Dagnamadouo (9.27193, -2.84199) 达格纳马杜奥
Kourbini (9.26287, -2.86145) 库尔比尼
Kobenagale (8.03996, -3.86963) 科贝纳加勒
Zolongo (8.37867, -3.31765) 佐隆戈
Biguilaye (9.59203, -3.83201) 比吉拉耶
KrebioDomiambra (7.78041, -2.86515) 克雷比奥多米安布拉
BroukroBanouan (7.35218, -3.32145) 布鲁克罗巴努安
Lekparedouo (9.23982, -2.88112) 勒卡雷杜奥
Gnonssiera (9.60658, -3.07264) 格农西耶拉
Amapo (7.715, -3.72239) 阿马波
KrebioKessie (7.81832, -2.85464) 克雷比奥凯西
Niamien (7.50761, -3.02497) 尼亚米恩
Adiamara (7.71676, -2.901) 阿迪亚马拉
Sangue (8.09645, -2.82381) 桑格
Abema (8.10318, -2.77088) 阿贝马
Kouamebonikro (7.71112, -3.36599) 库阿梅博尼克罗
GogoSaga (9.68209, -3.64711) 戈戈萨加
BakoutieYao-Fieni (7.80792, -3.10879) 巴库蒂耶亚奥-菲尼
Lenagnora (9.63569, -4.14737) 勒纳格诺拉
Sipridouo (9.42103, -2.90105) 西普里杜奥
Nafambeni (8.24937, -2.70907) 纳凡贝尼
Djom (7.96062, -3.05639) 乔姆
PetitAbidjan (7.42822, -3.18781) 小阿比让
Yebouakro (7.46191, -3.39334) 叶布阿克罗
Touta (9.64747, -3.95071) 图塔
KalanaBawe (9.72009, -4.09452) 卡拉纳巴韦
Akakobenankro (7.18911, -3.03776) 阿卡科贝南克罗
Adjieibango (7.94735, -3.17077) 阿杰伊班戈
Kipiendouo (8.74824, -3.07014) 基皮恩杜奥
KouakroBovouanso (7.84339, -3.45469) 库阿克罗博武安索
Kpokpokouedouo (9.00406, -2.76743) 科波科埃杜奥
Banti (8.40002, -3.30786) 班蒂
SienguiSogo (7.92146, -3.20462) 西恩圭索戈
Ganhimi (8.09113, -2.99116) 甘希米
Lagbo (9.70837, -3.12133) 拉格博
N'DetiessoSokoura (7.4743, -2.9437) 恩德蒂索索库拉
KrebioAdoumkrom (7.80336, -2.86386) 克雷比奥阿杜姆克罗姆
Sypaldouo (9.15881, -2.95076) 西帕尔杜奥
Houmakpin (8.37478, -3.16577) 胡马克平
KouassiBadoukro (7.40931, -3.20596) 库阿西巴杜克罗
Bohi (7.92487, -2.86207) 博希
Proura (9.89034, -3.38634) 普鲁拉
YakasseAkidom (7.80469, -2.88424) 亚卡塞阿基多姆
Meme (7.45094, -3.20794) 梅梅
Tessodouo (9.03136, -3.11614) 特索杜奥
AbokroDame (7.51851, -3.35898) 阿博克罗达梅
MarahuiAhinifie (8.05266, -3.21851) 马拉惠阿希尼菲
Bossignamienkro (7.28651, -3.03716) 博西尼亚米恩克罗
Dihintedouo (8.75526, -3.03941) 迪欣特杜奥
Kartoudouo (8.79018, -3.0027) 卡尔图杜奥
