Opponitz (47.87776, 14.82283) 奥彭尼茨
Oppenberg (47.48333, 14.26667) 奥彭贝格
Ollersdorf (48.4, 16.8) 奥勒斯多夫
Ollersbach (48.18669, 15.844) 奥勒斯巴赫
Olbendorf (47.18333, 16.2) 奥尔本多夫
Ohlsdorf (53.62594, 10.03145) 奥尔斯多夫
Oggau (47.83333, 16.66667) 奥高
Oftering (48.23399, 14.13571) 奥夫特林
Offenhausen (49.44971, 11.41316) 奥芬豪森
Oepping (48.60284, 13.94586) 厄平
Oehling (48.1, 14.8) 厄林
Oedt bei Feldbach (46.93639, 15.86472) 菲尔德巴赫附近的厄特
Oedt (48.21335, 14.21013) 厄特
Oed (48.18333, 14.88333) 厄德
Obritz (48.7, 16.15) 奥布里茨
OEblarn (47.45938, 13.99023) 厄布拉恩
Oberzeiring (47.25, 14.48333) 奥伯采林
Oberwoelz Stadt (47.20117, 14.28321) 奥伯韦尔茨市
Oberwoelbling (48.31719, 15.59166) 奥伯韦尔布林
Oberweg (47.13333, 11.51667) 奥伯韦格
Oberwart (47.28971, 16.20595) 奥伯瓦特
Oberwang (47.86667, 13.43333) 奥伯旺
Oberwaltersdorf (47.97567, 16.32191) 奥伯瓦尔特斯多夫
Oberwagram (48.20157, 15.64917) 奥伯瓦格拉姆
Obervogau (46.745, 15.58472) 奥伯沃高
Obervellach (46.93667, 13.20417) 奥伯费拉赫
Obertrum am See (47.93722, 13.07722) 奥伯特鲁姆湖畔
Obertressen (47.61667, 13.78333) 奥伯特雷森
Obertraun (47.55741, 13.6865) 奥伯特劳恩
Obertilliach (46.71056, 12.61444) 奥伯蒂利亚赫
Obersulz (48.5, 16.66667) 奥伯苏尔茨
Oberstorcha (46.96667, 15.8) 奥伯斯托尔查
Obersiebenbrunn (48.26537, 16.71076) 奥伯西本布伦
Obersdorf (48.36667, 16.51667) 奥伯斯多夫
Oberschuetzen (47.35138, 16.20732) 奥伯舒岑
Oberschoeckl (47.15, 15.48333) 奥伯舍克尔
Obersaifen (47.31667, 15.78333) 奥伯赛芬
Oberrohrbach (48.4, 16.3) 奥伯罗尔巴赫
Oberrettenbach (47.15, 15.8) 奥伯雷滕巴赫
Oberpullendorf (47.50352, 16.50447) 奥伯普伦多夫
Oberpremstaetten (46.97444, 15.40444) 奥伯普雷姆施泰滕
Oberpiesting (47.87589, 16.09883) 奥伯皮斯廷
Pettnau (47.29204, 11.15962) 佩特瑙
Oberpetersdorf (47.61548, 16.3765) 奥伯彼得斯多夫
Oberneukirchen (48.46404, 14.22275) 奥伯诺伊基兴
Oberneuberg (47.31667, 15.86667) 奥伯诺伊贝格
Oberndorf in Tirol (47.5, 12.38333) 蒂罗尔的奥伯恩多夫
Oberndorf (48.2905, 8.57221) 奥伯恩多夫
