Fuente de Oro (3.46263, -73.62162) - 奥罗泉
Frontino (6.77133, -76.13324) - 弗龙蒂诺
Fresno (36.74773, -119.77237) - 弗雷斯诺
Fosca (4.33916, -73.93852) - 福斯卡
Fortul (6.79261, -71.77596) - 福图尔
Fonseca (10.88606, -72.8487) - 丰塞卡
Fomeque (4.48797, -73.89749) - 福梅克
Floridablanca (7.06222, -73.08644) - 弗洛里达布兰卡
Florida (21.52536, -78.22579) - 佛罗里达
Florian (5.80487, -73.97029) - 弗洛里安
Florencia (1.61438, -75.60623) - 弗洛伦西亚
Flandes (4.29005, -74.81612) - 弗兰德斯
Firavitoba (5.66885, -72.99289) - 菲拉维托巴
Filandia (4.67472, -75.65833) - 菲兰迪亚
Filadelfia (-22.33936, -60.03157) - 费城
Falan (5.12383, -74.95181) - 法兰
Facatativa (4.81367, -74.35453) - 法卡塔蒂瓦
Espinal (4.14924, -74.88429) - 埃斯皮纳尔
Envigado (6.17591, -75.59174) - 恩维加多
Entrerrios (6.5654, -75.5169) - 恩特雷里奥斯
Enciso (6.66808, -72.69986) - 恩西索
Encino (34.15917, -118.50119) - 恩西诺
El Zulia (7.93248, -72.60125) - 苏利亚
El Tambo (1.40785, -77.39218) - 坦博
El Tablon (1.42717, -77.09693) - 塔布隆
El Rosario (22.99207, -105.85697) - 罗萨里奥
El Rosal (4.85314, -74.25996) - 罗萨尔
El Roble (9.10193, -75.19508) - 罗夫莱
El Reten (10.61135, -74.26824) - 雷滕
El Pinon (10.40283, -74.82415) - 皮尼翁
El Penon (8.98691, -73.94697) - 佩尼翁
El Penol (1.45365, -77.44017) - 佩诺尔
El Paujil (1.57006, -75.32863) - 保希尔
El Paso (31.75872, -106.48693) - 埃尔帕索
El Molino (10.65296, -72.92461) - 莫利诺
Elias (2.0117, -75.93968) - 埃利亚斯
El Guamo (10.03155, -74.97612) - 瓜莫
El Guacamayo (6.24518, -73.49655) - 瓜卡马约
El Espino (8.83919, -79.84671) - 埃斯皮诺
El Dovio (4.5079, -76.23619) - 多维奥
El Doncello (1.67817, -75.28466) - 东塞略
El Dificil (9.84975, -74.23627) - 迪菲西尔
El Copey (10.15031, -73.9614) - 科佩伊
El Cocuy (6.41151, -72.44876) - 科库伊
El Charco (2.48075, -78.10972) - 查尔科
El Cerrito (3.68549, -76.31372) - 塞里托
El Castillo (19.54661, -96.86425) - 卡斯蒂略
El Carmen de Bolivar (9.7174, -75.12023) - 玻利瓦尔的卡门
El Carmen de Chucuri (6.69736, -73.51117) - 楚库里的卡门
El Calvario (17.2175, -92.55694) - 卡尔瓦里奥
El Cairo (4.76279, -76.221) - 开罗
El Bordo (2.11696, -76.98214) - 博尔多
El Banco (9.00114, -73.97581) - 班科
El Bagre (7.60347, -74.80951) - 巴格雷
Algarrobo (10.18694, -74.57528) - 阿尔加罗博
El Aguila (4.91345, -76.04004) - 阿吉拉
Ebejico (6.32598, -75.76835) - 埃贝希科
Durania (7.71307, -72.65759) - 杜拉尼亚
Duitama (5.8245, -73.03408) - 杜伊塔马
Dosquebradas (4.83916, -75.66727) - 多斯克布拉达斯
Donmatias (6.48569, -75.39496) - 唐马蒂亚斯
Doima (4.42692, -74.97548) - 多伊马
Distraccion (10.89784, -72.88666) - 迪斯特拉克西翁
Dibulla (11.27251, -73.30911) - 迪布利亚
Darien (41.75198, -87.97395) - 达里恩
Dagua (3.65685, -76.68859) - 达瓜
Dabeiba (7.00017, -76.26915) - 达贝伊巴
Curumani (9.19992, -73.54274) - 库鲁马尼
Curiti (6.60519, -73.06809) - 库里蒂
Cunday (4.06004, -74.69212) - 昆代
Cumbitara (1.64786, -77.57819) - 昆比塔拉
Cumbal (0.90875, -77.79145) - 昆巴尔
Cumaribo (4.44552, -69.79897) - 库马里博
Cumaral (4.2708, -73.48669) - 库马拉尔
Cuitiva (5.58007, -72.96687) - 库伊蒂瓦
Cucutilla (7.53941, -72.77238) - 库库蒂利亚
Cucuta (7.89391, -72.50782) - 库库塔
Cucunuba (5.24958, -73.7661) - 库库努巴
Cucaita (5.54373, -73.45433) - 库卡伊塔
Cubara (7.00578, -72.10568) - 库巴拉
Cruces de Anori (7.18333, -75.06667) - 阿诺里的克鲁塞斯
Cravo Norte (6.30173, -70.20415) - 克拉沃诺尔特
Coyaima (3.79936, -75.19467) - 科亚伊马
Covenas (9.40254, -75.68029) - 科韦纳斯
Cotorra (9.03886, -75.78969) - 科托拉
Cota (4.80938, -74.098) - 科塔
Corrales (35.23782, -106.60669) - 科拉莱斯
Coromoro (6.29461, -73.04022) - 科罗莫罗
Coper (5.47681, -74.04416) - 科佩尔
Convencion (8.46894, -73.33765) - 康文西翁
Contratacion (6.29005, -73.47354) - 康特拉塔西翁
Contadero (0.90841, -77.5477) - 孔塔德罗
Consaca (1.20805, -77.46548) - 孔萨卡
Confines (6.35625, -73.24131) - 孔菲内斯
Condoto (5.09351, -76.64973) - 孔多托
Combita (5.63333, -73.31667) - 孔比塔
Coloso (9.49477, -75.35271) - 科洛索
Colombia (20.98812, -77.42598) - 哥伦比亚
Cogua (5.06051, -73.97925) - 科瓜
Coello (4.40306, -75.29417) - 科埃略
