Morasice (49.8677, 16.2336) 莫拉希采
Mokre Lazce (49.90462, 18.02954) 莫克雷拉兹采
Mokra Hora (49.26176, 16.59107) 莫克拉霍拉
Mohelno (49.11412, 16.19022) 莫赫尔诺
Mohelnice (49.77698, 16.91946) 莫赫尔尼采
Modrice (49.11928, 16.60446) 莫德日采
Modrany (50.01116, 14.4096) 莫德拉尼
Modra (48.33397, 17.30711) 莫德拉
Modlany (50.6505, 13.89534) 莫德拉尼
Mochtin (49.36037, 13.3569) 莫赫廷
Mochov (50.14182, 14.79496) 莫霍夫
Mnisek pod Brdy (49.8665, 14.26176) 布尔迪下姆尼谢克
Mnisek (50.83163, 15.0563) 姆尼谢克
Mnichovo Hradiste (50.5272, 14.97134) 姆尼霍沃赫拉迪什捷
Mnichovice (49.93601, 14.70907) 姆尼霍维采
Mlazovice (50.41186, 15.52161) 姆拉佐维采
Mlady Smolivec (49.5063, 13.73529) 姆拉迪斯莫利韦茨
Mladotice (49.98524, 13.36439) 姆拉多蒂采
Mladkov (50.09686, 16.62692) 姆拉德科夫
Mladejovice (49.75238, 17.23143) 姆拉德约维采
Mladec (49.70583, 17.01952) 姆拉代茨
Mlade Buky (50.60643, 15.83348) 姆拉德布基
Mlada Vozice (49.53313, 14.80857) 姆拉达沃齐采
Mlada Boleslav (50.41135, 14.90318) 姆拉达博莱斯拉夫
Mistrovice (50.02367, 16.57151) 米斯特罗维采
Mistrice (49.08668, 17.53597) 米斯特日采
Miskovice (49.94613, 15.20472) 米什科维采
Mirovice (49.51555, 14.03582) 米罗维采
Mirotice (49.42908, 14.03697) 米罗蒂采
Mirosovice (49.90985, 14.7112) 米罗绍维采
Mirosov (49.68782, 13.65807) 米罗绍夫
Miroslav (48.94767, 16.31252) 米罗斯拉夫
Miretice (49.84126, 15.88472) 米热蒂采
Mimon (50.65869, 14.72474) 米蒙
Milovice (50.22596, 14.88863) 米洛维采
Milotice (48.95528, 17.14241) 米洛蒂采
Milin (49.63192, 14.046) 米林
Milikov (49.58565, 18.71943) 米利科夫
Milicin (49.57069, 14.66141) 米利钦
Milevsko (49.45089, 14.36) 米莱夫斯科
Miletin (50.40382, 15.68226) 米莱廷
Milesovice (49.08275, 16.85425) 米莱绍维采
Milavce (49.46695, 12.98072) 米拉夫采
Mikuluvka (49.41351, 17.92506) 米库卢夫卡
Mikulovice (50.29854, 17.32155) 米库洛维采
Mikulov (48.80556, 16.6378) 米库洛夫
Mikulcice (48.81643, 17.05107) 米库尔奇采
Mikulasovice (50.96507, 14.36368) 米库拉绍维采
Mezimesti (50.62461, 16.24207) 梅济梅斯季
Mezibori (50.62115, 13.5987) 梅济博日
Metylovice (49.60666, 18.33911) 梅蒂洛维采
Mesto Touskov (49.77587, 13.25108) 托乌什科夫镇
Mesto Libava (49.72162, 17.52013) 利巴瓦镇
Mesto Albrechtice (50.16294, 17.57481) 阿尔布雷希蒂采镇
Tepla (49.97997, 12.86432) 特普拉
Mestec Kralove (50.20718, 15.29758) 克拉洛韦镇
Mestecko Trnavka (49.70926, 16.72744) 特尔纳夫卡镇
Mesice (50.19799, 14.51992) 梅希采
Merovice nad Hanou (49.34157, 17.24585) 哈瑙河畔梅罗维采
Merklin (50.32808, 12.8635) 梅尔克林
Merin (49.39321, 15.88381) 梅任
Menin (49.0824, 16.69424) 梅宁
Menik (50.21541, 15.52817) 梅尼克
Melnik (50.3505, 14.47411) 梅尔尼克
Melnicke Vtelno (50.35231, 14.69511) 梅尔尼克韦特尔诺
Melc (49.84993, 17.7578) 梅尔茨
Medlov (49.78754, 17.06261) 梅德洛夫
Meclov (49.50556, 12.88082) 梅克洛夫
Mecin (49.48009, 13.40289) 梅钦
Mecholupy (50.26666, 13.53737) 梅霍卢皮
Mechenice (49.90817, 14.38927) 梅赫尼采
Mastov (50.26227, 13.28046) 马什托夫
Martinkovice (50.54753, 16.34197) 马丁科维采
Martinice (49.31031, 17.60108) 马丁尼采
Martineves (50.3727, 14.15282) 马丁涅维斯
Marsovice (49.71357, 14.56451) 马尔绍维采
Markvartovice (49.90595, 18.23602) 马尔克瓦尔托维采
Markvartice (50.77553, 14.35527) 马尔克瓦尔蒂采
Marianske Lazne (49.96459, 12.70118) 玛丽安斯凯拉兹涅
Mankovice (49.63746, 17.88014) 曼科维采
Manetin (49.99177, 13.23319) 马内廷
Maly Ujezd (50.33247, 14.52958) 小乌耶兹德
Maly Bor (49.33051, 13.65225) 小博尔
Maly Beranov (49.39649, 15.63769) 小贝拉诺夫
Malsovice (50.73515, 14.1697) 马尔绍维采
Malsice (49.36391, 14.57868) 马尔希采
Malovice (49.09118, 14.22576) 马洛维采
Malonty (48.68611, 14.57678) 马隆蒂
Malkov (50.44617, 13.33338) 马尔科夫
Malhostovice (49.3336, 16.50222) 马尔霍斯托维采
Male Zernoseky (50.53397, 14.05473) 小热尔诺塞基
Male Svatonovice (50.53395, 16.04978) 小斯瓦托诺维采
Malesov (49.91102, 15.22434) 马莱绍夫
Malenice (49.1264, 13.88283) 马莱尼采
Malecov (50.63192, 14.11945) 马莱措夫
Malec (49.92106, 19.2453) 马莱茨
Male Brezno (50.6726, 14.17225) 小布热兹诺
Mala Strana (50.08774, 14.40449) 小城区
Mala Skala (50.64631, 15.19543) 小斯卡拉
Mala Moravka (50.01524, 17.3148) 小莫拉夫卡
