Krasna Hora (49.60269, 15.47034) 克拉斯纳霍拉
Krasna (48.57459, 24.69601) 克拉斯纳
Kraslice (50.32372, 12.51747) 克拉斯利采
Kramolna (50.41896, 16.13874) 克拉莫尔纳
Kraluv Dvur (49.94981, 14.03445) 克拉鲁夫德武尔
Kralupy nad Vltavou (50.24107, 14.31149) 克拉卢皮纳德伏尔塔沃乌
Kralovske Porici (50.19381, 12.68032) 克拉洛夫斯凯波里奇
Kralovice (49.98192, 13.48747) 克拉洛维采
Kraliky (50.08384, 16.76054) 克拉利基
Kralice na Hane (49.46296, 17.18048) 克拉利采纳哈内
Krakovany (50.06607, 15.36886) 克拉科瓦尼
Krajkova (50.21597, 12.53407) 克拉伊科瓦
Krahulci (49.18177, 15.41482) 克拉胡尔齐
Krabcice (50.40537, 14.30132) 克拉布奇采
Kozolupy (49.76379, 13.2521) 科佐卢皮
Kozojedy (49.93124, 13.54241) 科佐耶迪
Kozmice (49.9128, 18.15584) 科兹米采
Kozlovice (49.5904, 18.25656) 科兹洛维采
Kozli (49.67031, 15.25321) 科兹利
Kozlany (49.99389, 13.54107) 科兹拉尼
Kovarska (50.43821, 13.05388) 科瓦尔斯卡
Kovarov (49.5176, 14.27809) 科瓦罗夫
Kovanice (50.16947, 15.07079) 科瓦尼采
Kovalovice (49.20462, 16.81903) 科瓦洛维采
Kout na Sumave (49.40255, 13.00208) 科特纳舒马瓦
Kourim (50.00306, 14.97703) 科乌任
Kounice (50.10767, 14.85592) 科乌尼采
Kotvrdovice (49.35511, 16.78435) 科特夫尔多维采
Kostice (48.74685, 16.97869) 科斯蒂采
Kostelni Lhota (50.12927, 15.0242) 科斯特尔尼洛塔
Kostelec u Holesova (49.37469, 17.51213) 科斯特莱茨乌霍莱绍瓦
Kostelec na Hane (49.51398, 17.05824) 科斯特莱茨纳哈内
Kostelec nad Orlici (50.12267, 16.21319) 科斯特莱茨纳德奥尔利齐
Kostelec nad Labem (50.22653, 14.58552) 科斯特莱茨纳德拉贝姆
Kostelec (49.3613, 15.49067) 科斯特莱茨
Kostany (50.65507, 13.75554) 科斯塔尼
Kostalov (50.57165, 15.40403) 科斯塔洛夫
Kosova Hora (49.65414, 14.47173) 科索瓦霍拉
Kosor (49.98748, 14.32657) 科索尔
Kosmonosy (50.4385, 14.93) 科斯莫诺西
Kosice (48.71395, 21.25808) 科希策
Kosetice (49.55836, 15.11627) 科谢蒂采
Korytna (48.94097, 17.6652) 科里特纳
Korycany (49.10639, 17.16433) 科里恰尼
Korouhev (49.67132, 16.24578) 科罗乌赫夫
Korenov (50.75926, 15.36532) 科雷诺夫
Korenice (49.97711, 15.14086) 科雷尼采
Koprivnice (49.59947, 18.1448) 科普日夫尼采
Kopidlno (50.33085, 15.27029) 科皮德尔诺
Konstantinovy Lazne (49.88115, 12.97787) 康斯坦丁诺维拉兹涅
Konopiste (49.78304, 14.65954) 科诺皮什捷
Konice (49.5903, 16.88911) 科尼采
Konarovice (50.04146, 15.28422) 科纳罗维采
Komorni Lhotka (49.65811, 18.52777) 科莫尔尼洛特卡
Komorany (49.21635, 16.90678) 科莫拉尼
Komna (48.99383, 17.80081) 科姆纳
Komarov (49.8065, 13.85636) 科马罗夫
Kolsov (49.90308, 16.94743) 科尔索夫
Kolovec (49.48678, 13.10877) 科洛韦茨
Kolova (50.18743, 12.90333) 科洛瓦
Kolinec (49.29895, 13.439) 科利内茨
Kolin (50.02806, 15.1998) 科林
Kolesovice (50.13964, 13.61028) 科莱索维采
Kolec (50.19877, 14.2234) 科莱茨
Kokory (49.49482, 17.37544) 科科里
Kojetin (49.35179, 17.30207) 科耶廷
Kojetice (50.2381, 14.50848) 科耶蒂采
Koclirov (49.76629, 16.53983) 科克利罗夫
Koci (49.94718, 15.85551) 科奇
Kocbere (50.45366, 15.85872) 科茨贝雷
Kobylnice (49.13803, 16.73182) 科比尔尼采
Kobyli (48.93286, 16.89159) 科比利
Kobyla (50.09228, 18.30425) 科比拉
Koberovy (50.62466, 15.22822) 科贝罗维
Koberice (49.98548, 18.05212) 科贝里采
Knoviz (50.21256, 14.13695) 克诺维兹
Kninice u Boskovic (49.53959, 16.69502) 克尼尼采乌博斯科维采
Knezpole (49.09855, 17.51671) 克涅兹波莱
Knezmost (50.48917, 15.03829) 克涅兹莫斯特
Knezice (49.27078, 15.67216) 克涅齐采
Knezeves (50.14658, 13.6371) 克涅热韦斯
Knezdub (48.88666, 17.39546) 克涅兹杜布
Kly (50.30879, 14.50148) 克利
Kluky (49.31678, 14.24528) 克卢基
Klucov (50.09501, 14.91006) 克卢措夫
Klopina (49.81856, 17.01939) 克洛皮纳
Klobuky (50.29401, 13.98748) 克洛布基
Klobouky (48.99609, 16.86298) 克洛博乌基
Klimkovice (49.78809, 18.12585) 克利姆科维采
Klentnice (48.84463, 16.64469) 克伦特尼采
Klenovice na Hane (49.40292, 17.21113) 克莱诺维采纳哈内
Klenci pod Cerchovem (49.43484, 12.81473) 克伦齐波德采尔霍维姆
Klecany (50.17599, 14.41148) 克莱察尼
Klatovy (49.39552, 13.29505) 克拉托维
Klasterec nad Orlici (50.1116, 16.55449) 克拉斯特雷茨纳德奥尔利齐
Klasterec nad Ohri (50.3886, 13.18342) 克拉斯特雷茨纳德欧赫日
Klaster (49.96762, 12.87623) 克拉斯特尔
Klapy (50.43144, 14.00647) 克拉皮
Kladruby nad Labem (50.05772, 15.48709) 克拉德鲁比纳德拉贝姆
Kladruby (49.71498, 12.98232) 克拉德鲁比
