Losensteinleiten (48.11574, 14.35707) 洛森施泰因莱滕
Losenstein (47.92428, 14.43672) 洛森施泰因
Loruens (47.13306, 9.85) 洛鲁恩斯
Loretto (35.07786, -87.43974) 洛雷托
Loosdorf (48.2, 15.4) 洛斯多夫
Loipersbach (47.71667, 16.11667) 洛伊佩尔斯巴赫
Loidesthal (48.48333, 16.75) 洛伊德斯塔尔
Loich (47.99578, 15.40163) 洛伊希
Lohnsburg (48.14393, 13.40521) 洛恩斯堡
Loeffelbach (47.28333, 15.93333) 洛费尔巴赫
Lofer (47.58475, 12.69333) 洛费尔
Loedersdorf (46.95861, 15.94333) 洛德斯多夫
Lochen (48.00796, 13.17982) 洛亨
Lochau (47.53333, 9.75) 洛豪
Loebenau (47.38333, 13.48333) 洛贝瑙
Litzelsdorf (47.20826, 16.1717) 利策尔斯多夫
Litschau (48.94409, 15.04483) 利查乌
Linz (48.30639, 14.28611) 林茨
Lind ob Velden (46.60222, 14.00278) 林德奥布费尔登
Lind bei Scheifling (47.15806, 14.40306) 林德拜舍夫林
Lind (46.62244, 13.84715) 林德
Lilienfeld (48.01312, 15.59664) 利利恩费尔德
Ligist (46.99389, 15.21083) 利吉斯特
Liezen (47.56667, 14.23333) 利岑
Liesingtal (47.34597, 15.01352) 利辛塔尔
Liesfeld (47.4758, 11.99716) 利斯费尔德
Lieserbruecke (46.83333, 13.48333) 利瑟布吕克
Lienz (46.8289, 12.76903) 利恩茨
Lieboch (46.97417, 15.3375) 利博赫
Liebensdorf (46.98218, 15.56727) 利本斯多夫
Liebenau (47.03333, 15.46667) 利贝瑙
Lichtenwoerth (47.82756, 16.29873) 利希滕沃尔特
Lichtenegg (48.15, 14) 利希滕艾格
Leutschach (46.66722, 15.46889) 勒伊查赫
Lermoos (47.40358, 10.8807) 勒尔莫斯
Leopoldsdorf (48.11557, 16.39126) 利奥波尔茨多夫
Leonstein (47.89666, 14.23124) 利昂施泰因
Leonding (48.27965, 14.2533) 利昂丁
Leogang (47.43906, 12.76109) 利奥冈
Leobersdorf (47.92796, 16.21651) 利奥贝尔斯多夫
Leobendorf (48.38333, 16.31667) 利奥本多夫
Leoben (47.3765, 15.09144) 利奥本
Lenzing (47.97326, 13.60846) 伦青
Lengfelden (47.85, 13.05) 伦费尔登
Lengenfeld (50.5694, 12.36408) 伦根费尔德
Lengau (48.00589, 13.21655) 伦高
Lendorf (46.83528, 13.43028) 伦多夫
Lend (47.08256, 15.41589) 伦德
Leitzersdorf (48.41918, 16.24513) 莱策尔斯多夫
Leitring (46.77957, 15.55915) 莱特林
Leithaprodersdorf (47.93348, 16.47915) 莱塔普罗德斯多夫
Leitendorf (47.36667, 15.08333) 莱滕多夫
Leisach (46.8125, 12.74861) 莱萨赫
Leibsdorf (46.65335, 14.4752) 莱布斯多夫
Leibnitz (46.78161, 15.53836) 莱布尼茨
Leiben (48.24628, 15.2746) 莱本
Ledenitzen (46.56639, 13.96139) 莱德尼岑
Lechaschau (47.48804, 10.70652) 莱沙绍
Lech (47.20797, 10.14184) 莱赫
Lebring (46.85222, 15.53833) 莱布林
Lebern (47, 15.45) 莱伯恩
Laxenburg (48.06833, 16.35607) 拉克森堡
TullnerbachLawies (48.18912, 16.09117) 图尔纳巴赫拉维斯
Lavant (46.79889, 12.83806) 拉万特
Lavamuend (46.64019, 14.94733) 拉瓦明德
Lauterach (47.47572, 9.72941) 劳特拉赫
Laussa (47.95, 14.45) 劳萨
Launsdorf (46.77056, 14.45194) 劳恩斯多夫
Lassnitzhoehe (47.06667, 15.58333) 拉斯尼茨霍厄
Lassnitz (46.81667, 15.25) 拉斯尼茨
Lassing (47.53374, 14.25808) 拉辛
Lassee (48.22479, 16.8223) 拉塞
Lasberg (48.47121, 14.54023) 拉斯贝格
Lanzenkirchen (47.73621, 16.21985) 兰岑基兴
Lanzendorf (48.11056, 16.445) 兰岑多夫
Lans (47.23833, 11.43139) 兰斯
Lannach (46.94611, 15.33722) 兰纳赫
Langwies (47.76667, 13.71667) 朗维斯
Langschlag (48.57448, 14.88459) 朗施拉格
Langenzersdorf (48.30432, 16.36143) 朗根策尔斯多夫
Langenwang (47.56667, 15.61667) 朗根旺
Langenstein (51.85551, 10.98822) 朗根施泰因
Langenrohr (48.30489, 16.01034) 朗根罗尔
Langenlois (48.46667, 15.66667) 朗根洛伊斯
Langen (49.98955, 8.66852) 朗根
Langegg bei Graz (47.05, 15.63333) 朗埃格拜格拉茨
Langau (48.83207, 15.7156) 朗高
Lang (46.83765, 15.50471) 朗
Landskron (46.61667, 13.88333) 兰茨克龙
Landschach (47.2, 14.83333) 兰沙赫
Landscha bei Weiz (47.21667, 15.61667) 兰沙拜魏茨
Landl (47.65666, 14.73189) 兰德尔
Landersdorf (48.41667, 15.63333) 兰德斯多夫
Landegg (47.9, 16.4) 兰德格
Landeck (47.13988, 10.56593) 兰德克
Lamprechtshausen (47.99098, 12.95481) 兰普雷希茨豪森
Lambach (48.09276, 13.87453) 兰巴赫
Laimbach am Ostrong (48.31667, 15.11667) 莱姆巴赫阿姆奥斯特龙
Lahrndorf (47.99475, 14.37994) 拉恩多夫
Lafnitz (47.36792, 16.01103) 拉夫尼茨
