Dvory (50.21165, 14.99545) - 多沃里
Dvorce (49.83332, 17.54762) - 多尔采
Dukovany (49.08125, 16.19218) - 杜科瓦尼
Duchcov (50.60376, 13.74621) - 杜赫措夫
Dubnice (50.72597, 14.80871) - 杜布尼采
Dubne (48.97619, 14.36038) - 杜布内
Dubnany (48.91694, 17.09004) - 杜布纳尼
Dub nad Moravou (49.48249, 17.27723) - 莫拉瓦河畔杜布
Dublovice (49.67178, 14.36089) - 杜布洛维采
Dubicko (49.82806, 16.96266) - 杜比茨科
Dubi (50.68558, 13.78561) - 杜比
Dubenec (50.37762, 15.79507) - 杜贝内茨
Duba (27.35134, 35.69014) - 杜巴
Drzkov (50.68754, 15.30318) - 德日科夫
Drysice (49.33454, 17.05774) - 德里西采
Druztova (49.79741, 13.44872) - 德鲁兹托瓦
Druzec (50.10298, 14.0454) - 德鲁热茨
Drozdov (49.86313, 13.84058) - 德罗兹多夫
Drouzkovice (50.43078, 13.42909) - 德鲁日科维采
Drnovice (49.2763, 16.95146) - 德尔诺维采
Drnholec (48.85746, 16.48586) - 德尔恩霍莱茨
Drmoul (49.93896, 12.6655) - 德尔莫尔
Driten (49.1428, 14.34596) - 德日滕
Drisy (50.25599, 14.64355) - 德日西
Drhovle (49.3337, 14.04067) - 德尔霍夫莱
Drevohostice (49.42594, 17.59204) - 德热沃霍斯蒂采
Drazovice (49.19474, 16.94338) - 德拉佐维采
Drazice (45.39083, 14.47028) - 德拉日采
Drasov (49.33183, 16.47798) - 德拉绍夫
Drahlin (49.73221, 13.96887) - 德拉赫林
Drahany (49.43326, 16.89738) - 德拉哈尼
Drahanovice (49.57856, 17.07701) - 德拉哈诺维采
Doudleby nad Orlici (50.10742, 16.26131) - 奥尔利采河畔多乌德莱比
Doubravnik (49.42411, 16.35269) - 多布拉夫尼克
Doubrava (49.85873, 18.48018) - 多布拉瓦
Domousice (50.23415, 13.72952) - 多莫乌希采
Domazlice (49.44049, 12.92976) - 多玛日利采
Domasov (49.24533, 16.34382) - 多马绍夫
Domanin (49.00167, 17.28476) - 多马宁
Doloplazy (49.56876, 17.41393) - 多洛普拉济
Dolni Zivotice (49.89732, 17.77969) - 多尔尼日沃蒂采
Dolni Zandov (50.01794, 12.55101) - 多尔尼赞多夫
Dolni Zalezly (50.59732, 14.04308) - 多尔尼扎莱兹利
Dolni Zahori (49.3497, 14.2138) - 多尔尼扎霍日
Dolni Ujezd (49.82562, 16.25461) - 多尔尼乌耶兹德
Dolni Trebonin (48.85542, 14.40971) - 多尔尼特热博宁
Dolni Studenky (49.93506, 16.97107) - 多尔尼斯图登基
Dolni Sloupnice (49.92721, 16.29401) - 多尔尼斯洛普尼采
Dolni Rychnov (50.16462, 12.64507) - 多尔尼里赫诺夫
Dolni Rozinka (49.47701, 16.21046) - 多尔尼罗津卡
Dolni Roven (50.02927, 15.96774) - 多尔尼罗文
Dolni Redice (50.07781, 15.92393) - 多尔尼雷季采
Dolni Rasnice (50.94569, 15.16867) - 多尔尼拉斯尼采
Dolni Radechova (50.43834, 16.15123) - 多尔尼拉德霍瓦
Dolni Prim (50.23963, 15.7085) - 多尔尼普里姆
Dolni Poustevna (50.98251, 14.28684) - 多尔尼波乌斯特夫纳
Pohled (49.60365, 15.64807) - 波赫莱德
Dolni Podluzi (50.87988, 14.59503) - 多尔尼波德卢日
Dolni Pocernice (50.0876, 14.57199) - 多尔尼波切尔尼采
Dolni Nemci (48.96837, 17.58585) - 多尔尼涅姆齐
Dolni Mesto (49.6277, 15.3823) - 多尔尼梅斯托
Dolni Lutyne (49.89876, 18.42815) - 多尔尼卢蒂涅
Dolni Lukavice (49.60192, 13.34423) - 多尔尼卢卡维采
Dolni Loucky (49.36099, 16.35871) - 多尔尼洛乌奇基
Dolni Lomna (49.54676, 18.69384) - 多尔尼洛姆纳
Dolni Lhota (49.84236, 18.09241) - 多尔尼洛塔
Dolni Lanov (50.587, 15.66432) - 多尔尼拉诺夫
Dolni Kralovice (49.64495, 15.17866) - 多尔尼克拉洛维采
Dolni Kounice (49.07011, 16.46492) - 多尔尼考尼采
Dolni Kalna (50.53887, 15.63919) - 多尔尼卡尔纳
Dolni Horice (49.43538, 14.85053) - 多尔尼霍日采
Dolni Holetin (49.80216, 15.92685) - 多尔尼霍莱廷
Dolni Hbity (49.65745, 14.16983) - 多尔尼赫比蒂
Dolni Habartice (50.74718, 14.33328) - 多尔尼哈巴尔蒂采
Dolni Dvoriste (48.65642, 14.45221) - 多尔尼德沃日斯捷
Dolni Dunajovice (48.85447, 16.59283) - 多尔尼杜纳约维采
Dolni Domaslavice (49.70983, 18.47735) - 多尔尼多马斯拉维采
Dolni Dobrouc (49.99273, 16.49766) - 多尔尼多布劳奇
Dolni Cernilov (50.2611, 15.96107) - 多尔尼切尔尼洛夫
Dolni Cermna (49.97954, 16.56475) - 多尔尼切尔姆纳
Dolni Cerekev (49.34449, 15.45655) - 多尔尼采雷凯夫
Dolni Bukovsko (49.17086, 14.58127) - 多尔尼布科夫斯科
Dolni Brezany (49.96321, 14.4585) - 多尔尼布热扎尼
Dolni Branna (50.59317, 15.59382) - 多尔尼布拉纳
Dolni Bousov (50.43825, 15.12812) - 多尔尼博索夫
Dolni Bojanovice (48.85861, 17.02859) - 多尔尼博亚诺维采
Dolni Bohdikov (50.00996, 16.90433) - 多尔尼博赫迪科夫
Dolni Berkovice (50.39313, 14.45024) - 多尔尼贝尔科维采
Dolni Benesov (49.92101, 18.10835) - 多尔尼贝内绍夫
Dolni Becva (49.45498, 18.19419) - 多尔尼贝奇瓦
Dolany (49.64987, 17.3224) - 多拉尼
Doksy (50.56471, 14.65553) - 多克西
Dobsice (48.84834, 16.08218) - 多布希采
Dobruska (50.29201, 16.16001) - 多布鲁什卡
Dobrovice (50.36933, 14.96233) - 多布罗维采
