Weinbach (50.43843, 8.29133) 温巴赫
Weinaehr (50.32278, 7.8469) 温纳尔
Weimar (50.9803, 11.32903) 魏玛
Weiltingen (49.03878, 10.45052) 韦尔廷根
Weilmuenster (50.43143, 8.37673) 韦尔明斯特
Weil im Schonbuch (48.6227, 9.06355) 舒恩布赫的韦尔
Weilheim an der Teck (48.61572, 9.53751) 泰克的韦尔海姆
Weilheim (47.84147, 11.15484) 韦尔海姆
Weilerswist (50.75292, 6.84585) 韦勒斯维斯特
Weiler bei Weinsberg (49.11846, 9.39778) 韦因斯贝格附近的韦勒
Weilerbach (49.48333, 7.63333) 韦勒巴赫
Weil der Stadt (48.74953, 8.87176) 韦尔德尔施塔特
Weilburg (50.48438, 8.26249) 韦尔堡
Weilar (50.76667, 10.15) 韦拉尔
Weil am Rhein (47.59331, 7.62082) 莱茵河畔的韦尔
Weil (48.11717, 10.92161) 韦尔
Weikersheim (49.47866, 9.89977) 韦克尔斯海姆
Weihmichl (48.6, 12.05) 韦米希尔
Weiherhammer (49.63333, 12.06667) 韦尔哈默
Weihenzell (49.35, 10.61667) 韦亨策尔
Weigenheim (49.57578, 10.2644) 韦根海姆
Weigendorf (49.49773, 11.56869) 韦根多夫
Weifa (51.07581, 14.36119) 韦法
Weidingen (49.97068, 5.93884) 韦丁根
Weiding (49.26282, 12.76311) 韦丁
Weidenthal (49.41667, 8) 韦登塔尔
Weidenstetten (48.5525, 9.9961) 韦登施泰滕
Weidenhahn (50.54722, 7.83386) 韦登哈恩
Weidenbach (49.19817, 10.64489) 韦登巴赫
Weiden (49.67682, 12.15613) 韦登
Weida (50.77449, 12.06028) 韦达
Weichs (48.38333, 11.41667) 韦希斯
Weichering (48.71713, 11.32141) 韦希林
Weibersbrunn (49.93083, 9.36611) 韦伯斯布伦
Wehringen (48.25, 10.8) 韦林根
Wehrheim (50.3, 8.56667) 韦尔海姆
Wehrda (50.83814, 8.7556) 韦尔达
Wehrbleck (52.6289, 8.69019) 韦尔布莱克
Wehr (47.62983, 7.90423) 韦尔
Wehnsen (52.42472, 10.26398) 韦恩森
Wehnde (51.48333, 10.31667) 韦恩德
Wehingen (48.14533, 8.79151) 韦兴根
Wegscheid (48.60136, 13.78733) 韦格沙伊德
Wegeleben (51.88376, 11.17347) 韦格莱本
Wegberg (51.14221, 6.28436) 韦格贝格
Weferlingen (52.31205, 11.05791) 韦费尔林根
Wefensleben (52.18319, 11.16074) 韦芬斯莱本
Weeze (51.62678, 6.19792) 韦策
Weesby (54.83333, 9.15) 韦斯比
Wees (54.80621, 9.51695) 韦斯
Weenzen (52.03333, 9.66667) 韦恩岑
Weener (53.16332, 7.35052) 韦纳
Weede (53.92282, 10.37082) 韦德
Wedel (53.58374, 9.69835) 韦德尔
Weddingstedt (54.23428, 9.09103) 韦丁施泰特
Wedding (52.54734, 13.35594) 韦丁
Wedderstedt (51.8395, 11.24411) 韦德施泰特
Weddersleben (51.76533, 11.08531) 韦德斯莱本
Weddelbrook (53.9, 9.83333) 韦德尔布鲁克
Wechselburg (51.00214, 12.77661) 韦克塞尔堡
Wechingen (48.89229, 10.61331) 韦兴根
Weberstedt (51.10839, 10.5106) 韦伯施泰特
Waxweiler (50.09257, 6.36299) 瓦克斯韦勒
Wawern (49.65, 6.55) 瓦韦恩
Watzerath (50.18333, 6.36667) 瓦策拉特
Wattmannshagen (53.7759, 12.40701) 瓦特曼斯哈根
Wattenheim (49.52167, 8.06167) 瓦滕海姆
Wattendorf (50.03261, 11.12623) 瓦滕多夫
Wattenbek (54.16667, 10.05) 瓦滕贝克
Wathlingen (52.5369, 10.15069) 瓦特林根
Watenbuettel (52.30596, 10.46551) 瓦滕比特尔
Wasungen (50.6619, 10.36947) 瓦松根
Wassertrudingen (49.04328, 10.59906) 瓦瑟特鲁丁根
Wasserthaleben (51.25, 10.88333) 瓦瑟塔勒本
Wasserlosen (50.09476, 10.03017) 瓦瑟洛森
Wasserliesch (49.70739, 6.53944) 瓦瑟利施
Wasserleben (51.92089, 10.7567) 瓦瑟莱本
Wasserburg am Inn (48.0525, 12.22341) 因河畔的瓦瑟堡
Wassenberg (51.10009, 6.15484) 瓦森贝格
Wassenach (50.43333, 7.28333) 瓦瑟纳赫
Wasenbach (50.31667, 7.96667) 瓦森巴赫
Waschenbeuren (48.75991, 9.68735) 瓦申博伊伦
Wasbuttel (52.41331, 10.59357) 瓦斯比特尔
Wasbek (54.07427, 9.89738) 瓦斯贝克
Warza (51, 10.68333) 瓦尔扎
Wartmannsroth (50.16667, 9.78333) 瓦特曼斯罗特
Warthausen (48.12863, 9.79749) 瓦特豪森
Wartenburg (51.8096, 12.77928) 瓦滕堡
WartenbergRohrbach (49.5276, 7.85258) 瓦滕贝格罗尔巴赫
Wartenberg (48.40597, 11.98865) 瓦滕贝格
Warstein (51.44488, 8.34851) 瓦尔施泰因
Warsow (53.84559, 12.81206) 瓦尔索
Warringholz (54.08333, 9.46667) 瓦林霍尔茨
Warpe (52.73333, 9.1) 瓦尔佩
Warnow (53.7858, 11.88106) 瓦尔诺
Warngau (47.83217, 11.72173) 瓦恩高
Warnemuende (54.1767, 12.08402) 瓦尔内明德
Warnau (54.18333, 10.16667) 瓦尔瑙
Warmsroth (49.95, 7.78333) 瓦姆斯罗特
Warmsen (52.45695, 8.84949) 瓦姆森
